,window_index,MAE,type
0,0,0.0016044537769630551,with_conv
1,1,0.00048062801943160594,with_conv
2,2,0.000157507267431356,with_conv
3,3,0.0018105129711329937,with_conv
4,4,0.0005798419588245451,with_conv
5,5,4.5982997107785195e-05,with_conv
6,6,0.00025341709260828793,with_conv
7,7,0.0003538847086019814,with_conv
8,8,0.0006849626661278307,with_conv
9,9,0.001138710998930037,with_conv
10,10,0.0005362947704270482,with_conv
11,11,0.00018739303050097078,with_conv
12,12,0.0013769069919362664,with_conv
13,13,0.0012488345382735133,with_conv
14,14,0.0015638291370123625,with_conv
15,15,0.0019126415718346834,with_conv
16,16,0.0018153548007830977,with_conv
17,17,0.0019959488417953253,with_conv
18,18,0.002895442536100745,with_conv
19,19,0.001815199851989746,with_conv
20,20,0.0019418358569964767,with_conv
21,21,0.00019420584430918097,with_conv
22,22,0.0012594739673659205,with_conv
23,23,0.0017436802154406905,with_conv
24,24,0.0021320441737771034,with_conv
25,25,0.0021471718791872263,with_conv
26,26,0.0014305809745565057,with_conv
27,27,0.0013473312137648463,with_conv
28,28,0.0011749824043363333,with_conv
29,29,0.0011173923267051578,with_conv
30,30,0.0020678401924669743,with_conv
31,31,0.0015266875270754099,with_conv
32,32,0.0013701935531571507,with_conv
33,33,0.001570026041008532,with_conv
34,34,0.00024473865050822496,with_conv
35,35,0.0006407141918316483,with_conv
36,36,0.001293144654482603,with_conv
37,37,0.010735902935266495,with_conv
38,38,0.00086495082359761,with_conv
39,39,0.0005546410684473813,with_conv
40,40,0.004128517583012581,with_conv
41,41,0.001572553301230073,with_conv
42,42,0.002092689275741577,with_conv
43,43,0.0011395334731787443,with_conv
44,44,0.001311318133957684,with_conv
45,45,0.0009766161674633622,with_conv
46,46,0.0015065788757055998,with_conv
47,0,0.0043167490512132645,without_conv
48,1,0.0035373209975659847,without_conv
49,2,0.0030181885231286287,without_conv
50,3,0.0033772310707718134,without_conv
51,4,0.0031399568542838097,without_conv
52,5,0.0026283462066203356,without_conv
53,6,0.0020248135551810265,without_conv
54,7,0.0030916929244995117,without_conv
55,8,0.004010120872408152,without_conv
56,9,0.0027477084659039974,without_conv
57,10,0.005134976003319025,without_conv
58,11,0.001833448768593371,without_conv
59,12,0.003105978248640895,without_conv
60,13,0.0029186487663537264,without_conv
61,14,0.0021357457153499126,without_conv
62,15,0.0028298974502831697,without_conv
63,16,0.004322497174143791,without_conv
64,17,0.0039018234238028526,without_conv
65,18,0.004304184578359127,without_conv
66,19,0.0037103137001395226,without_conv
67,20,0.0034331560600548983,without_conv
68,21,0.0034668624866753817,without_conv
69,22,0.004899762105196714,without_conv
70,23,0.00423671817407012,without_conv
71,24,0.0054033598862588406,without_conv
72,25,0.006103944964706898,without_conv
73,26,0.006516313645988703,without_conv
74,27,0.005638313479721546,without_conv
75,28,0.005529602523893118,without_conv
76,29,0.00615569157525897,without_conv
77,30,0.006288194563239813,without_conv
78,31,0.004200593568384647,without_conv
79,32,0.005316448397934437,without_conv
80,33,0.005229727365076542,without_conv
81,34,0.004534401465207338,without_conv
82,35,0.003729303600266576,without_conv
83,36,0.003049955703318119,without_conv
84,37,0.018592113628983498,without_conv
85,38,0.0031653721816837788,without_conv
86,39,0.0035365025978535414,without_conv
87,40,0.007378121372312307,without_conv
88,41,0.005306762643158436,without_conv
89,42,0.004984116647392511,without_conv
90,43,0.0037487386725842953,without_conv
91,44,0.0031629204750061035,without_conv
92,45,0.0019500891212373972,without_conv
93,46,0.004273418802767992,without_conv
