Symbol;Date;Open;High;Low;Close
USDAFN:CUR;17/06/2022;89.16;89.16;89.16;89.16
USDAFN:CUR;16/06/2022;89.22;89.22;89;89.16
USDAFN:CUR;15/06/2022;89.13;89.22;88.92;89.22
USDAFN:CUR;14/06/2022;89.06;89.13;88.92;89.13
USDAFN:CUR;13/06/2022;88.66;89.06;88.66;89.06
USDAFN:CUR;12/06/2022;88.66;88.66;88.66;88.66
USDAFN:CUR;11/06/2022;88.66;88.66;88.66;88.66
USDAFN:CUR;10/06/2022;88.66;88.66;88;88.66
USDAFN:CUR;09/06/2022;88.6;88.66;88;88.57
USDAFN:CUR;08/06/2022;88.73;88.73;88.6;88.6
USDAFN:CUR;07/06/2022;88.69;88.73;88;88.73
USDAFN:CUR;06/06/2022;88.88;88.88;88;88.69
USDAFN:CUR;05/06/2022;88.88;88.88;88.88;88.88
USDAFN:CUR;04/06/2022;88.88;88.88;88.88;88.88
USDAFN:CUR;03/06/2022;88.89;88.89;88;88.88
USDAFN:CUR;02/06/2022;88.75;89;88.75;88.89
USDAFN:CUR;01/06/2022;89.09;89.09;88;88.75
USDAFN:CUR;31/05/2022;88.9;89.09;88.87;89.09
USDAFN:CUR;30/05/2022;88.9;88.9;88.9;88.9
USDAFN:CUR;29/05/2022;88.9;88.9;88.9;88.9
USDAFN:CUR;28/05/2022;88.9;88.9;88.9;88.9
USDAFN:CUR;27/05/2022;88.9;88.9;88;88.9
USDAFN:CUR;26/05/2022;88.76;88.9;88;88.9
USDAFN:CUR;25/05/2022;88.63;88.76;88;88.76
USDAFN:CUR;24/05/2022;89.18;89.18;88;88.59
USDAFN:CUR;23/05/2022;90.75;90.75;89.18;89.25
USDAFN:CUR;22/05/2022;90.75;90.75;90.75;90.75
USDAFN:CUR;21/05/2022;90.75;90.75;90.75;90.75
USDAFN:CUR;20/05/2022;90.75;90.75;90;90
USDAFN:CUR;19/05/2022;90.75;90.75;90;90.75
USDAFN:CUR;18/05/2022;90.45;90.75;90;90.75
USDAFN:CUR;17/05/2022;89.64;90.45;89.55;90.45
USDAFN:CUR;16/05/2022;87.75;89.64;87.66;89.64
USDAFN:CUR;15/05/2022;87.75;87.75;87.75;87.75
USDAFN:CUR;14/05/2022;87.75;87.75;87.75;87.75
USDAFN:CUR;13/05/2022;87.77;87.77;87;87.75
USDAFN:CUR;12/05/2022;87.77;87.77;87;87.77
USDAFN:CUR;11/05/2022;87.45;87.77;87;87.77
USDAFN:CUR;10/05/2022;87.23;87.45;87;87.45
USDAFN:CUR;09/05/2022;86.05;87.23;86.05;87.23
USDAFN:CUR;08/05/2022;86.05;86.05;86.05;86.05
USDAFN:CUR;07/05/2022;85.96;85.96;85.96;85.96
USDAFN:CUR;06/05/2022;86.05;86.05;85.92;85.96
USDAFN:CUR;05/05/2022;86.01;86.05;85.92;86.05
USDAFN:CUR;04/05/2022;85.9;86.01;85.76;86.01
USDAFN:CUR;03/05/2022;85.9;85.9;85;85.9
USDAFN:CUR;02/05/2022;85.85;85.9;85;85.9
USDAFN:CUR;01/05/2022;85.85;85.85;85.85;85.85
USDAFN:CUR;30/04/2022;85.85;85.85;85.85;85.85
USDAFN:CUR;29/04/2022;85.85;85.85;85;85.85
USDAFN:CUR;28/04/2022;85.85;85.85;85;85.85
USDAFN:CUR;27/04/2022;86.81;86.93;85.85;85.85
USDAFN:CUR;26/04/2022;87.02;87.02;86;86.81
USDAFN:CUR;25/04/2022;86.69;87.02;86.6;87.02
USDAFN:CUR;24/04/2022;86.69;86.69;86.69;86.69
USDAFN:CUR;23/04/2022;86.69;86.69;86.69;86.69
USDAFN:CUR;22/04/2022;86.69;86.69;86;86.6
USDAFN:CUR;21/04/2022;87.03;87.03;86.69;86.69
USDAFN:CUR;20/04/2022;87.3;87.3;87;87.03
