Symbol;Date;Open;High;Low;Close
USDAMD:CUR;17/06/2022;423.42;423.42;423.42;423.42
USDAMD:CUR;16/06/2022;423.42;423.42;418.8;423.42
USDAMD:CUR;15/06/2022;418.63;423.42;418;423.42
USDAMD:CUR;14/06/2022;417.64;419.8;417.64;418.63
USDAMD:CUR;13/06/2022;420.95;420.95;417.64;417.64
USDAMD:CUR;10/06/2022;425.85;425.85;420.95;420.95
USDAMD:CUR;09/06/2022;429.79;429.79;425.85;425.85
USDAMD:CUR;08/06/2022;432.87;439.5;429.79;429.79
USDAMD:CUR;07/06/2022;436.62;439.1;432.87;432.87
USDAMD:CUR;06/06/2022;439.15;439.5;436.62;436.62
USDAMD:CUR;03/06/2022;444.64;444.64;438;439.15
USDAMD:CUR;02/06/2022;444.64;444.64;442.5;444.64
USDAMD:CUR;01/06/2022;447.18;447.18;442;444.64
USDAMD:CUR;31/05/2022;447.18;453.6;447.18;447.18
USDAMD:CUR;30/05/2022;447.18;447.18;447.18;447.18
USDAMD:CUR;27/05/2022;446.17;453.6;446.17;447.18
USDAMD:CUR;26/05/2022;449.71;453.3;445;446.17
USDAMD:CUR;25/05/2022;451.7;453.1;448;449.71
USDAMD:CUR;24/05/2022;454.73;454.73;450;451.7
USDAMD:CUR;23/05/2022;457.98;457.98;451;454.73
USDAMD:CUR;20/05/2022;458.4;458.4;456;456
USDAMD:CUR;19/05/2022;456.49;458.4;451.7;458.4
USDAMD:CUR;18/05/2022;453.86;456.49;452;456.49
USDAMD:CUR;17/05/2022;453.99;453.99;451;453.86
USDAMD:CUR;16/05/2022;454.94;454.94;449;453.99
USDAMD:CUR;13/05/2022;459.13;459.13;447;454.94
USDAMD:CUR;12/05/2022;465.87;465.87;458;459.13
USDAMD:CUR;11/05/2022;471.64;471.64;465;465.87
USDAMD:CUR;10/05/2022;473.35;473.35;470;471.64
USDAMD:CUR;09/05/2022;473.35;473.35;473.35;473.35
USDAMD:CUR;06/05/2022;463.49;463.49;459;459
USDAMD:CUR;05/05/2022;453.63;463.49;453.63;463.49
USDAMD:CUR;04/05/2022;449.79;453.63;449.79;453.63
USDAMD:CUR;03/05/2022;447;450.7;447;449.79
USDAMD:CUR;02/05/2022;452.26;452.26;448.65;448.65
USDAMD:CUR;29/04/2022;455.67;455.67;449;452.26
USDAMD:CUR;28/04/2022;458.98;458.98;455.67;455.67
USDAMD:CUR;27/04/2022;462.12;462.12;457;458.98
USDAMD:CUR;26/04/2022;465.52;465.52;459.7;462.12
USDAMD:CUR;25/04/2022;466.28;466.28;464;465.52
USDAMD:CUR;22/04/2022;466.77;467.5;466;466.28
USDAMD:CUR;21/04/2022;468.21;468.4;466;466.77
USDAMD:CUR;20/04/2022;469.83;469.83;466;468.21
USDAMD:CUR;19/04/2022;470.35;470.35;469;469.83
USDAMD:CUR;18/04/2022;470.51;470.51;469;470.35
USDAMD:CUR;15/04/2022;470.51;470.51;470;470.51
USDAMD:CUR;14/04/2022;471.43;471.43;469;470.51
USDAMD:CUR;13/04/2022;472.13;472.13;470;471.43
USDAMD:CUR;12/04/2022;473.84;473.84;470.5;472.13
USDAMD:CUR;11/04/2022;474.69;474.69;470;473.84
USDAMD:CUR;08/04/2022;475.92;475.92;473;474.69
USDAMD:CUR;07/04/2022;478.38;478.38;474.7;475.92
USDAMD:CUR;06/04/2022;480.59;480.59;474.8;478.38
USDAMD:CUR;05/04/2022;482.15;482.15;478;480.59
USDAMD:CUR;04/04/2022;483.78;483.78;478.9;482.15
USDAMD:CUR;01/04/2022;484.91;484.91;479.4;483.78
USDAMD:CUR;31/03/2022;486.77;487;480;484.91
USDAMD:CUR;30/03/2022;489.4;489.4;486;486.77
USDAMD:CUR;29/03/2022;489.37;489.4;485;489.4
USDAMD:CUR;28/03/2022;489.3;489.37;484.9;489.37
USDAMD:CUR;25/03/2022;488.15;489.3;485.4;489.3
USDAMD:CUR;24/03/2022;488.15;488.15;485;488.15
USDAMD:CUR;23/03/2022;487.86;488.15;485;488.15
USDAMD:CUR;22/03/2022;487.77;487.86;485.1;487.86
USDAMD:CUR;21/03/2022;487.6;487.77;485.7;487.77
USDAMD:CUR;18/03/2022;498;498;485.5;487.6
USDAMD:CUR;17/03/2022;498.04;498.04;485;485
USDAMD:CUR;16/03/2022;506.94;506.94;497;498.04
USDAMD:CUR;15/03/2022;513.97;513.97;500;506.94
USDAMD:CUR;14/03/2022;517.28;517.28;509.5;513.97
USDAMD:CUR;11/03/2022;515.01;517.28;515.01;517.28
USDAMD:CUR;10/03/2022;511.41;516.4;508.7;515.01
USDAMD:CUR;09/03/2022;509.18;511.41;507.6;511.41
USDAMD:CUR;08/03/2022;509.18;509.18;508;509.18
USDAMD:CUR;07/03/2022;502.08;509.18;501;509.18
USDAMD:CUR;04/03/2022;495.5;502.08;495.48;502.08
USDAMD:CUR;03/03/2022;487.5;495.5;479.4;495.5
USDAMD:CUR;02/03/2022;484.5;488;479.1;487.5
USDAMD:CUR;01/03/2022;479.5;485;476.4;484.5
USDAMD:CUR;28/02/2022;481.11;482.92;475.8;479.5
USDAMD:CUR;25/02/2022;477;481.12;475.1;480
USDAMD:CUR;24/02/2022;476.5;478.78;475;477
USDAMD:CUR;23/02/2022;476;477.78;476;476.5
USDAMD:CUR;22/02/2022;477;480;476;476
USDAMD:CUR;21/02/2022;478;478;477;477
USDAMD:CUR;18/02/2022;477;478;474.9;477
USDAMD:CUR;17/02/2022;477.5;478.13;474.9;477
USDAMD:CUR;16/02/2022;476.9;478.29;476.8;477.5
USDAMD:CUR;15/02/2022;477;478.29;476.5;477.5
USDAMD:CUR;14/02/2022;477.94;477.94;476;477
USDAMD:CUR;11/02/2022;478.04;478.04;477;477
USDAMD:CUR;10/02/2022;478.11;478.11;477;478.04
USDAMD:CUR;09/02/2022;476.5;479.29;476.5;478.11
USDAMD:CUR;08/02/2022;479.5;480.25;476.3;476.5
USDAMD:CUR;07/02/2022;480.62;480.62;479.5;479.5
USDAMD:CUR;04/02/2022;480;482.1;479;480.62
USDAMD:CUR;03/02/2022;480.25;481.52;480;480
USDAMD:CUR;02/02/2022;480;482.38;480;480.25
USDAMD:CUR;01/02/2022;480;482.38;480;480
USDAMD:CUR;31/01/2022;480;481.78;478.9;480
USDAMD:CUR;28/01/2022;480;481.57;480;480
USDAMD:CUR;27/01/2022;479.5;481.57;478.9;480
USDAMD:CUR;26/01/2022;481.26;481.47;479.5;481.47
USDAMD:CUR;25/01/2022;480.63;481.26;477;481.26
USDAMD:CUR;24/01/2022;481.12;481.12;477;480.63
USDAMD:CUR;21/01/2022;480.66;481.12;477.5;479.5
USDAMD:CUR;20/01/2022;480.65;480.66;477.7;480.66
USDAMD:CUR;19/01/2022;480.52;480.65;477.6;480.65
USDAMD:CUR;18/01/2022;479.87;480.52;478;480.52
USDAMD:CUR;17/01/2022;479.87;479.87;478;479.87
USDAMD:CUR;14/01/2022;479.5;479.88;478.7;479.87
USDAMD:CUR;13/01/2022;480.49;480.49;478.7;479.5
USDAMD:CUR;12/01/2022;479.5;481.32;477.9;480.49
USDAMD:CUR;11/01/2022;479.5;481.96;479.5;479.5
USDAMD:CUR;10/01/2022;481.69;481.96;479.5;479.5
USDAMD:CUR;07/01/2022;480;482.25;480;481.5
USDAMD:CUR;06/01/2022;480;482.5;480;480
USDAMD:CUR;05/01/2022;479;482.5;479;480
USDAMD:CUR;04/01/2022;478.9;481.19;475.5;479
USDAMD:CUR;03/01/2022;479;479;476.1;478.9
USDAMD:CUR;31/12/2021;479.14;479.14;478;479
USDAMD:CUR;30/12/2021;478.85;479.14;475.7;478
USDAMD:CUR;29/12/2021;491.4;491.4;478.65;478.85
USDAMD:CUR;28/12/2021;491.5;491.5;490;491.4
USDAMD:CUR;27/12/2021;491.5;491.5;490;491.5
USDAMD:CUR;24/12/2021;491.5;491.5;490;491.5
USDAMD:CUR;23/12/2021;491;491.5;491;491.5
USDAMD:CUR;22/12/2021;491;491.45;491;491
USDAMD:CUR;21/12/2021;491.5;491.5;490;491.45
USDAMD:CUR;20/12/2021;491.6;491.6;489;491.5
USDAMD:CUR;17/12/2021;491.6;491.6;490;491.6
USDAMD:CUR;16/12/2021;490.8;491.6;490;491.6
USDAMD:CUR;15/12/2021;493.2;493.2;489;490.8
USDAMD:CUR;14/12/2021;493;493.4;492;493.2
USDAMD:CUR;13/12/2021;494;494;491;493
USDAMD:CUR;10/12/2021;492.5;494;492.5;494
USDAMD:CUR;09/12/2021;492;493;491;492.5
USDAMD:CUR;08/12/2021;490;492;489.95;492
USDAMD:CUR;07/12/2021;489.5;490.1;489;490
USDAMD:CUR;06/12/2021;488;489.5;488;489.5
USDAMD:CUR;03/12/2021;487;488;485;488
USDAMD:CUR;02/12/2021;485.5;487;483;487
USDAMD:CUR;01/12/2021;485.25;485.5;484;485.5
USDAMD:CUR;30/11/2021;481.5;485.25;480.5;485.25
USDAMD:CUR;29/11/2021;478;482;478;481.5
USDAMD:CUR;26/11/2021;479;482;478;481.5
USDAMD:CUR;25/11/2021;474;479;474;479
USDAMD:CUR;24/11/2021;473.7;475.6;473.7;474
USDAMD:CUR;23/11/2021;473.9;473.9;473;473.7
USDAMD:CUR;22/11/2021;474.1;474.1;473;473.9
USDAMD:CUR;19/11/2021;473.5;474.1;473.4;474.1
USDAMD:CUR;18/11/2021;473.3;473.5;473;473.5
USDAMD:CUR;17/11/2021;472.7;473.3;472;473.3
USDAMD:CUR;16/11/2021;472.48;472.9;472;472.7
USDAMD:CUR;15/11/2021;472.5;472.7;472;472.48
USDAMD:CUR;12/11/2021;472.6;472.6;472;472.5
USDAMD:CUR;11/11/2021;473.6;473.6;472.6;472.6
USDAMD:CUR;10/11/2021;473.77;473.9;472;473.6
USDAMD:CUR;09/11/2021;473.8;474.1;473;473.77
USDAMD:CUR;08/11/2021;474.3;474.3;472;473.8
USDAMD:CUR;05/11/2021;474.7;474.7;474;474.3
USDAMD:CUR;04/11/2021;474.8;475;474.5;474.7
USDAMD:CUR;03/11/2021;475;475;474;474.8
USDAMD:CUR;02/11/2021;474.8;475.2;474.8;475
USDAMD:CUR;01/11/2021;474.2;474.8;474;474.8
USDAMD:CUR;29/10/2021;474.4;474.8;473;474.2
USDAMD:CUR;28/10/2021;474.15;474.5;473.9;474.4
USDAMD:CUR;27/10/2021;474.2;474.3;473.9;474.15
USDAMD:CUR;26/10/2021;475.95;475.95;474;474.2
USDAMD:CUR;25/10/2021;474.5;475.95;472.4;475.95
USDAMD:CUR;22/10/2021;474.6;474.7;474;474.55
USDAMD:CUR;21/10/2021;475;475;474;474.6
USDAMD:CUR;20/10/2021;474.6;475;474;475
USDAMD:CUR;19/10/2021;476.4;476.4;473;474.6
USDAMD:CUR;18/10/2021;476.4;476.4;475;476
USDAMD:CUR;15/10/2021;476.6;476.7;475;476.4
USDAMD:CUR;14/10/2021;475.05;476;475;475.6
USDAMD:CUR;13/10/2021;474.85;477;474.85;475.05
USDAMD:CUR;12/10/2021;485.6;485.6;474.85;474.85
USDAMD:CUR;11/10/2021;485.6;485.6;475.1;485.6
USDAMD:CUR;08/10/2021;485.6;485.6;475;485.6
USDAMD:CUR;07/10/2021;487.8;487.8;476.5;485.6
USDAMD:CUR;06/10/2021;487.8;487.8;482;487.8
USDAMD:CUR;05/10/2021;487.8;488.1;481.9;487.8
USDAMD:CUR;04/10/2021;488;488;487;487.8
USDAMD:CUR;01/10/2021;487.5;488;487.5;488
USDAMD:CUR;30/09/2021;488.7;488.7;487;487.5
USDAMD:CUR;29/09/2021;488.6;488.9;488;488
USDAMD:CUR;28/09/2021;488.9;489;488.6;488.6
USDAMD:CUR;27/09/2021;488.1;489.2;488.1;489
USDAMD:CUR;24/09/2021;485.75;489.4;482;488.1
USDAMD:CUR;23/09/2021;484.25;489.4;483.75;485.75
USDAMD:CUR;22/09/2021;484.93;484.93;484;484.25
USDAMD:CUR;21/09/2021;484.93;484.93;484;484.93
USDAMD:CUR;20/09/2021;484.93;484.93;484;484.93
USDAMD:CUR;17/09/2021;489.7;489.9;485.65;489
USDAMD:CUR;16/09/2021;486;489.9;485.7;485.7
USDAMD:CUR;15/09/2021;489.19;489.19;486;486
USDAMD:CUR;14/09/2021;490.88;490.88;489;489.19
USDAMD:CUR;13/09/2021;491.85;491.85;489;490.88
USDAMD:CUR;10/09/2021;492.17;492.17;490.2;491.85
USDAMD:CUR;09/09/2021;492.66;492.66;490.1;492.17
USDAMD:CUR;08/09/2021;492.65;492.66;490.1;492.66
USDAMD:CUR;07/09/2021;492.6;492.65;492.6;492.65
USDAMD:CUR;06/09/2021;492.65;492.65;490.6;492.65
USDAMD:CUR;03/09/2021;492.54;492.65;490.8;492.65
USDAMD:CUR;02/09/2021;492.6;492.6;490.4;492.54
USDAMD:CUR;01/09/2021;492.12;492.6;490;492.6
USDAMD:CUR;31/08/2021;492.49;492.49;490.2;492.12
USDAMD:CUR;30/08/2021;492.71;492.71;489.9;492.49
USDAMD:CUR;27/08/2021;492.06;492.71;489.4;492.71
USDAMD:CUR;26/08/2021;491.28;492.06;489;492.06
USDAMD:CUR;25/08/2021;489.98;491.28;489;491.28
USDAMD:CUR;24/08/2021;489.56;489.98;489;489.98
USDAMD:CUR;23/08/2021;489.11;489.56;489;489.56
USDAMD:CUR;20/08/2021;489.69;489.69;488.7;489
USDAMD:CUR;19/08/2021;490.08;490.08;489;489.69
USDAMD:CUR;18/08/2021;491.14;491.14;488;490.08
USDAMD:CUR;17/08/2021;491.52;491.52;490;491.14
USDAMD:CUR;16/08/2021;491.26;491.52;489.8;491.52
USDAMD:CUR;13/08/2021;490.75;491.26;490;491.26
USDAMD:CUR;12/08/2021;490.07;490.75;489;490.75
USDAMD:CUR;11/08/2021;489.64;490.07;489;490.07
USDAMD:CUR;10/08/2021;490.29;490.29;489;489.64
USDAMD:CUR;09/08/2021;491.62;491.62;489;490.29
USDAMD:CUR;06/08/2021;492.35;492.35;489;491.62
USDAMD:CUR;05/08/2021;490.4;492.35;490;492.35
USDAMD:CUR;04/08/2021;489.93;489.93;486.5;487
USDAMD:CUR;03/08/2021;487.19;489.93;485;489.93
USDAMD:CUR;02/08/2021;485.24;487.19;485;487.19
USDAMD:CUR;30/07/2021;482.8;485.24;482.8;485.24
USDAMD:CUR;29/07/2021;481.32;481.32;481.32;481.32
USDAMD:CUR;28/07/2021;485.2;485.3;481.32;481.32
USDAMD:CUR;27/07/2021;481.52;485.2;481.52;485
USDAMD:CUR;26/07/2021;482.42;485.1;481.52;481.52
USDAMD:CUR;23/07/2021;483.42;484.8;482.42;482.42
USDAMD:CUR;22/07/2021;486.57;486.57;483.42;483.42
USDAMD:CUR;21/07/2021;490.15;490.15;484.6;486.57
USDAMD:CUR;20/07/2021;493.75;493.75;487;490.15
USDAMD:CUR;19/07/2021;493.78;495.1;493;493.75
USDAMD:CUR;16/07/2021;494.44;495.2;493.78;493.78
USDAMD:CUR;15/07/2021;494.61;495.5;494;494.44
USDAMD:CUR;14/07/2021;495.16;495.3;493;494.61
USDAMD:CUR;13/07/2021;494.88;495.7;494.88;495.16
USDAMD:CUR;12/07/2021;494.77;495.8;494;495
USDAMD:CUR;09/07/2021;494.38;495.7;494;494.77
USDAMD:CUR;08/07/2021;494.21;495.6;494.21;494.38
USDAMD:CUR;07/07/2021;494.59;495.3;494;494.21
USDAMD:CUR;06/07/2021;494.49;495.9;494;494.59
USDAMD:CUR;05/07/2021;494.49;494.49;494.49;494.49
USDAMD:CUR;02/07/2021;494.84;495.5;494;494.49
USDAMD:CUR;01/07/2021;494.86;495.8;494;494.84
USDAMD:CUR;30/06/2021;494.37;494.86;493;494.86
USDAMD:CUR;29/06/2021;495.83;496.2;494;494.37
USDAMD:CUR;28/06/2021;498.38;498.38;495;495.83
USDAMD:CUR;25/06/2021;506.9;506.9;496;498.38
USDAMD:CUR;24/06/2021;511.01;511.01;506;506.9
USDAMD:CUR;23/06/2021;512.05;512.05;510;510
USDAMD:CUR;22/06/2021;512.29;515.1;512;512.05
USDAMD:CUR;21/06/2021;512.73;515.1;512.29;512.29
USDAMD:CUR;18/06/2021;513.11;515.3;512.73;512.73
USDAMD:CUR;17/06/2021;513.87;516.1;513.11;513.11
USDAMD:CUR;16/06/2021;514.68;517.3;513.87;513.87
USDAMD:CUR;15/06/2021;515.99;517.5;514;514.68
USDAMD:CUR;14/06/2021;517.61;517.61;515.99;515.99
USDAMD:CUR;11/06/2021;518.28;518.28;516;517.61
USDAMD:CUR;10/06/2021;518.57;518.57;517;518.28
USDAMD:CUR;09/06/2021;518.83;518.83;517;518.57
USDAMD:CUR;08/06/2021;519.02;519.02;518;518.83
USDAMD:CUR;07/06/2021;519.02;519.03;519;519.03
USDAMD:CUR;04/06/2021;519.2;519.2;518;519.02
USDAMD:CUR;03/06/2021;519.65;519.65;519;519.2
USDAMD:CUR;02/06/2021;519.67;519.67;519;519.65
USDAMD:CUR;01/06/2021;519.61;519.67;519;519.67
USDAMD:CUR;31/05/2021;519.78;519.78;518;519.61
USDAMD:CUR;28/05/2021;519.78;519.78;519;519.78
USDAMD:CUR;27/05/2021;519.68;519.78;518;519.78
USDAMD:CUR;26/05/2021;519.55;519.68;518;519.68
USDAMD:CUR;25/05/2021;519.58;519.58;518;519.55
USDAMD:CUR;24/05/2021;519.54;519.58;518;519.58
USDAMD:CUR;21/05/2021;519.74;519.74;518;519.54
USDAMD:CUR;20/05/2021;519.72;519.74;518;519.74
USDAMD:CUR;19/05/2021;520.55;520.55;518;519.72
USDAMD:CUR;18/05/2021;520.91;520.91;519;520.55
USDAMD:CUR;17/05/2021;521.48;521.48;520;520.91
USDAMD:CUR;14/05/2021;522.1;522.1;521;521.48
USDAMD:CUR;13/05/2021;521.27;522.1;520;522.1
USDAMD:CUR;12/05/2021;521.1;521.27;520;521.27
USDAMD:CUR;11/05/2021;521.37;521.37;521;521.1
USDAMD:CUR;10/05/2021;520.45;521.37;520;521.37
USDAMD:CUR;07/05/2021;520.45;521;518;520.45
USDAMD:CUR;06/05/2021;519.88;520.45;518;520.45
USDAMD:CUR;05/05/2021;519.88;520;518;519.88
USDAMD:CUR;04/05/2021;519.63;519.88;518;519.88
USDAMD:CUR;03/05/2021;519.69;519.69;518;519.63
USDAMD:CUR;30/04/2021;519.62;519.69;518;519.69
USDAMD:CUR;29/04/2021;518.81;519.63;518;519.62
USDAMD:CUR;28/04/2021;519.29;519.29;518;518.81
USDAMD:CUR;27/04/2021;519.46;519.46;518;519.29
USDAMD:CUR;26/04/2021;520.88;520.88;518;518
USDAMD:CUR;23/04/2021;521.24;521.24;520;520.88
USDAMD:CUR;22/04/2021;521.22;521.24;520;521
USDAMD:CUR;21/04/2021;520.88;521.23;520;521.22
USDAMD:CUR;20/04/2021;521.21;521.21;519.7;520.88
USDAMD:CUR;19/04/2021;521.2;521.21;520;521.21
USDAMD:CUR;16/04/2021;520.2;521.2;520;521.2
USDAMD:CUR;15/04/2021;518.34;521;518.34;520.2
USDAMD:CUR;14/04/2021;518.34;519;518;518.34
USDAMD:CUR;13/04/2021;527.1;527.1;519;519
USDAMD:CUR;12/04/2021;531.78;531.78;531.78;531.78
USDAMD:CUR;09/04/2021;532.78;532.78;531.78;531.78
USDAMD:CUR;08/04/2021;534;534;534;534
USDAMD:CUR;07/04/2021;531.5;534;531.5;534
USDAMD:CUR;06/04/2021;531.5;534.11;531.5;531.5
USDAMD:CUR;05/04/2021;532.17;532.84;530.5;531.5
USDAMD:CUR;02/04/2021;529.5;532.17;527;530.5
USDAMD:CUR;01/04/2021;528.5;529.5;526;529.5
USDAMD:CUR;31/03/2021;528;528.5;526;528.5
USDAMD:CUR;30/03/2021;527.5;528;526;528
USDAMD:CUR;29/03/2021;526.5;527.5;525;527.5
USDAMD:CUR;26/03/2021;527.68;527.68;525;526.5
USDAMD:CUR;25/03/2021;526;527.68;525;525
USDAMD:CUR;24/03/2021;525.5;527.32;525;526
USDAMD:CUR;23/03/2021;525.5;527.12;525;525.5
USDAMD:CUR;22/03/2021;525.5;526.76;524;525.5
USDAMD:CUR;19/03/2021;525.5;526.87;524;525.5
USDAMD:CUR;18/03/2021;526.69;526.69;524;525.5
USDAMD:CUR;17/03/2021;525;526.69;525;526.69
USDAMD:CUR;16/03/2021;525;526.69;524;525
USDAMD:CUR;15/03/2021;525.88;526.05;524;525
USDAMD:CUR;12/03/2021;524.5;525.88;524.5;524.5
USDAMD:CUR;11/03/2021;523.5;525.38;523;524.5
USDAMD:CUR;10/03/2021;524.29;524.93;523;523.5
USDAMD:CUR;09/03/2021;524.46;524.46;521.5;524.29
USDAMD:CUR;08/03/2021;524.46;524.46;522;524.46
USDAMD:CUR;05/03/2021;523.98;524.46;521.6;524.46
USDAMD:CUR;04/03/2021;523;524.99;522.8;523.98
USDAMD:CUR;03/03/2021;524.5;526.36;523;523
USDAMD:CUR;02/03/2021;526;526.36;522.6;524.5
USDAMD:CUR;01/03/2021;525.5;526;522.9;526
USDAMD:CUR;26/02/2021;525.97;525.97;523;525.5
USDAMD:CUR;25/02/2021;524;525.97;524;525.97
USDAMD:CUR;24/02/2021;523.5;525.45;523;524
USDAMD:CUR;23/02/2021;524.1;524.76;521.5;523.5
USDAMD:CUR;22/02/2021;523.48;524.1;520.9;523
USDAMD:CUR;19/02/2021;523.33;523.48;521;523.48
USDAMD:CUR;18/02/2021;523.33;523.34;522;523.33
USDAMD:CUR;17/02/2021;523.92;523.92;520.4;523.33
USDAMD:CUR;16/02/2021;523.6;523.92;521;523.92
USDAMD:CUR;15/02/2021;523.28;523.6;521.3;523.6
USDAMD:CUR;12/02/2021;523.07;523.28;520.9;523.28
USDAMD:CUR;11/02/2021;522.13;523.07;521;523.07
USDAMD:CUR;10/02/2021;521.6;522.13;520;522.13
USDAMD:CUR;09/02/2021;520.8;521.6;520;521.6
USDAMD:CUR;08/02/2021;520.4;520.8;519;520
USDAMD:CUR;05/02/2021;519.6;520;517.6;520
USDAMD:CUR;04/02/2021;519.15;519.6;517.9;519.6
USDAMD:CUR;03/02/2021;518.2;519.15;518;519.15
USDAMD:CUR;02/02/2021;517.88;518.2;515.4;518.2
USDAMD:CUR;01/02/2021;517.27;517.88;515.8;517.88
USDAMD:CUR;29/01/2021;517.16;517.27;516;517
USDAMD:CUR;28/01/2021;517.16;517.45;517;517.16
USDAMD:CUR;27/01/2021;517.25;517.26;516.6;517.16
USDAMD:CUR;26/01/2021;517.44;517.44;516.7;517
USDAMD:CUR;25/01/2021;517.44;517.44;517;517.44
USDAMD:CUR;22/01/2021;517.89;517.89;517;517.44
USDAMD:CUR;21/01/2021;518.19;518.19;516;517.89
USDAMD:CUR;20/01/2021;521.15;521.15;518;518.19
USDAMD:CUR;19/01/2021;521.19;521.19;519;521.15
USDAMD:CUR;18/01/2021;521.52;521.8;521.19;521.19
USDAMD:CUR;15/01/2021;524.4;524.4;520;521.52
USDAMD:CUR;14/01/2021;524.5;525.89;523;524.4
USDAMD:CUR;13/01/2021;522.5;525.89;522;524.5
USDAMD:CUR;12/01/2021;521.5;524.6;521;522.5
USDAMD:CUR;11/01/2021;521.55;522.76;519.5;521.5
USDAMD:CUR;08/01/2021;521.59;522;519.5;519.5
USDAMD:CUR;07/01/2021;521.59;522;521.59;521.59
USDAMD:CUR;06/01/2021;520;520;520;520
USDAMD:CUR;05/01/2021;519.5;519.5;519;519
USDAMD:CUR;04/01/2021;519.5;519.5;519;519.5
USDAMD:CUR;01/01/2021;519.5;519.5;519.5;519.5
USDAMD:CUR;31/12/2020;519.5;519.5;519;519.5
USDAMD:CUR;30/12/2020;519.5;521.59;518;519.5
USDAMD:CUR;29/12/2020;519.5;521.3;519;519.5
USDAMD:CUR;28/12/2020;521.48;522.5;519;519.5
USDAMD:CUR;25/12/2020;519.5;521.48;519.5;521.48
USDAMD:CUR;24/12/2020;519.5;522.2;519;519.5
USDAMD:CUR;23/12/2020;519.5;521.21;519;519.5
USDAMD:CUR;22/12/2020;519.5;520.97;519;519.5
USDAMD:CUR;21/12/2020;521.23;522.3;519;519.5
USDAMD:CUR;18/12/2020;519.5;521.23;519;519.5
USDAMD:CUR;17/12/2020;520;522.5;519.5;519.5
USDAMD:CUR;16/12/2020;519.5;522.1;519.5;520
