Symbol;Date;Open;High;Low;Close
USDBDT:CUR;16/06/2022;92.9;92.9;92.8;92.9
USDBDT:CUR;15/06/2022;92.8;92.9;92.8;92.81
USDBDT:CUR;14/06/2022;92.9;93.85;92.5;93.67
USDBDT:CUR;13/06/2022;92.9;93.85;92.9;93.76
USDBDT:CUR;10/06/2022;92.81;92.81;92.81;92.81
USDBDT:CUR;09/06/2022;92.9;92.9;92.81;92.81
USDBDT:CUR;08/06/2022;92;92.95;92;92.9
USDBDT:CUR;07/06/2022;92.5;92.9;91.95;91.95
USDBDT:CUR;06/06/2022;91.5;91.85;91.23;91.23
USDBDT:CUR;03/06/2022;88.82;88.82;88.82;88.82
USDBDT:CUR;02/06/2022;89;89;88.91;88.91
USDBDT:CUR;01/06/2022;89;89;88.91;88.91
USDBDT:CUR;31/05/2022;89;89;88.91;88.91
USDBDT:CUR;30/05/2022;87.9;89;87.9;89
USDBDT:CUR;27/05/2022;87.63;87.63;87.63;87.63
USDBDT:CUR;26/05/2022;87.9;87.9;87.72;87.72
USDBDT:CUR;25/05/2022;87.9;87.9;87.81;87.81
USDBDT:CUR;24/05/2022;87.9;87.9;87.72;87.72
USDBDT:CUR;23/05/2022;87.5;87.9;87.5;87.72
USDBDT:CUR;20/05/2022;87.23;87.23;87.14;87.14
USDBDT:CUR;19/05/2022;87.5;87.5;87.32;87.32
USDBDT:CUR;18/05/2022;87.5;87.5;87.41;87.41
USDBDT:CUR;17/05/2022;87.5;87.5;87.41;87.41
USDBDT:CUR;16/05/2022;87.5;87.5;87.41;87.41
USDBDT:CUR;13/05/2022;86.61;86.61;86.61;86.61
USDBDT:CUR;12/05/2022;86.69;86.7;86.69;86.7
USDBDT:CUR;11/05/2022;86.69;86.7;86.61;86.61
USDBDT:CUR;10/05/2022;86.69;86.7;86.69;86.7
USDBDT:CUR;09/05/2022;86.44;86.7;86.44;86.52
USDBDT:CUR;06/05/2022;86.36;86.36;86.18;86.18
