Symbol;Date;Open;High;Low;Close
USDBND:CUR;17/06/2022;1.3831;1.3867;1.3827;1.3847
USDBND:CUR;16/06/2022;1.3858;1.3922;1.3817;1.3831
USDBND:CUR;15/06/2022;1.3929;1.3942;1.385;1.386
USDBND:CUR;14/06/2022;1.3946;1.3958;1.3887;1.3933
USDBND:CUR;13/06/2022;1.3879;1.3956;1.3869;1.3949
USDBND:CUR;10/06/2022;1.3828;1.3884;1.3793;1.3876
USDBND:CUR;09/06/2022;1.3754;1.3837;1.3739;1.3828
USDBND:CUR;08/06/2022;1.374;1.3767;1.3731;1.376
USDBND:CUR;07/06/2022;1.3762;1.3799;1.373;1.3738
USDBND:CUR;06/06/2022;1.3738;1.3768;1.3718;1.3765
USDBND:CUR;03/06/2022;1.37;1.3766;1.3683;1.3757
USDBND:CUR;02/06/2022;1.3742;1.3777;1.3697;1.3701
USDBND:CUR;01/06/2022;1.3693;1.376;1.3687;1.3743
USDBND:CUR;31/05/2022;1.3667;1.3729;1.3657;1.3693
USDBND:CUR;30/05/2022;1.3689;1.3695;1.3656;1.3668
USDBND:CUR;27/05/2022;1.3726;1.3737;1.3675;1.3687
USDBND:CUR;26/05/2022;1.3747;1.3774;1.372;1.3726
USDBND:CUR;25/05/2022;1.3713;1.3779;1.3706;1.3754
USDBND:CUR;24/05/2022;1.3725;1.3767;1.3706;1.3712
USDBND:CUR;23/05/2022;1.3802;1.3803;1.372;1.3725
USDBND:CUR;20/05/2022;1.3807;1.3833;1.3763;1.3804
USDBND:CUR;19/05/2022;1.3919;1.3919;1.3782;1.381
USDBND:CUR;18/05/2022;1.3846;1.3922;1.3832;1.3915
USDBND:CUR;17/05/2022;1.392;1.3923;1.3829;1.3847
USDBND:CUR;16/05/2022;1.3942;1.3967;1.3906;1.3913
USDBND:CUR;13/05/2022;1.3968;1.3979;1.3917;1.3925
USDBND:CUR;12/05/2022;1.3892;1.3986;1.3883;1.3967
USDBND:CUR;11/05/2022;1.3906;1.3918;1.3832;1.3893
USDBND:CUR;10/05/2022;1.3902;1.3927;1.3871;1.3906
USDBND:CUR;09/05/2022;1.3854;1.3936;1.3844;1.3905
USDBND:CUR;06/05/2022;1.3837;1.3905;1.3824;1.3854
USDBND:CUR;05/05/2022;1.3736;1.3877;1.3729;1.3838
USDBND:CUR;04/05/2022;1.3833;1.3853;1.3727;1.3736
USDBND:CUR;03/05/2022;1.3853;1.3867;1.3818;1.3832
USDBND:CUR;02/05/2022;1.3835;1.3881;1.3816;1.3853
USDBND:CUR;29/04/2022;1.3868;1.3875;1.3779;1.3835
USDBND:CUR;28/04/2022;1.381;1.3904;1.3802;1.3867
USDBND:CUR;27/04/2022;1.3787;1.382;1.376;1.381
USDBND:CUR;26/04/2022;1.3743;1.3793;1.3697;1.3787
USDBND:CUR;25/04/2022;1.3702;1.3783;1.3695;1.3741
