Symbol;Date;Open;High;Low;Close
USDGEL:CUR;17/06/2022;2.88;2.88;2.88;2.88
USDGEL:CUR;16/06/2022;2.88;2.89;2.87;2.88
USDGEL:CUR;15/06/2022;2.895;2.895;2.88;2.88
USDGEL:CUR;14/06/2022;2.9;2.9071;2.895;2.895
USDGEL:CUR;13/06/2022;2.8948;2.92;2.89;2.9
USDGEL:CUR;10/06/2022;2.9;2.905;2.89;2.895
USDGEL:CUR;09/06/2022;2.905;2.92;2.89;2.9106
USDGEL:CUR;08/06/2022;2.915;2.92;2.905;2.905
USDGEL:CUR;07/06/2022;2.905;2.92;2.9;2.915
USDGEL:CUR;06/06/2022;2.91;2.92;2.9;2.905
USDGEL:CUR;03/06/2022;2.95;2.95;2.91;2.91
USDGEL:CUR;02/06/2022;2.965;2.965;2.94;2.95
USDGEL:CUR;01/06/2022;2.94;2.99;2.9371;2.965
USDGEL:CUR;31/05/2022;2.94;3.01;2.8472;2.94
USDGEL:CUR;30/05/2022;2.855;2.95;2.855;2.94
USDGEL:CUR;27/05/2022;2.825;2.87;2.825;2.855
USDGEL:CUR;26/05/2022;2.825;2.825;2.82;2.825
USDGEL:CUR;25/05/2022;2.84;2.84;2.82;2.825
USDGEL:CUR;24/05/2022;2.845;2.845;2.83;2.84
USDGEL:CUR;23/05/2022;2.87;2.87;2.84;2.8422
USDGEL:CUR;20/05/2022;2.89;2.89;2.86;2.87
USDGEL:CUR;19/05/2022;2.91;2.92;2.88;2.89
USDGEL:CUR;18/05/2022;2.945;2.945;2.9071;2.91
USDGEL:CUR;17/05/2022;2.95;2.96;2.94;2.945
USDGEL:CUR;16/05/2022;2.985;2.985;2.9471;2.95
USDGEL:CUR;13/05/2022;3;3;2.97;2.985
USDGEL:CUR;12/05/2022;3;3;3;3
USDGEL:CUR;11/05/2022;3.005;3.005;2.997;3
USDGEL:CUR;10/05/2022;3;3.005;3;3.005
USDGEL:CUR;09/05/2022;3;3;2.998;3
USDGEL:CUR;06/05/2022;3.005;3.007;2.998;3.0015
USDGEL:CUR;05/05/2022;3.015;3.015;3;3.005
USDGEL:CUR;04/05/2022;3.01;3.027;3.01;3.015
USDGEL:CUR;03/05/2022;3.025;3.025;2.99;3.01
USDGEL:CUR;02/05/2022;3.03;3.037;3.02;3.025
USDGEL:CUR;29/04/2022;3.03;3.03;3.03;3.03
USDGEL:CUR;28/04/2022;3.03;3.04;3.03;3.03
USDGEL:CUR;27/04/2022;3.0245;3.04;3.017;3.03
USDGEL:CUR;26/04/2022;3.014;3.025;3.014;3.025
USDGEL:CUR;25/04/2022;3.0142;3.0143;3.014;3.014
USDGEL:CUR;22/04/2022;3.015;3.015;3.01;3.0142
USDGEL:CUR;21/04/2022;2.99;3.015;2.99;3.015
USDGEL:CUR;20/04/2022;3.015;3.015;2.989;2.99
USDGEL:CUR;19/04/2022;3.04;3.04;3.01;3.015
USDGEL:CUR;18/04/2022;3.045;3.045;3.03;3.037
USDGEL:CUR;15/04/2022;3.052;3.052;3.04;3.045
USDGEL:CUR;14/04/2022;3.06;3.06;3.04;3.0489
USDGEL:CUR;13/04/2022;3.07;3.07;3.06;3.06
USDGEL:CUR;12/04/2022;3.05;3.07;3.05;3.07
USDGEL:CUR;11/04/2022;3.05;3.06;3.045;3.05
USDGEL:CUR;08/04/2022;3.05;3.05;3.04;3.05
USDGEL:CUR;07/04/2022;3.06;3.06;3.05;3.05
USDGEL:CUR;06/04/2022;3.065;3.065;3.0569;3.06
USDGEL:CUR;05/04/2022;3.07;3.07;3.05;3.065
USDGEL:CUR;04/04/2022;3.055;3.07;3.0519;3.07
USDGEL:CUR;01/04/2022;3.035;3.07;3.035;3.055
USDGEL:CUR;31/03/2022;3.06;3.07;3.03;3.035
USDGEL:CUR;30/03/2022;3.1;3.1;3.025;3.07
USDGEL:CUR;29/03/2022;3.14;3.14;3.1;3.1
USDGEL:CUR;28/03/2022;3.19;3.2118;3.13;3.14
USDGEL:CUR;25/03/2022;3.215;3.215;3.18;3.19
USDGEL:CUR;24/03/2022;3.215;3.215;3.1718;3.215
USDGEL:CUR;23/03/2022;3.205;3.215;3.205;3.215
USDGEL:CUR;22/03/2022;3.2;3.21;3.2;3.205
USDGEL:CUR;21/03/2022;3.175;3.205;3.175;3.2
USDGEL:CUR;18/03/2022;3.16;3.185;3.16;3.175
USDGEL:CUR;17/03/2022;3.195;3.195;3.1768;3.185
USDGEL:CUR;16/03/2022;3.17;3.195;3.17;3.195
USDGEL:CUR;15/03/2022;3.17;3.1718;3.16;3.17
USDGEL:CUR;14/03/2022;3.17;3.1768;3.16;3.17
USDGEL:CUR;11/03/2022;3.2;3.2268;3.1668;3.1668
USDGEL:CUR;10/03/2022;3.34;3.34;3.2;3.2
USDGEL:CUR;09/03/2022;3.3765;3.38;3.3267;3.34
USDGEL:CUR;08/03/2022;3.38;3.38;3.2967;3.3765
USDGEL:CUR;07/03/2022;3.27;3.38;3.27;3.38
USDGEL:CUR;04/03/2022;3.154;3.3;3.1538;3.27
USDGEL:CUR;03/03/2022;3.1545;3.1545;3.15;3.154
USDGEL:CUR;02/03/2022;3.155;3.16;3.1518;3.1528
USDGEL:CUR;01/03/2022;3.15;3.155;3.1469;3.155
USDGEL:CUR;28/02/2022;3.08;3.15;3.08;3.15
USDGEL:CUR;25/02/2022;3.1;3.12;3.03;3.08
USDGEL:CUR;24/02/2022;2.97;3.12;2.97;3.1
USDGEL:CUR;23/02/2022;2.965;2.9705;2.965;2.97
USDGEL:CUR;22/02/2022;2.947;2.97;2.947;2.965
USDGEL:CUR;21/02/2022;2.947;2.96;2.945;2.947
USDGEL:CUR;18/02/2022;2.96;2.96;2.94;2.94
USDGEL:CUR;17/02/2022;2.975;2.975;2.96;2.96
USDGEL:CUR;16/02/2022;2.98;2.98;2.965;2.975
USDGEL:CUR;15/02/2022;2.965;2.985;2.965;2.98
USDGEL:CUR;14/02/2022;2.91;2.97;2.9071;2.965
USDGEL:CUR;11/02/2022;2.91;2.91;2.8871;2.91
USDGEL:CUR;10/02/2022;2.895;2.915;2.895;2.91
USDGEL:CUR;09/02/2022;2.88;2.895;2.87;2.895
USDGEL:CUR;08/02/2022;2.895;2.895;2.87;2.87
USDGEL:CUR;07/02/2022;2.965;2.965;2.8861;2.8921
