Symbol;Date;Open;High;Low;Close
USDIDR:CUR;17/06/2022;14820;14830;14800;14820
USDIDR:CUR;16/06/2022;14711;14765;14690;14765
USDIDR:CUR;15/06/2022;14685;14758;14685;14740
USDIDR:CUR;14/06/2022;14700;14762;14680;14695
USDIDR:CUR;13/06/2022;14640;14683;14630;14678
USDIDR:CUR;10/06/2022;14570;14580;14540;14550
USDIDR:CUR;09/06/2022;14500;14567;14500;14560
USDIDR:CUR;08/06/2022;14455;14495;14450;14490
USDIDR:CUR;07/06/2022;14450;14470;14450;14454
USDIDR:CUR;06/06/2022;14445;14465;14445;14450
USDIDR:CUR;03/06/2022;14420;14450;14415;14435
USDIDR:CUR;02/06/2022;14555;14580;14475;14480
USDIDR:CUR;01/06/2022;14580;14580;14580;14580
USDIDR:CUR;31/05/2022;14550;14599;14530;14580
USDIDR:CUR;30/05/2022;14505;14557;14505;14557
USDIDR:CUR;27/05/2022;14590;14595;14550;14575
USDIDR:CUR;26/05/2022;14630;14630;14630;14630
USDIDR:CUR;25/05/2022;14625;14657;14620;14630
USDIDR:CUR;24/05/2022;14650;14665;14640;14655
USDIDR:CUR;23/05/2022;14630;14675;14630;14670
USDIDR:CUR;20/05/2022;14600;14675;14600;14650
USDIDR:CUR;19/05/2022;14670;14736;14670;14730
USDIDR:CUR;18/05/2022;14635;14690;14635;14685
USDIDR:CUR;17/05/2022;14600;14665;14600;14645
USDIDR:CUR;16/05/2022;14610;14610;14610;14610
USDIDR:CUR;13/05/2022;14595;14625;14575;14610
USDIDR:CUR;12/05/2022;14525;14600;14525;14595
USDIDR:CUR;11/05/2022;14520;14560;14520;14555
USDIDR:CUR;10/05/2022;14545;14555;14527;14555
USDIDR:CUR;09/05/2022;14490;14560;14490;14555
USDIDR:CUR;06/05/2022;14495;14495;14495;14495
USDIDR:CUR;05/05/2022;14495;14495;14495;14495
USDIDR:CUR;04/05/2022;14495;14495;14495;14495
USDIDR:CUR;03/05/2022;14495;14495;14495;14495
USDIDR:CUR;02/05/2022;14495;14495;14495;14495
USDIDR:CUR;29/04/2022;14495;14495;14495;14495
USDIDR:CUR;28/04/2022;14435;14500;14420;14495
USDIDR:CUR;27/04/2022;14400;14430;14400;14420
USDIDR:CUR;26/04/2022;14435;14440;14388;14410
USDIDR:CUR;25/04/2022;14435;14470;14420;14455
USDIDR:CUR;22/04/2022;14350;14365;14350;14356
USDIDR:CUR;21/04/2022;14335;14351;14335;14343
USDIDR:CUR;20/04/2022;14340;14360;14340;14355
USDIDR:CUR;19/04/2022;14350;14355;14323;14335
USDIDR:CUR;18/04/2022;14360;14360;14345;14353
USDIDR:CUR;15/04/2022;14343;14343;14343;14343
USDIDR:CUR;14/04/2022;14354;14355;14340;14343
USDIDR:CUR;13/04/2022;14350;14365;14350;14362
USDIDR:CUR;12/04/2022;14360;14365;14355;14360
USDIDR:CUR;11/04/2022;14365;14375;14360;14365
USDIDR:CUR;08/04/2022;14355;14377;14350;14360
USDIDR:CUR;07/04/2022;14355;14362;14345;14358
USDIDR:CUR;06/04/2022;14350;14373;14349;14355
USDIDR:CUR;05/04/2022;14335;14352;14335;14345
USDIDR:CUR;04/04/2022;14350;14365;14347;14353
USDIDR:CUR;01/04/2022;14350;14365;14345;14365
USDIDR:CUR;31/03/2022;14325;14368;14325;14368
USDIDR:CUR;30/03/2022;14325;14357;14325;14340
USDIDR:CUR;29/03/2022;14360;14367;14345;14363
USDIDR:CUR;28/03/2022;14330;14363;14330;14362
USDIDR:CUR;25/03/2022;14330;14345;14330;14340
USDIDR:CUR;24/03/2022;14375;14375;14344;14344
USDIDR:CUR;23/03/2022;14330;14358;14330;14345
USDIDR:CUR;22/03/2022;14340;14360;14340;14356
USDIDR:CUR;21/03/2022;14340;14345;14324;14338
USDIDR:CUR;18/03/2022;14300;14345;14300;14340
USDIDR:CUR;17/03/2022;14280;14300;14250;14300
USDIDR:CUR;16/03/2022;14285;14320;14285;14310
USDIDR:CUR;15/03/2022;14335;14340;14290;14325
USDIDR:CUR;14/03/2022;14300;14335;14300;14330
USDIDR:CUR;11/03/2022;14270;14315;14270;14300
USDIDR:CUR;10/03/2022;14280;14315;14240;14275
USDIDR:CUR;09/03/2022;14340;14382;14340;14345
USDIDR:CUR;08/03/2022;14385;14400;14380;14395
USDIDR:CUR;07/03/2022;14400;14410;14395;14405
USDIDR:CUR;04/03/2022;14370;14390;14370;14385
USDIDR:CUR;03/03/2022;14385;14385;14385;14385
USDIDR:CUR;02/03/2022;14335;14385;14335;14385
USDIDR:CUR;01/03/2022;14330;14360;14330;14335
USDIDR:CUR;28/02/2022;14365;14365;14365;14365
USDIDR:CUR;25/02/2022;14365;14375;14355;14365
USDIDR:CUR;24/02/2022;14350;14385;14320;14380
USDIDR:CUR;23/02/2022;14340;14360;14335;14335
USDIDR:CUR;22/02/2022;14330;14370;14310;14361
USDIDR:CUR;21/02/2022;14340;14340;14312;14325
USDIDR:CUR;18/02/2022;14315;14350;14310;14325
USDIDR:CUR;17/02/2022;14240;14320;14240;14315
USDIDR:CUR;16/02/2022;14265;14295;14245;14255
USDIDR:CUR;15/02/2022;14305;14305;14270;14300
USDIDR:CUR;14/02/2022;14340;14350;14316;14325
USDIDR:CUR;11/02/2022;14340;14365;14340;14350
USDIDR:CUR;10/02/2022;14345;14349;14325;14340
USDIDR:CUR;09/02/2022;14365;14375;14355;14355
USDIDR:CUR;08/02/2022;14380;14393;14370;14390
USDIDR:CUR;07/02/2022;14380;14408;14360;14395
USDIDR:CUR;04/02/2022;14370;14378;14360;14378
USDIDR:CUR;03/02/2022;14355;14385;14340;14375
USDIDR:CUR;02/02/2022;14305;14355;14305;14355
USDIDR:CUR;01/02/2022;14380;14380;14380;14380
USDIDR:CUR;31/01/2022;14390;14405;14360;14380
USDIDR:CUR;28/01/2022;14360;14390;14350;14385
USDIDR:CUR;27/01/2022;14370;14390;14350;14385
USDIDR:CUR;26/01/2022;14300;14355;14300;14350
USDIDR:CUR;25/01/2022;14340;14360;14340;14350
USDIDR:CUR;24/01/2022;14300;14348;14300;14340
USDIDR:CUR;21/01/2022;14340;14355;14330;14335
USDIDR:CUR;20/01/2022;14320;14360;14320;14335
USDIDR:CUR;19/01/2022;14340;14375;14310;14360
USDIDR:CUR;18/01/2022;14295;14342;14290;14335
USDIDR:CUR;17/01/2022;14300;14325;14275;14315
USDIDR:CUR;14/01/2022;14300;14317;14288;14295
USDIDR:CUR;13/01/2022;14305;14317;14289;14290
USDIDR:CUR;12/01/2022;14290;14320;14280;14315
USDIDR:CUR;11/01/2022;14285;14310;14260;14300
USDIDR:CUR;10/01/2022;14290;14335;14290;14305
USDIDR:CUR;07/01/2022;14360;14365;14350;14355
USDIDR:CUR;06/01/2022;14388;14398;14372;14390
