Symbol;Date;Open;High;Low;Close
USDILS:CUR;17/06/2022;3.4348;3.4509;3.4348;3.4489
USDILS:CUR;16/06/2022;3.4348;3.4695;3.4259;3.4558
USDILS:CUR;15/06/2022;3.4677;3.4703;3.4237;3.435
USDILS:CUR;14/06/2022;3.4632;3.4751;3.4341;3.4667
USDILS:CUR;13/06/2022;3.3932;3.4734;3.3885;3.4621
USDILS:CUR;10/06/2022;3.3624;3.3968;3.3537;3.3931
USDILS:CUR;09/06/2022;3.33955;3.36299;3.32649;3.36205
USDILS:CUR;08/06/2022;3.33955;3.34955;3.32119;3.3266
USDILS:CUR;07/06/2022;3.3448;3.35118;3.3102;3.3404
USDILS:CUR;06/06/2022;3.3448;3.3448;3.2992;3.2992
USDILS:CUR;03/06/2022;3.3448;3.3448;3.31794;3.32189
USDILS:CUR;02/06/2022;3.3448;3.3517;3.322;3.3246
USDILS:CUR;01/06/2022;3.31925;3.3555;3.31559;3.3475
USDILS:CUR;31/05/2022;3.33547;3.3507;3.3131;3.3171
USDILS:CUR;30/05/2022;3.33547;3.351;3.3115;3.3316
USDILS:CUR;27/05/2022;3.33547;3.36283;3.33547;3.34859
USDILS:CUR;26/05/2022;3.33547;3.3691;3.3331;3.346
USDILS:CUR;25/05/2022;3.33547;3.36541;3.3341;3.33439
USDILS:CUR;24/05/2022;3.33547;3.36621;3.3346;3.3433
USDILS:CUR;23/05/2022;3.44744;3.44744;3.334;3.3362
USDILS:CUR;20/05/2022;3.44744;3.44744;3.33645;3.3571
USDILS:CUR;19/05/2022;3.44744;3.44744;3.35809;3.3642
USDILS:CUR;18/05/2022;3.44744;3.44744;3.34159;3.3778
USDILS:CUR;17/05/2022;3.44744;3.44744;3.3417;3.3445
USDILS:CUR;16/05/2022;3.44744;3.44744;3.3814;3.3814
USDILS:CUR;13/05/2022;3.44744;3.44744;3.3949;3.3972
USDILS:CUR;12/05/2022;3.44744;3.4691;3.4249;3.4466
