Symbol;Date;Open;High;Low;Close
USDKGS:CUR;17/06/2022;79.501;79.501;79.501;79.501
USDKGS:CUR;16/06/2022;79.501;79.501;79;79.501
USDKGS:CUR;15/06/2022;79.501;79.501;79.501;79.501
USDKGS:CUR;14/06/2022;79.501;79.501;79.501;79.501
USDKGS:CUR;13/06/2022;79.5013;79.5013;79;79.501
USDKGS:CUR;10/06/2022;79.5096;79.5096;79;79.5013
USDKGS:CUR;09/06/2022;79.5094;79.5096;79;79.5096
USDKGS:CUR;08/06/2022;79.5;79.5094;79;79.5094
USDKGS:CUR;07/06/2022;79.5;79.5;79;79.5
USDKGS:CUR;06/06/2022;79.5;79.5;79;79.5
USDKGS:CUR;03/06/2022;79.5477;79.5477;79.5;79.5
USDKGS:CUR;02/06/2022;79.5477;79.5477;79;79.5477
USDKGS:CUR;01/06/2022;80.7737;80.9;79.5477;79.5477
USDKGS:CUR;31/05/2022;80.7737;81;80.7737;80.7737
USDKGS:CUR;30/05/2022;80.7737;80.7737;80.7737;80.7737
USDKGS:CUR;27/05/2022;79.5;79.5;79;79
USDKGS:CUR;26/05/2022;79.5;79.5;79;79.5
USDKGS:CUR;25/05/2022;79.5;79.5;79;79.5
USDKGS:CUR;24/05/2022;79.5;79.5;79;79.5
USDKGS:CUR;23/05/2022;79.8696;79.8696;79;79
USDKGS:CUR;20/05/2022;80.0099;80.0099;79.8696;79.8696
USDKGS:CUR;19/05/2022;80.2775;80.2775;79.5;80.0099
USDKGS:CUR;18/05/2022;82.2807;82.2807;80.2775;80.2775
USDKGS:CUR;17/05/2022;82.3833;82.3833;82;82.2807
USDKGS:CUR;16/05/2022;82.6741;82.6741;82;82.3833
USDKGS:CUR;13/05/2022;82.6741;82.6741;82.6741;82.6741
USDKGS:CUR;12/05/2022;82.6579;82.6741;82;82.6741
USDKGS:CUR;11/05/2022;82.1238;82.6579;82.1238;82.6579
USDKGS:CUR;10/05/2022;82;82.1238;81.5;82.1238
USDKGS:CUR;09/05/2022;82;82;81.5;82
USDKGS:CUR;06/05/2022;82;82;82;82
