Symbol;Date;Open;High;Low;Close
USDKHR:CUR;17/06/2022;4055;4055;4055;4055
USDKHR:CUR;16/06/2022;4053;4055;4050.945;4055
USDKHR:CUR;15/06/2022;4052;4053;4047.44849;4053
USDKHR:CUR;14/06/2022;4052;4084;4043.90015;4052
USDKHR:CUR;13/06/2022;4066.5;4066.5;4047.948;4052
USDKHR:CUR;10/06/2022;4052;4053;4051;4052
USDKHR:CUR;09/06/2022;4051;4061.43457;4043.3457;4061.43457
USDKHR:CUR;08/06/2022;4050;4051;4049.5;4051
USDKHR:CUR;07/06/2022;4051;4061.5;4050;4050
USDKHR:CUR;06/06/2022;4050;4055.5;4043.3457;4051
USDKHR:CUR;03/06/2022;4051;4051.5;4047.44849;4050
USDKHR:CUR;02/06/2022;4050;4051;4046.949;4051
USDKHR:CUR;01/06/2022;4052;4052;4047.44849;4050
USDKHR:CUR;31/05/2022;4053;4053.44238;4048.947;4052
USDKHR:CUR;30/05/2022;4053;4053;4053;4053
USDKHR:CUR;27/05/2022;4053;4053.44238;4050;4053
USDKHR:CUR;26/05/2022;4053;4054;4045.67334;4053
USDKHR:CUR;25/05/2022;4051;4053;4046.949;4053
USDKHR:CUR;24/05/2022;4052;4052;4046.949;4046.949
USDKHR:CUR;23/05/2022;4050;4052;4045.95;4047.948
USDKHR:CUR;20/05/2022;4051;4052.5;4047.892;4051
USDKHR:CUR;19/05/2022;4050;4051.5;4041.904;4051
USDKHR:CUR;18/05/2022;4051;4051.944;4047.892;4050
USDKHR:CUR;17/05/2022;4051;4051.944;4048.5;4051
USDKHR:CUR;16/05/2022;4062.5;4062.5;4038.957;4051
USDKHR:CUR;13/05/2022;4050;4052;4044.951;4052
USDKHR:CUR;12/05/2022;4050;4051;4041.405;4050
USDKHR:CUR;11/05/2022;4048;4050;4046.5;4050
USDKHR:CUR;10/05/2022;4047;4050.5;4045;4048
USDKHR:CUR;09/05/2022;4052.5;4057.5;4040;4050
USDKHR:CUR;06/05/2022;4042;4042;4037.958;4037.958
USDKHR:CUR;05/05/2022;4040;4045;4040;4042
USDKHR:CUR;04/05/2022;4040;4044.45142;4036.45947;4042
USDKHR:CUR;03/05/2022;4038;4040.5;4034.46143;4040
USDKHR:CUR;02/05/2022;4035;4048.5;4034;4038
USDKHR:CUR;29/04/2022;4036;4036.5;4028.46753;4033
