Symbol;Date;Open;High;Low;Close
USDKZT:CUR;17/06/2022;439.28;444.39999;439.28;444.38
USDKZT:CUR;16/06/2022;439.28;444.38;438.58;444.38
USDKZT:CUR;15/06/2022;436.78;439.48;435.75;439.28
USDKZT:CUR;14/06/2022;436.98;437.5;434.88;436.78
USDKZT:CUR;13/06/2022;436.08;437.58;433.58;436.98
USDKZT:CUR;10/06/2022;436.08;436.5;434.28;436.08
USDKZT:CUR;09/06/2022;434.08;437.98;430.58;436.08
USDKZT:CUR;08/06/2022;430.88;435.08;429.75;434.08
USDKZT:CUR;07/06/2022;432.08;432.08;428.78;430.88
USDKZT:CUR;06/06/2022;434.08;434.08;430.5;432.08
USDKZT:CUR;03/06/2022;434.78;435.58;430.5;434.08
USDKZT:CUR;02/06/2022;428.38;435.78;428.38;434.78
USDKZT:CUR;01/06/2022;425.08;432.88;418.98;428.38
USDKZT:CUR;31/05/2022;423.58;426.5;411.58;425.08
USDKZT:CUR;30/05/2022;434.78;434.78;419.58;423.58
USDKZT:CUR;27/05/2022;423.28;435.38;423.28;434.78
USDKZT:CUR;26/05/2022;415.5;425;414.75;423.28
USDKZT:CUR;25/05/2022;416.38;416.5;413.5;415.58
USDKZT:CUR;24/05/2022;420.58;421;415.08;416.5
USDKZT:CUR;23/05/2022;427.58;428;420.58;420.58
USDKZT:CUR;20/05/2022;429;429;421.08;427.58
USDKZT:CUR;19/05/2022;432.88;433.18;427.48;429
USDKZT:CUR;18/05/2022;433.98;434;431.5;432.88
USDKZT:CUR;17/05/2022;432.48;434.58;430.68;433.98
USDKZT:CUR;16/05/2022;431.78;432.48;428.08;432.48
USDKZT:CUR;13/05/2022;433.58;433.58;426.28;431.78
USDKZT:CUR;12/05/2022;440.58;440.58;431.08;433.58
USDKZT:CUR;11/05/2022;439.08;445.08;438.58;440.58
USDKZT:CUR;10/05/2022;439.08;439.08;439.08;439.08
USDKZT:CUR;09/05/2022;439.08;439.08;439.08;439.08
USDKZT:CUR;06/05/2022;426.68;439.28;426.08;439.08
