Symbol;Date;Open;High;Low;Close
USDLAK:CUR;16/06/2022;15098;15098;14980;14980
USDLAK:CUR;15/06/2022;14650.6;14650.6;14650.6;14650.6
USDLAK:CUR;14/06/2022;14636.3;14665.3;14636.3;14665.3
USDLAK:CUR;13/06/2022;14636.3;14680;14636.3;14680
USDLAK:CUR;10/06/2022;14651;14651;14651;14651
USDLAK:CUR;09/06/2022;14358;14370;14356.5;14356.5
USDLAK:CUR;08/06/2022;14333;14333;14333;14333
USDLAK:CUR;07/06/2022;14300;14300;14300;14300
USDLAK:CUR;06/06/2022;14135.9;14135.9;14127.3;14127.3
USDLAK:CUR;03/06/2022;13905;13905;13905;13905
USDLAK:CUR;02/06/2022;13905;13905;13905;13905
USDLAK:CUR;01/06/2022;13401.6;13401.6;13401.6;13401.6
USDLAK:CUR;31/05/2022;13412;13415;13388.6;13415
USDLAK:CUR;30/05/2022;13408;13408;13408;13408
USDLAK:CUR;27/05/2022;13388.6;13405;13388.6;13405
USDLAK:CUR;26/05/2022;13248.7;13248.7;13226.8;13226.8
USDLAK:CUR;25/05/2022;13262;13262;13245;13245
USDLAK:CUR;24/05/2022;13250;13250;13227.4;13227.4
USDLAK:CUR;23/05/2022;13216.6;13281.6;13216.6;13281.6
USDLAK:CUR;20/05/2022;13243;13243;13216.6;13240
USDLAK:CUR;19/05/2022;13200;13243;13176.6;13240
USDLAK:CUR;18/05/2022;13203;13203;13176.6;13176.6
USDLAK:CUR;17/05/2022;13197;13205;13183.8;13205
USDLAK:CUR;16/05/2022;13183.8;13210;13183.8;13200
USDLAK:CUR;13/05/2022;12774.4;12774.4;12774.4;12774.4
USDLAK:CUR;12/05/2022;12800;12800;12774.4;12774.4
USDLAK:CUR;11/05/2022;12791.2;12800;12791.2;12800
USDLAK:CUR;10/05/2022;12741;12741;12730;12730
USDLAK:CUR;09/05/2022;12442.2;12442.2;12429.8;12429.8
USDLAK:CUR;06/05/2022;12398.6;12398.6;12389.5;12389.5
USDLAK:CUR;05/05/2022;12380;12411;12380;12410
USDLAK:CUR;04/05/2022;12387;12387;12337.7;12374.6
USDLAK:CUR;03/05/2022;12363;12372;12359.6;12370
USDLAK:CUR;02/05/2022;12337.7;12365;12337.7;12365
USDLAK:CUR;29/04/2022;12357;12357;12251.7;12350
USDLAK:CUR;28/04/2022;12320;12320;12300;12300
USDLAK:CUR;27/04/2022;12210;12210;12210;12210
USDLAK:CUR;26/04/2022;11992;11992;11992;11992
USDLAK:CUR;25/04/2022;12004;12005;11958.9;12005
USDLAK:CUR;22/04/2022;11980;11980;11958.9;11958.9
USDLAK:CUR;21/04/2022;11920;11920;11900;11900
USDLAK:CUR;20/04/2022;11914;11914;11885;11885
USDLAK:CUR;19/04/2022;11908;11908;11890;11890
USDLAK:CUR;18/04/2022;11890;11890;11863.2;11863.2
USDLAK:CUR;15/04/2022;11850;11850;11850;11850
USDLAK:CUR;14/04/2022;11838.2;11838.2;11835.9;11835.9
USDLAK:CUR;13/04/2022;11827.4;11850;11827.4;11850
USDLAK:CUR;12/04/2022;11867;11867;11839.2;11839.2
USDLAK:CUR;11/04/2022;11861;11861;11828.2;11828.2
USDLAK:CUR;08/04/2022;11861;11861;11820;11820
USDLAK:CUR;07/04/2022;11811;11837;11778.4;11810
USDLAK:CUR;06/04/2022;11825;11825;11778.4;11810
USDLAK:CUR;05/04/2022;11802;11802;11742.4;11775
USDLAK:CUR;04/04/2022;11766;11766;11740;11740
USDLAK:CUR;01/04/2022;11754;11754;11660.3;11710
USDLAK:CUR;31/03/2022;11731;11731;11705;11705
USDLAK:CUR;30/03/2022;11731;11731;11731;11731
USDLAK:CUR;29/03/2022;11710;11710;11710;11710
USDLAK:CUR;28/03/2022;11672;11672;11650;11650
USDLAK:CUR;25/03/2022;11652;11652;11563.4;11610
USDLAK:CUR;24/03/2022;11475.5;11615;11475.5;11615
USDLAK:CUR;23/03/2022;11580;11580;11575;11575
USDLAK:CUR;22/03/2022;11546;11546;11487;11525
USDLAK:CUR;21/03/2022;11511;11511;11510;11510
USDLAK:CUR;18/03/2022;11488;11488;11470;11470
USDLAK:CUR;17/03/2022;11482;11482;11470.5;11470.5
USDLAK:CUR;16/03/2022;11476;11476;11450;11450
USDLAK:CUR;15/03/2022;11474;11487;11450;11450
USDLAK:CUR;14/03/2022;11468;11468;11436.3;11450
