Symbol;Date;Open;High;Low;Close
USDLKR:CUR;17/06/2022;356.96;356.96;351.24;351.24
USDLKR:CUR;16/06/2022;354.96;359;349.24;357
USDLKR:CUR;15/06/2022;357;358;355;355
USDLKR:CUR;14/06/2022;354.96;354.96;349.24;349.24
USDLKR:CUR;13/06/2022;354.96;357;349.24;355
USDLKR:CUR;10/06/2022;356.96;359.75;348.92;355
USDLKR:CUR;09/06/2022;356.96;360;349.16;357
USDLKR:CUR;08/06/2022;356.96;357;349.04;357
USDLKR:CUR;07/06/2022;361.84;361.84;353.3;357
USDLKR:CUR;06/06/2022;355.96;362;348.44;361.84
USDLKR:CUR;03/06/2022;354.46;360;348.74;356
USDLKR:CUR;02/06/2022;353.96;360;348.8;354.5
USDLKR:CUR;01/06/2022;354.96;360;349.24;354
USDLKR:CUR;31/05/2022;358.92;360;350.92;355
USDLKR:CUR;30/05/2022;358.96;360;350.92;358.92
USDLKR:CUR;27/05/2022;359.46;359.46;351.62;359
USDLKR:CUR;26/05/2022;358.96;359.5;350.92;359.5
USDLKR:CUR;25/05/2022;354.46;360;348.74;359
USDLKR:CUR;24/05/2022;354.46;355;348.74;354.5
USDLKR:CUR;23/05/2022;354.96;355;348.92;354.5
USDLKR:CUR;20/05/2022;354.88;355;349.08;355
USDLKR:CUR;19/05/2022;354.96;355;349.24;354.88
USDLKR:CUR;18/05/2022;354.96;355;349.24;355
USDLKR:CUR;17/05/2022;355;355;354.52;355
USDLKR:CUR;16/05/2022;354.96;354.96;349.24;349.24
USDLKR:CUR;13/05/2022;364.96;364.96;350;355
USDLKR:CUR;12/05/2022;359.96;365;354.24;365
USDLKR:CUR;11/05/2022;359.88;360;354.24;360
USDLKR:CUR;10/05/2022;359.96;360;354.24;359.88
USDLKR:CUR;09/05/2022;354.96;365;349.24;360
USDLKR:CUR;06/05/2022;364.96;364.96;354.48;355
USDLKR:CUR;05/05/2022;344.96;372;342.12;365
USDLKR:CUR;04/05/2022;344.28;360;344.24;345
USDLKR:CUR;03/05/2022;344.32;344.32;344.32;344.32
USDLKR:CUR;02/05/2022;349.96;349.96;344.32;344.32
USDLKR:CUR;29/04/2022;344.96;350;339.32;350
USDLKR:CUR;28/04/2022;349.92;350;344.32;345
USDLKR:CUR;27/04/2022;339.96;350;331.44;349.92
USDLKR:CUR;26/04/2022;329.96;340;324.32;340
USDLKR:CUR;25/04/2022;329.96;335;324.32;330
USDLKR:CUR;22/04/2022;329.96;335;324.32;330
