Symbol;Date;Open;High;Low;Close
USDMNT:CUR;16/06/2022;3112;3112;3110;3110
USDMNT:CUR;15/06/2022;3111;3111;3111;3111
USDMNT:CUR;14/06/2022;3110;3110;3110;3110
USDMNT:CUR;13/06/2022;3110;3110;3105;3105
USDMNT:CUR;10/06/2022;3100;3100;3100;3100
USDMNT:CUR;09/06/2022;3100;3110;3100;3110
USDMNT:CUR;08/06/2022;3100;3100;3100;3100
USDMNT:CUR;07/06/2022;3100;3100;3100;3100
USDMNT:CUR;06/06/2022;3110;3110;3105;3110
USDMNT:CUR;03/06/2022;3109;3109;3109;3109
USDMNT:CUR;02/06/2022;3109;3109;3100;3100
USDMNT:CUR;01/06/2022;3110;3110;3105;3105
USDMNT:CUR;31/05/2022;3111;3111;3100;3100
USDMNT:CUR;30/05/2022;3114;3114;3114;3114
USDMNT:CUR;27/05/2022;3109;3110;3105;3110
USDMNT:CUR;26/05/2022;3107;3109;3100;3100
USDMNT:CUR;25/05/2022;3105;3106;3105;3106
USDMNT:CUR;24/05/2022;3109;3109;3100;3107
USDMNT:CUR;23/05/2022;3109;3109;3100;3103
USDMNT:CUR;20/05/2022;3109;3109;3105;3105
USDMNT:CUR;19/05/2022;3100;3108;3100;3100
USDMNT:CUR;18/05/2022;3107;3107;3107;3107
USDMNT:CUR;17/05/2022;3102;3105;3100;3100
USDMNT:CUR;16/05/2022;3102;3102;3100;3100
USDMNT:CUR;13/05/2022;3102;3102;3100;3100
USDMNT:CUR;12/05/2022;3087;3098;3087;3095
USDMNT:CUR;11/05/2022;3087;3096;3087;3096
USDMNT:CUR;10/05/2022;3070;3085;3070;3085
USDMNT:CUR;09/05/2022;3080;3080;3075;3075
USDMNT:CUR;06/05/2022;3081;3089;3080;3089
USDMNT:CUR;05/05/2022;3072;3081;3072;3075
USDMNT:CUR;04/05/2022;3077;3082;3077;3082
USDMNT:CUR;03/05/2022;3075;3077;3075;3075
USDMNT:CUR;02/05/2022;3077;3077;3070;3070
USDMNT:CUR;29/04/2022;3074;3080;3074;3080
USDMNT:CUR;28/04/2022;3069;3070;3065;3070
USDMNT:CUR;27/04/2022;3063;3069;3063;3065
USDMNT:CUR;26/04/2022;3063;3063;3060;3060
USDMNT:CUR;25/04/2022;3057;3061;3050;3050
USDMNT:CUR;22/04/2022;3057;3057;3050;3057
USDMNT:CUR;21/04/2022;3051;3051;3035;3035
USDMNT:CUR;20/04/2022;3049;3049;3037;3037
USDMNT:CUR;19/04/2022;3044;3044;3030;3030
USDMNT:CUR;18/04/2022;3042;3042;3030;3042
USDMNT:CUR;15/04/2022;3025;3025;3025;3025
USDMNT:CUR;14/04/2022;3030;3030;3025;3030
USDMNT:CUR;13/04/2022;3027;3027;3015;3015
USDMNT:CUR;12/04/2022;3014;3018;3010;3018
USDMNT:CUR;11/04/2022;3014;3014;3000;3014
USDMNT:CUR;08/04/2022;3008;3010;3008;3010
USDMNT:CUR;07/04/2022;3001;3007;3000;3000
USDMNT:CUR;06/04/2022;2985;3005;2985;3005
USDMNT:CUR;05/04/2022;2968;2980;2960;2980
USDMNT:CUR;04/04/2022;2970;2970;2968;2970
USDMNT:CUR;01/04/2022;2919;2961;2919;2950
USDMNT:CUR;31/03/2022;2930;2930;2925;2925
USDMNT:CUR;30/03/2022;2925;2925;2925;2925
