Symbol;Date;Open;High;Low;Close
USDMOP:CUR;17/06/2022;8.085;8.085;8.077;8.077
USDMOP:CUR;16/06/2022;8.085;8.085;8.077;8.085
USDMOP:CUR;15/06/2022;8.085;8.086;8.078;8.085
USDMOP:CUR;14/06/2022;8.085;8.086;8.071;8.085
USDMOP:CUR;13/06/2022;8.085;8.086;8.077;8.085
USDMOP:CUR;10/06/2022;8.084;8.086;8.076;8.085
USDMOP:CUR;09/06/2022;8.084;8.085;8.076;8.084
USDMOP:CUR;08/06/2022;8.082;8.084;8.073;8.084
USDMOP:CUR;07/06/2022;8.08;8.083;8.073;8.082
USDMOP:CUR;06/06/2022;8.08;8.082;8.073;8.08
USDMOP:CUR;03/06/2022;8.08;8.082;8.072;8.08
USDMOP:CUR;02/06/2022;8.083;8.083;8.073;8.08
USDMOP:CUR;01/06/2022;8.082;8.085;8.074;8.083
USDMOP:CUR;31/05/2022;8.084;8.085;8.075;8.082
USDMOP:CUR;30/05/2022;8.085;8.085;8.076;8.084
USDMOP:CUR;27/05/2022;8.085;8.085;8.077;8.085
USDMOP:CUR;26/05/2022;8.085;8.085;8.077;8.085
USDMOP:CUR;25/05/2022;8.085;8.086;8.077;8.085
USDMOP:CUR;24/05/2022;8.085;8.085;8.077;8.085
USDMOP:CUR;23/05/2022;8.083;8.085;8.071;8.077
USDMOP:CUR;20/05/2022;8.083;8.084;8.071;8.083
USDMOP:CUR;19/05/2022;8.084;8.085;8.074;8.083
USDMOP:CUR;18/05/2022;8.085;8.085;8.076;8.084
USDMOP:CUR;17/05/2022;8.085;8.086;8.077;8.085
USDMOP:CUR;16/05/2022;8.085;8.086;8.077;8.085
USDMOP:CUR;13/05/2022;8.085;8.086;8.077;8.085
USDMOP:CUR;12/05/2022;8.085;8.086;8.077;8.085
USDMOP:CUR;11/05/2022;8.083;8.085;8.077;8.085
USDMOP:CUR;10/05/2022;8.086;8.086;8.077;8.083
USDMOP:CUR;09/05/2022;8.085;8.086;8.077;8.086
USDMOP:CUR;06/05/2022;8.085;8.085;8.071;8.085
USDMOP:CUR;05/05/2022;8.076;8.085;8.071;8.085
USDMOP:CUR;04/05/2022;8.083;8.084;8.075;8.084
USDMOP:CUR;03/05/2022;8.075;8.083;8.072;8.083
USDMOP:CUR;02/05/2022;8.082;8.082;8.072;8.072
USDMOP:CUR;29/04/2022;8.07;8.082;8.07;8.082
USDMOP:CUR;28/04/2022;8.07;8.075;8.07;8.07
USDMOP:CUR;27/04/2022;8.081;8.081;8.066;8.07
USDMOP:CUR;26/04/2022;8.074;8.081;8.066;8.081
USDMOP:CUR;25/04/2022;8.074;8.074;8.066;8.074
USDMOP:CUR;22/04/2022;8.08;8.08;8.066;8.066
USDMOP:CUR;21/04/2022;8.079;8.08;8.071;8.08
USDMOP:CUR;20/04/2022;8.077;8.08;8.07;8.079
USDMOP:CUR;19/04/2022;8.065;8.079;8.065;8.077
USDMOP:CUR;18/04/2022;8.066;8.071;8.057;8.057
USDMOP:CUR;15/04/2022;8.065;8.07;8.065;8.066
USDMOP:CUR;14/04/2022;8.066;8.067;8.057;8.057
USDMOP:CUR;13/04/2022;8.072;8.073;8.06;8.066
USDMOP:CUR;12/04/2022;8.073;8.074;8.063;8.072
USDMOP:CUR;11/04/2022;8.067;8.075;8.065;8.073
USDMOP:CUR;08/04/2022;8.066;8.066;8.059;8.066
USDMOP:CUR;07/04/2022;8.063;8.066;8.056;8.066
USDMOP:CUR;06/04/2022;8.064;8.066;8.056;8.063
USDMOP:CUR;05/04/2022;8.065;8.066;8.057;8.064
USDMOP:CUR;04/04/2022;8.065;8.065;8.055;8.065
USDMOP:CUR;01/04/2022;8.068;8.071;8.057;8.068
USDMOP:CUR;31/03/2022;8.062;8.069;8.054;8.067
USDMOP:CUR;30/03/2022;8.062;8.063;8.053;8.062
USDMOP:CUR;29/03/2022;8.064;8.065;8.055;8.062
USDMOP:CUR;28/03/2022;8.059;8.065;8.05;8.065
USDMOP:CUR;25/03/2022;8.058;8.061;8.05;8.059
USDMOP:CUR;24/03/2022;8.059;8.06;8.05;8.058
USDMOP:CUR;23/03/2022;8.061;8.063;8.053;8.058
USDMOP:CUR;22/03/2022;8.06;8.064;8.054;8.061
USDMOP:CUR;21/03/2022;8.059;8.062;8.051;8.06
USDMOP:CUR;18/03/2022;8.053;8.06;8.044;8.059
USDMOP:CUR;17/03/2022;8.06;8.06;8.044;8.053
USDMOP:CUR;16/03/2022;8.06;8.06;8.049;8.06
USDMOP:CUR;15/03/2022;8.057;8.06;8.048;8.06
USDMOP:CUR;14/03/2022;8.041;8.057;8.041;8.057
USDMOP:CUR;11/03/2022;8.051;8.052;8.041;8.047
USDMOP:CUR;10/03/2022;8.052;8.052;8.041;8.041
USDMOP:CUR;09/03/2022;8.053;8.056;8.043;8.052
USDMOP:CUR;08/03/2022;8.054;8.057;8.043;8.053
USDMOP:CUR;07/03/2022;8.049;8.055;8.041;8.054
USDMOP:CUR;04/03/2022;8.05;8.053;8.041;8.048
USDMOP:CUR;03/03/2022;8.047;8.051;8.04;8.051
USDMOP:CUR;02/03/2022;8.038;8.051;8.037;8.047
USDMOP:CUR;01/03/2022;8.048;8.049;8.037;8.038
USDMOP:CUR;28/02/2022;8.042;8.049;8.038;8.048
USDMOP:CUR;25/02/2022;8.042;8.044;8.034;8.042
USDMOP:CUR;24/02/2022;8.039;8.044;8.031;8.042
USDMOP:CUR;23/02/2022;8.036;8.04;8.029;8.039
USDMOP:CUR;22/02/2022;8.035;8.038;8.028;8.036
USDMOP:CUR;21/02/2022;8.034;8.037;8.026;8.035
USDMOP:CUR;18/02/2022;8.033;8.035;8.026;8.034
USDMOP:CUR;17/02/2022;8.035;8.036;8.026;8.033
USDMOP:CUR;16/02/2022;8.035;8.037;8.027;8.035
USDMOP:CUR;15/02/2022;8.036;8.038;8.027;8.035
USDMOP:CUR;14/02/2022;8.034;8.038;8.027;8.036
USDMOP:CUR;13/02/2022;8.031;8.034;8.031;8.034
USDMOP:CUR;11/02/2022;8.029;8.039;8.025;8.034
USDMOP:CUR;10/02/2022;8.024;8.029;8.018;8.029
USDMOP:CUR;09/02/2022;8.027;8.028;8.018;8.024
