Symbol;Date;Open;High;Low;Close
USDMYR:CUR;17/06/2022;4.393;4.399;4.393;4.398
USDMYR:CUR;16/06/2022;4.41;4.41;4.394;4.4
USDMYR:CUR;15/06/2022;4.419;4.42;4.412;4.412
USDMYR:CUR;14/06/2022;4.418;4.424;4.417;4.42
USDMYR:CUR;13/06/2022;4.405;4.419;4.405;4.417
USDMYR:CUR;10/06/2022;4.397;4.4;4.396;4.4
USDMYR:CUR;09/06/2022;4.392;4.394;4.39;4.392
USDMYR:CUR;08/06/2022;4.393;4.394;4.388;4.392
USDMYR:CUR;07/06/2022;4.388;4.396;4.388;4.3935
USDMYR:CUR;06/06/2022;4.387;4.387;4.387;4.387
USDMYR:CUR;03/06/2022;4.38;4.387;4.377;4.387
USDMYR:CUR;02/06/2022;4.385;4.393;4.385;4.389
USDMYR:CUR;01/06/2022;4.376;4.388;4.376;4.381
USDMYR:CUR;31/05/2022;4.365;4.38;4.365;4.377
USDMYR:CUR;30/05/2022;4.376;4.376;4.363;4.364
USDMYR:CUR;27/05/2022;4.39;4.392;4.375;4.377
USDMYR:CUR;26/05/2022;4.393;4.399;4.392;4.396
USDMYR:CUR;25/05/2022;4.393;4.393;4.385;4.393
USDMYR:CUR;24/05/2022;4.388;4.395;4.385;4.395
USDMYR:CUR;23/05/2022;4.385;4.391;4.379;4.387
USDMYR:CUR;20/05/2022;4.4;4.4;4.386;4.387
USDMYR:CUR;19/05/2022;4.395;4.405;4.395;4.4025
USDMYR:CUR;18/05/2022;4.38;4.394;4.38;4.3935
USDMYR:CUR;17/05/2022;4.39;4.396;4.383;4.388
USDMYR:CUR;16/05/2022;4.396;4.396;4.396;4.396
USDMYR:CUR;13/05/2022;4.39;4.3965;4.3895;4.396
USDMYR:CUR;12/05/2022;4.378;4.392;4.378;4.392
USDMYR:CUR;11/05/2022;4.38;4.384;4.373;4.375
USDMYR:CUR;10/05/2022;4.381;4.3825;4.372;4.38
USDMYR:CUR;09/05/2022;4.375;4.383;4.373;4.382
USDMYR:CUR;06/05/2022;4.347;4.375;4.345;4.368
USDMYR:CUR;05/05/2022;4.34;4.348;4.333;4.347
USDMYR:CUR;04/05/2022;4.352;4.352;4.352;4.352
USDMYR:CUR;03/05/2022;4.352;4.352;4.352;4.352
USDMYR:CUR;02/05/2022;4.352;4.352;4.352;4.352
USDMYR:CUR;29/04/2022;4.36;4.364;4.347;4.352
USDMYR:CUR;28/04/2022;4.358;4.367;4.356;4.36
USDMYR:CUR;27/04/2022;4.3535;4.358;4.353;4.358
USDMYR:CUR;26/04/2022;4.355;4.355;4.341;4.3535
USDMYR:CUR;25/04/2022;4.335;4.359;4.328;4.355
USDMYR:CUR;22/04/2022;4.295;4.324;4.295;4.323
USDMYR:CUR;21/04/2022;4.28;4.293;4.28;4.289
USDMYR:CUR;20/04/2022;4.26;4.29;4.26;4.279
USDMYR:CUR;19/04/2022;4.253;4.253;4.253;4.253
USDMYR:CUR;18/04/2022;4.232;4.255;4.232;4.253
USDMYR:CUR;15/04/2022;4.23;4.233;4.23;4.233
USDMYR:CUR;14/04/2022;4.223;4.23;4.22;4.23
USDMYR:CUR;13/04/2022;4.228;4.229;4.225;4.229
USDMYR:CUR;12/04/2022;4.23;4.249;4.23;4.231
USDMYR:CUR;11/04/2022;4.22;4.23;4.22;4.229
USDMYR:CUR;08/04/2022;4.218;4.221;4.217;4.22
USDMYR:CUR;07/04/2022;4.217;4.2175;4.213;4.2165
USDMYR:CUR;06/04/2022;4.208;4.218;4.208;4.213
USDMYR:CUR;05/04/2022;4.217;4.218;4.201;4.2085
USDMYR:CUR;04/04/2022;4.21;4.2185;4.21;4.215
USDMYR:CUR;01/04/2022;4.2;4.21;4.2;4.208
USDMYR:CUR;31/03/2022;4.199;4.205;4.199;4.203
USDMYR:CUR;30/03/2022;4.205;4.21;4.198;4.203
USDMYR:CUR;29/03/2022;4.213;4.2285;4.212;4.212
USDMYR:CUR;28/03/2022;4.208;4.22;4.2;4.2145
USDMYR:CUR;25/03/2022;4.222;4.226;4.208;4.208
USDMYR:CUR;24/03/2022;4.222;4.236;4.222;4.224
USDMYR:CUR;23/03/2022;4.21;4.223;4.21;4.222
USDMYR:CUR;22/03/2022;4.203;4.218;4.203;4.215
USDMYR:CUR;21/03/2022;4.195;4.203;4.182;4.203
USDMYR:CUR;18/03/2022;4.192;4.209;4.188;4.191
USDMYR:CUR;17/03/2022;4.19;4.199;4.181;4.1935
USDMYR:CUR;16/03/2022;4.195;4.203;4.195;4.1955
USDMYR:CUR;15/03/2022;4.206;4.21;4.193;4.205
USDMYR:CUR;14/03/2022;4.193;4.207;4.185;4.202
USDMYR:CUR;11/03/2022;4.187;4.193;4.186;4.192
USDMYR:CUR;10/03/2022;4.179;4.188;4.179;4.186
USDMYR:CUR;09/03/2022;4.182;4.189;4.179;4.185
USDMYR:CUR;08/03/2022;4.182;4.185;4.1765;4.18
USDMYR:CUR;07/03/2022;4.18;4.18;4.174;4.175
USDMYR:CUR;04/03/2022;4.185;4.189;4.17;4.176
USDMYR:CUR;03/03/2022;4.185;4.191;4.184;4.1845
USDMYR:CUR;02/03/2022;4.195;4.196;4.187;4.194
USDMYR:CUR;01/03/2022;4.195;4.198;4.185;4.191
USDMYR:CUR;28/02/2022;4.202;4.203;4.19;4.196
USDMYR:CUR;25/02/2022;4.201;4.201;4.183;4.1985
