Symbol;Date;Open;High;Low;Close
USDNPR:CUR;16/06/2022;124.85;124.95;124.82;124.91
USDNPR:CUR;15/06/2022;124.8;124.94;124.78;124.9
USDNPR:CUR;14/06/2022;124.82;124.91;124.74;124.78
USDNPR:CUR;13/06/2022;124.98;125.25;124.83;124.86
USDNPR:CUR;10/06/2022;124.46;124.59;124.46;124.53
USDNPR:CUR;09/06/2022;124.4;124.5;124.38;124.42
USDNPR:CUR;08/06/2022;124.29;124.46;124.22;124.37
USDNPR:CUR;07/06/2022;124.35;124.37;124.29;124.34
USDNPR:CUR;06/06/2022;124.26;124.28;124.18;124.21
USDNPR:CUR;03/06/2022;123.94;124.25;123.94;124.2
USDNPR:CUR;02/06/2022;124.16;124.22;124.07;124.17
USDNPR:CUR;01/06/2022;124.13;124.2;124.01;124.03
USDNPR:CUR;31/05/2022;124.24;124.31;124.19;124.22
USDNPR:CUR;30/05/2022;124.03;124.1;123.95;124.06
USDNPR:CUR;27/05/2022;124.19;124.28;124.1;124.1
USDNPR:CUR;26/05/2022;124.08;124.24;124.04;124.12
USDNPR:CUR;25/05/2022;124.03;124.1;123.9;124.04
USDNPR:CUR;24/05/2022;124.08;124.28;124.03;124.13
USDNPR:CUR;23/05/2022;124.32;124.32;124.01;124.02
USDNPR:CUR;20/05/2022;124.02;124.16;123.98;124.08
USDNPR:CUR;19/05/2022;124.35;124.38;124.21;124.36
USDNPR:CUR;18/05/2022;124.08;124.17;123.95;124.13
USDNPR:CUR;17/05/2022;124.3;124.47;124.06;124.1
USDNPR:CUR;16/05/2022;123.92;123.92;123.92;123.92
USDNPR:CUR;13/05/2022;123.74;123.95;123.63;123.92
USDNPR:CUR;12/05/2022;124;124.21;123.79;123.86
USDNPR:CUR;11/05/2022;123.53;123.68;123.46;123.58
USDNPR:CUR;10/05/2022;123.66;123.91;123.52;123.73
USDNPR:CUR;09/05/2022;123.4;124.03;123.4;123.94
USDNPR:CUR;06/05/2022;122.58;123.15;122.5;123.06
USDNPR:CUR;05/05/2022;121.86;122.06;121.58;122.01
USDNPR:CUR;04/05/2022;122.32;122.52;122;122.26
USDNPR:CUR;03/05/2022;122.42;122.42;122.42;122.42
USDNPR:CUR;02/05/2022;122.4;122.42;122.16;122.42
USDNPR:CUR;29/04/2022;122.62;122.62;122.05;122.28
USDNPR:CUR;28/04/2022;122.58;122.74;122.29;122.37
USDNPR:CUR;27/04/2022;122.67;122.78;122.4;122.45
USDNPR:CUR;26/04/2022;122.34;122.7;122.29;122.53
USDNPR:CUR;25/04/2022;122.58;122.82;122.48;122.7
USDNPR:CUR;22/04/2022;122.06;122.38;121.91;122.37
USDNPR:CUR;21/04/2022;122.05;122.16;121.74;121.83
USDNPR:CUR;20/04/2022;122.23;122.43;121.86;121.94
USDNPR:CUR;19/04/2022;122.1;122.44;122;122.41
USDNPR:CUR;18/04/2022;122.24;122.29;121.92;122.01
USDNPR:CUR;15/04/2022;121.88;121.88;121.88;121.88
USDNPR:CUR;14/04/2022;121.88;121.88;121.88;121.88
USDNPR:CUR;13/04/2022;121.9;122.02;121.82;121.88
USDNPR:CUR;12/04/2022;121.63;121.87;121.55;121.81
USDNPR:CUR;11/04/2022;121.46;121.74;121.26;121.52
USDNPR:CUR;08/04/2022;121.55;121.62;121.12;121.43
USDNPR:CUR;07/04/2022;121.44;121.58;121.22;121.54
USDNPR:CUR;06/04/2022;120.82;121.25;120.78;121.21
USDNPR:CUR;05/04/2022;120.88;120.88;120.5;120.51
USDNPR:CUR;04/04/2022;121.23;121.26;120.67;120.87
USDNPR:CUR;01/04/2022;121.26;121.26;121.26;121.26
USDNPR:CUR;31/03/2022;121.15;121.32;121.04;121.26
USDNPR:CUR;30/03/2022;121.04;121.49;121.04;121.46
USDNPR:CUR;29/03/2022;121.56;121.84;121.44;121.57
USDNPR:CUR;28/03/2022;122.19;122.2;121.84;121.85
USDNPR:CUR;25/03/2022;121.83;122.06;121.79;121.92
USDNPR:CUR;24/03/2022;122.15;122.25;121.97;122.18
USDNPR:CUR;23/03/2022;121.58;122.1;121.57;122.08
USDNPR:CUR;22/03/2022;122.28;122.37;121.74;121.88
USDNPR:CUR;21/03/2022;121.73;121.86;121.65;121.78
USDNPR:CUR;18/03/2022;121.27;121.27;121.27;121.27
USDNPR:CUR;17/03/2022;121.58;121.58;121.23;121.27
USDNPR:CUR;16/03/2022;122.18;122.3;121.96;122.02
USDNPR:CUR;15/03/2022;122.22;122.68;122.11;122.58
USDNPR:CUR;14/03/2022;122.6;122.71;122.43;122.5
USDNPR:CUR;11/03/2022;122.11;122.74;122.04;122.54
USDNPR:CUR;10/03/2022;122.03;122.14;121.71;122.09
USDNPR:CUR;09/03/2022;122.91;122.99;122.49;122.5
USDNPR:CUR;08/03/2022;123.09;123.11;122.74;123.05
USDNPR:CUR;07/03/2022;123.09;123.15;122.88;123.14
USDNPR:CUR;04/03/2022;121.7;121.94;121.58;121.86
USDNPR:CUR;03/03/2022;121.2;121.55;120.96;121.46
USDNPR:CUR;02/03/2022;121.22;121.37;120.9;121.12
USDNPR:CUR;01/03/2022;120.54;120.54;120.54;120.54
USDNPR:CUR;28/02/2022;121.14;121.2;120.48;120.54
USDNPR:CUR;25/02/2022;120.47;120.72;120.28;120.46
USDNPR:CUR;24/02/2022;120.26;121.04;120.04;121.04
USDNPR:CUR;23/02/2022;119.44;119.56;119.25;119.29
USDNPR:CUR;22/02/2022;119.57;119.97;119.52;119.8
USDNPR:CUR;21/02/2022;119.2;119.26;118.96;119.21
USDNPR:CUR;18/02/2022;120;120.07;119.36;119.46
USDNPR:CUR;17/02/2022;120.24;120.27;120.02;120.18
USDNPR:CUR;16/02/2022;120.31;120.33;119.93;120.12
USDNPR:CUR;15/02/2022;120.97;121.14;120.52;120.53
USDNPR:CUR;14/02/2022;120.85;121.02;120.56;120.97
USDNPR:CUR;11/02/2022;120.62;120.66;120.42;120.61
USDNPR:CUR;10/02/2022;119.79;120.06;119.79;119.9
USDNPR:CUR;09/02/2022;119.5;119.78;119.49;119.69
USDNPR:CUR;08/02/2022;119.38;119.67;119.31;119.6
USDNPR:CUR;07/02/2022;119.51;119.51;119.51;119.51
USDNPR:CUR;04/02/2022;119.54;119.63;119.48;119.51
USDNPR:CUR;03/02/2022;119.78;119.86;119.59;119.78
USDNPR:CUR;02/02/2022;119.61;120.02;119.53;119.74
USDNPR:CUR;01/02/2022;119.14;119.78;119.06;119.66
USDNPR:CUR;31/01/2022;119.95;120.08;119.37;119.38
USDNPR:CUR;28/01/2022;120.21;120.21;119.8;120.06
USDNPR:CUR;27/01/2022;120.28;120.48;120.1;120.11
USDNPR:CUR;26/01/2022;119.64;119.64;119.64;119.64
USDNPR:CUR;25/01/2022;119.31;119.66;119.3;119.64
USDNPR:CUR;24/01/2022;119.07;119.5;119.07;119.3
USDNPR:CUR;21/01/2022;119.18;119.28;119.04;119.06
USDNPR:CUR;20/01/2022;119.09;119.25;118.88;119.2
USDNPR:CUR;19/01/2022;119.47;119.52;119.06;119.08
USDNPR:CUR;18/01/2022;119.02;119.36;118.98;119.31
USDNPR:CUR;17/01/2022;118.69;118.98;118.64;118.78
USDNPR:CUR;14/01/2022;118.47;118.72;118.46;118.64
USDNPR:CUR;13/01/2022;118.24;118.35;118.14;118.21
USDNPR:CUR;12/01/2022;118.05;118.48;118.04;118.26
USDNPR:CUR;11/01/2022;118.3;118.4;118.11;118.25
USDNPR:CUR;10/01/2022;118.64;118.74;118.42;118.46
USDNPR:CUR;07/01/2022;118.97;119;118.78;118.89
USDNPR:CUR;06/01/2022;119.14;119.22;118.92;119.18
USDNPR:CUR;05/01/2022;119.28;119.28;118.88;118.98
USDNPR:CUR;04/01/2022;119.21;119.36;119.14;119.28
USDNPR:CUR;03/01/2022;118.95;119.14;118.8;118.82
USDNPR:CUR;31/12/2021;118.98;119.02;118.55;118.93
USDNPR:CUR;30/12/2021;119.3;119.44;119.01;119.06
USDNPR:CUR;29/12/2021;119.52;119.77;119.48;119.58
USDNPR:CUR;28/12/2021;119.86;119.9;119.37;119.44
USDNPR:CUR;27/12/2021;120.22;120.26;119.92;119.99
USDNPR:CUR;24/12/2021;120.26;120.31;120;120.03
USDNPR:CUR;23/12/2021;120.74;120.74;120.35;120.38
