Symbol;Date;Open;High;Low;Close
USDPHP:CUR;17/06/2022;53.47;53.47;53.4;53.455
USDPHP:CUR;16/06/2022;53.3;53.631;53.28;53.47
USDPHP:CUR;15/06/2022;53.24;53.46;53.2;53.37
USDPHP:CUR;14/06/2022;53.24;53.36;53.1;53.27
USDPHP:CUR;13/06/2022;53.08;53.39;53.05;53.29
USDPHP:CUR;10/06/2022;52.96;53.09;52.87;53.05
USDPHP:CUR;09/06/2022;52.99;52.99;52.89;52.96
USDPHP:CUR;08/06/2022;52.83;52.99;52.8;52.99
USDPHP:CUR;07/06/2022;52.93;52.98;52.79;52.83
USDPHP:CUR;06/06/2022;52.85;52.95;52.79;52.93
USDPHP:CUR;03/06/2022;52.75;52.96;52.69;52.9
USDPHP:CUR;02/06/2022;52.47;52.843;52.4;52.78
USDPHP:CUR;01/06/2022;52.44;52.51;52.35;52.47
USDPHP:CUR;31/05/2022;52.29;52.606;52.29;52.44
USDPHP:CUR;30/05/2022;52.19;52.36;52.14;52.29
USDPHP:CUR;27/05/2022;52.34;52.35;52.142;52.23
USDPHP:CUR;26/05/2022;52.41;52.48;52.221;52.34
USDPHP:CUR;25/05/2022;52.32;52.41;52.28;52.41
USDPHP:CUR;24/05/2022;52.25;52.458;52.2;52.32
USDPHP:CUR;23/05/2022;52.22;52.36;52.13;52.25
USDPHP:CUR;20/05/2022;52.25;52.36;52.1;52.2
USDPHP:CUR;19/05/2022;52.46;52.5;52.129;52.25
USDPHP:CUR;18/05/2022;52.38;52.52;52.31;52.45
USDPHP:CUR;17/05/2022;52.41;52.492;52.25;52.38
USDPHP:CUR;16/05/2022;52.4;52.55;52.3;52.41
USDPHP:CUR;13/05/2022;52.38;52.48;52.291;52.37
USDPHP:CUR;12/05/2022;52.17;52.55;52.17;52.38
USDPHP:CUR;11/05/2022;52.29;52.33;51.985;52.17
USDPHP:CUR;10/05/2022;52.45;52.45;52.229;52.29
USDPHP:CUR;09/05/2022;52.495;52.714;52.495;52.589
USDPHP:CUR;06/05/2022;52.41;52.5;52.379;52.41
USDPHP:CUR;05/05/2022;52.34;52.603;52.21;52.41
USDPHP:CUR;04/05/2022;52.45;52.572;52.38;52.39
USDPHP:CUR;03/05/2022;52.54;52.637;52.477;52.51
USDPHP:CUR;02/05/2022;52.2;52.56;52.2;52.54
USDPHP:CUR;29/04/2022;52.37;52.44;52.13;52.31
USDPHP:CUR;28/04/2022;52.15;52.4;51.94;52.37
USDPHP:CUR;27/04/2022;52.3;52.36;52.07;52.15
USDPHP:CUR;26/04/2022;52.35;52.39;52.1;52.3
USDPHP:CUR;25/04/2022;52.37;52.48;52.3;52.38
USDPHP:CUR;22/04/2022;52.43;52.475;52.21;52.33
USDPHP:CUR;21/04/2022;52.35;52.435;52.32;52.43
USDPHP:CUR;20/04/2022;52.46;52.53;52.279;52.35
USDPHP:CUR;19/04/2022;52.3;52.534;52.27;52.46
USDPHP:CUR;18/04/2022;52.22;52.3;52.1;52.3
USDPHP:CUR;15/04/2022;52.18;52.199;52.111;52.15
USDPHP:CUR;14/04/2022;52.07;52.228;52.07;52.18
USDPHP:CUR;13/04/2022;52.02;52.261;51.86;52.07
USDPHP:CUR;12/04/2022;52.1;52.25;51.967;52.02
USDPHP:CUR;11/04/2022;51.55;52.124;51.55;52.1
USDPHP:CUR;08/04/2022;51.4;51.63;51.4;51.59
USDPHP:CUR;07/04/2022;51.27;51.41;51.25;51.39
USDPHP:CUR;06/04/2022;51.28;51.43;51.2;51.27
USDPHP:CUR;05/04/2022;51.34;51.34;51.12;51.28
USDPHP:CUR;04/04/2022;51.6;51.6;51.3;51.34
USDPHP:CUR;01/04/2022;51.71;51.8;51.5;51.52
USDPHP:CUR;31/03/2022;51.97;51.985;51.69;51.71
USDPHP:CUR;30/03/2022;51.97;52.088;51.9;51.97
USDPHP:CUR;29/03/2022;52.07;52.12;51.844;51.97
USDPHP:CUR;28/03/2022;52.14;52.29;52.002;52.07
USDPHP:CUR;25/03/2022;52.25;52.33;52.09;52.1
USDPHP:CUR;24/03/2022;52.35;52.42;52.22;52.25
USDPHP:CUR;23/03/2022;52.33;52.41;52.3;52.35
USDPHP:CUR;22/03/2022;52.41;52.465;52.32;52.33
USDPHP:CUR;21/03/2022;52.35;52.45;52.3;52.41
USDPHP:CUR;18/03/2022;52.14;52.42;52.14;52.29
USDPHP:CUR;17/03/2022;52.13;52.26;52.1;52.14
USDPHP:CUR;16/03/2022;52.31;52.36;52.13;52.13
USDPHP:CUR;15/03/2022;52.39;52.485;52.25;52.31
USDPHP:CUR;14/03/2022;52.3;52.48;52.27;52.39
USDPHP:CUR;11/03/2022;52.22;52.38;52.15;52.31
USDPHP:CUR;10/03/2022;51.98;52.29;51.98;52.22
USDPHP:CUR;09/03/2022;52.3;52.3;51.87;51.98
USDPHP:CUR;08/03/2022;52.28;52.33;52;52.3
USDPHP:CUR;07/03/2022;51.9;52.36;51.84;52.28
USDPHP:CUR;04/03/2022;51.62;52.06;51.55;51.94
USDPHP:CUR;03/03/2022;51.42;51.717;51.4;51.62
USDPHP:CUR;02/03/2022;51.34;51.558;51.3;51.42
USDPHP:CUR;01/03/2022;51.17;51.36;51.17;51.34
USDPHP:CUR;28/02/2022;51.3;51.415;51.17;51.17
USDPHP:CUR;25/02/2022;51.29;51.38;51.25;51.308
USDPHP:CUR;24/02/2022;51.11;51.51;51.08;51.29
USDPHP:CUR;23/02/2022;51.32;51.36;51.01;51.11
USDPHP:CUR;22/02/2022;51.4;51.46;51.28;51.32
