Symbol;Date;Open;High;Low;Close
USDPKR:CUR;17/06/2022;208.25;208.25;208.25;208.25
USDPKR:CUR;16/06/2022;206.5;208.25;205.5;208.25
USDPKR:CUR;15/06/2022;205.75;206.5;204.6;206.5
USDPKR:CUR;14/06/2022;203.5;205.75;202;205.75
USDPKR:CUR;13/06/2022;201.25;203.8;201.25;203.5
USDPKR:CUR;12/06/2022;201.6;201.6;201.6;201.6
USDPKR:CUR;11/06/2022;201.6;201.6;201.6;201.6
USDPKR:CUR;10/06/2022;201;202;199;201.6
USDPKR:CUR;09/06/2022;201.25;201.7;199.6;201.5
USDPKR:CUR;08/06/2022;202.5;202.5;199.5;200
USDPKR:CUR;07/06/2022;200;202.5;199.8;202.25
USDPKR:CUR;06/06/2022;197.3;200;197.3;199.8
USDPKR:CUR;05/06/2022;197.4;197.4;197.4;197.4
USDPKR:CUR;04/06/2022;197.4;197.4;197.4;197.4
USDPKR:CUR;03/06/2022;197;197.6;197;197.4
USDPKR:CUR;02/06/2022;197.6;197.75;197;197.2
USDPKR:CUR;01/06/2022;197.9;198.4;197.1;197.5
USDPKR:CUR;31/05/2022;198.75;198.75;198;198.7
USDPKR:CUR;30/05/2022;199.75;199.75;197.75;198.6
USDPKR:CUR;29/05/2022;199.75;199.75;199.75;199.75
USDPKR:CUR;28/05/2022;199.75;199.75;199.75;199.75
USDPKR:CUR;27/05/2022;202.25;202.25;198.86;199.75
USDPKR:CUR;26/05/2022;201.75;202.25;201;202.25
USDPKR:CUR;25/05/2022;201.25;202;200.5;202
USDPKR:CUR;24/05/2022;200.5;201.25;199.4;200.1
USDPKR:CUR;23/05/2022;199.95;200.9;199.25;200.4
USDPKR:CUR;22/05/2022;200.1;200.1;200.1;200.1
USDPKR:CUR;21/05/2022;200.1;200.1;200.1;200.1
USDPKR:CUR;20/05/2022;199.65;200.47;199;200.1
USDPKR:CUR;19/05/2022;198.3;200.4;198;199.7
USDPKR:CUR;18/05/2022;196.5;198.3;195.7;197.5
USDPKR:CUR;17/05/2022;193.2;196.5;193;196.5
USDPKR:CUR;16/05/2022;192.5;194;192;193.3
USDPKR:CUR;15/05/2022;192.75;192.75;192.75;192.75
USDPKR:CUR;14/05/2022;192.75;192.75;192.75;192.75
USDPKR:CUR;13/05/2022;191.9;193;190.25;192.75
USDPKR:CUR;12/05/2022;190.5;191.9;189;191.9
USDPKR:CUR;11/05/2022;188.95;190.5;188;190.5
USDPKR:CUR;10/05/2022;187.6;188.95;186.75;188.95
USDPKR:CUR;09/05/2022;186.4;187.6;185.7;187.6
USDPKR:CUR;08/05/2022;186.15;186.15;186.15;186.15
USDPKR:CUR;07/05/2022;186.15;186.15;186.15;186.15
USDPKR:CUR;06/05/2022;185.5;186.4;185;186.03
USDPKR:CUR;05/05/2022;185.4;185.4;185.22;185.4
USDPKR:CUR;04/05/2022;185.22;185.22;185.22;185.22
USDPKR:CUR;03/05/2022;185.3;185.4;185.14;185.4
USDPKR:CUR;02/05/2022;185.22;185.4;185.22;185.4
USDPKR:CUR;01/05/2022;185.4;185.4;185.4;185.4
USDPKR:CUR;30/04/2022;185.4;185.4;185.4;185.4
USDPKR:CUR;29/04/2022;185.25;185.65;185;185.4
USDPKR:CUR;28/04/2022;185.25;185.75;184.8;185.29
USDPKR:CUR;27/04/2022;185.5;185.55;185;185.32
USDPKR:CUR;26/04/2022;185.75;186;185.25;185.95
USDPKR:CUR;25/04/2022;185.9;187.21;185;185.7
USDPKR:CUR;24/04/2022;187.21;187.21;187.21;187.21
USDPKR:CUR;23/04/2022;187.21;187.21;187.21;187.21
USDPKR:CUR;22/04/2022;186.8;187.4;185.93;187.21
USDPKR:CUR;21/04/2022;186;186.8;185.4;186.65
USDPKR:CUR;20/04/2022;184.5;186;183.65;185.6
USDPKR:CUR;19/04/2022;182.25;184.5;181.5;183
USDPKR:CUR;18/04/2022;181.65;182.25;181;181.89
USDPKR:CUR;17/04/2022;181;181;181;181
USDPKR:CUR;16/04/2022;181;181;181;181
USDPKR:CUR;15/04/2022;181.35;181.9;180.75;181.5
USDPKR:CUR;14/04/2022;181.75;181.75;180.5;180.64
USDPKR:CUR;13/04/2022;181.6;181.9;181;181.25
USDPKR:CUR;12/04/2022;182.8;182.82;180.75;181.62
USDPKR:CUR;11/04/2022;184.5;184.5;182;182.82
USDPKR:CUR;10/04/2022;184;184;184;184
USDPKR:CUR;09/04/2022;184;184;184;184
USDPKR:CUR;08/04/2022;188;188.2;184;184
USDPKR:CUR;07/04/2022;186.05;188.8;185.8;188
USDPKR:CUR;06/04/2022;185.1;186.05;185;186.05
USDPKR:CUR;05/04/2022;184;185.15;183.54;185.1
USDPKR:CUR;04/04/2022;183.45;183.9;183.2;183.2
USDPKR:CUR;03/04/2022;183.9;183.9;183.9;183.9
USDPKR:CUR;02/04/2022;183.9;183.9;183.9;183.9
USDPKR:CUR;01/04/2022;183.4;184.2;181.82;183.9
USDPKR:CUR;31/03/2022;182.4;183.4;182.4;183.4
USDPKR:CUR;30/03/2022;182.2;182.5;181.95;182.4
USDPKR:CUR;29/03/2022;182.1;182.25;181.7;182.2
USDPKR:CUR;28/03/2022;181.7;182.15;181.35;182.1
USDPKR:CUR;27/03/2022;181.7;181.7;181.7;181.7
USDPKR:CUR;26/03/2022;181.7;181.7;181.7;181.7
USDPKR:CUR;25/03/2022;181.6;181.75;181.05;181.7
USDPKR:CUR;24/03/2022;181.7;181.7;181.15;181.6
USDPKR:CUR;23/03/2022;181.7;181.7;181;181.7
USDPKR:CUR;22/03/2022;181.15;181.7;180.75;181.7
USDPKR:CUR;21/03/2022;179.9;181.25;179.9;181.15
USDPKR:CUR;20/03/2022;180.5;180.5;180.5;180.5
USDPKR:CUR;19/03/2022;180.5;180.5;180.5;180.5
USDPKR:CUR;18/03/2022;179.55;180.55;179.1;180.5
USDPKR:CUR;17/03/2022;179.3;179.95;179.25;179.55
USDPKR:CUR;16/03/2022;179.15;179.4;178;179.3
USDPKR:CUR;15/03/2022;179;179.15;178.5;179.15
USDPKR:CUR;14/03/2022;177.95;179;176.98;179
USDPKR:CUR;13/03/2022;178.35;178.35;178.35;178.35
USDPKR:CUR;12/03/2022;178.35;178.35;178.35;178.35
USDPKR:CUR;11/03/2022;178.5;178.55;178.1;178.35
USDPKR:CUR;10/03/2022;178.5;178.5;178.3;178.5
USDPKR:CUR;09/03/2022;178.5;178.5;178.3;178.5
USDPKR:CUR;08/03/2022;178;178.5;177.93;178.5
