Symbol;Date;Open;High;Low;Close
USDQAR:CUR;17/06/2022;3.6415;3.6415;3.6415;3.6415
USDQAR:CUR;16/06/2022;3.658;3.6672;3.64;3.6415
USDQAR:CUR;15/06/2022;3.658;3.6633;3.658;3.6633
USDQAR:CUR;14/06/2022;3.65;3.6618;3.64;3.64
USDQAR:CUR;13/06/2022;3.6587;3.66;3.64;3.65
USDQAR:CUR;12/06/2022;3.658;3.658;3.658;3.658
USDQAR:CUR;11/06/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;10/06/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;09/06/2022;3.658;3.66;3.64;3.6563
USDQAR:CUR;08/06/2022;3.658;3.6592;3.64;3.64
USDQAR:CUR;07/06/2022;3.658;3.6617;3.64;3.64
USDQAR:CUR;06/06/2022;3.6617;3.6627;3.64;3.6518
USDQAR:CUR;05/06/2022;3.65;3.66;3.65;3.66
USDQAR:CUR;04/06/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;03/06/2022;3.64;3.66;3.64;3.64
USDQAR:CUR;02/06/2022;3.64;3.6628;3.64;3.64
USDQAR:CUR;01/06/2022;3.64;3.6645;3.64;3.64
USDQAR:CUR;31/05/2022;3.64;3.6748;3.64;3.64
USDQAR:CUR;30/05/2022;3.6601;3.6645;3.64;3.64
USDQAR:CUR;29/05/2022;3.645;3.658;3.645;3.658
USDQAR:CUR;28/05/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;27/05/2022;3.6616;3.6696;3.64;3.64
USDQAR:CUR;26/05/2022;3.658;3.6621;3.64;3.6573
USDQAR:CUR;25/05/2022;3.645;3.6603;3.64;3.64
USDQAR:CUR;24/05/2022;3.658;3.6598;3.64;3.6551
USDQAR:CUR;23/05/2022;3.6552;3.658;3.64;3.6543
USDQAR:CUR;22/05/2022;3.658;3.658;3.658;3.658
USDQAR:CUR;21/05/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;20/05/2022;3.6506;3.6506;3.64;3.64
USDQAR:CUR;19/05/2022;3.658;3.658;3.6365;3.64
USDQAR:CUR;18/05/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;17/05/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;16/05/2022;3.6513;3.658;3.64;3.64
USDQAR:CUR;15/05/2022;3.658;3.658;3.658;3.658
USDQAR:CUR;14/05/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;13/05/2022;3.64;3.6535;3.64;3.64
USDQAR:CUR;12/05/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;11/05/2022;3.658;3.658;3.6483;3.6483
USDQAR:CUR;10/05/2022;3.645;3.6625;3.645;3.6533
USDQAR:CUR;09/05/2022;3.645;3.6625;3.645;3.6523
USDQAR:CUR;08/05/2022;3.658;3.658;3.658;3.658
USDQAR:CUR;07/05/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;06/05/2022;3.64;3.6503;3.64;3.64
USDQAR:CUR;05/05/2022;3.645;3.658;3.64;3.64
USDQAR:CUR;04/05/2022;3.64;3.6523;3.64;3.64
USDQAR:CUR;03/05/2022;3.6486;3.6486;3.6486;3.6486
USDQAR:CUR;02/05/2022;3.6523;3.6523;3.6523;3.6523
USDQAR:CUR;01/05/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;30/04/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;29/04/2022;3.64;3.6546;3.64;3.64
USDQAR:CUR;28/04/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;27/04/2022;3.64;3.658;3.64;3.6554
USDQAR:CUR;26/04/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;25/04/2022;3.658;3.658;3.64;3.6528
USDQAR:CUR;24/04/2022;3.658;3.658;3.658;3.658
USDQAR:CUR;23/04/2022;3.6514;3.6514;3.6514;3.6514
USDQAR:CUR;22/04/2022;3.64;3.6514;3.64;3.6514
USDQAR:CUR;21/04/2022;3.6514;3.658;3.64;3.64
USDQAR:CUR;20/04/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;19/04/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;18/04/2022;3.6499;3.658;3.64;3.6452
USDQAR:CUR;17/04/2022;3.658;3.658;3.658;3.658
USDQAR:CUR;16/04/2022;3.64;3.64;3.64;3.64
USDQAR:CUR;15/04/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;14/04/2022;3.658;3.658;3.645;3.658
USDQAR:CUR;13/04/2022;3.658;3.658;3.64;3.64
USDQAR:CUR;12/04/2022;3.6625;3.6625;3.645;3.6508
USDQAR:CUR;11/04/2022;3.645;3.658;3.645;3.6486
USDQAR:CUR;10/04/2022;3.64;3.64;3.64;3.64
