Symbol;Date;Open;High;Low;Close
USDSAR:CUR;17/06/2022;3.752;3.752;3.7504;3.752
USDSAR:CUR;16/06/2022;3.7516;3.7523;3.7504;3.752
USDSAR:CUR;15/06/2022;3.7518;3.752;3.7504;3.7519
USDSAR:CUR;14/06/2022;3.7515;3.7523;3.7504;3.7518
USDSAR:CUR;13/06/2022;3.7513;3.752;3.7504;3.7515
USDSAR:CUR;12/06/2022;3.7517;3.7517;3.7513;3.7513
USDSAR:CUR;11/06/2022;3.7513;3.7513;3.7513;3.7513
USDSAR:CUR;10/06/2022;3.7512;3.7516;3.7504;3.7513
USDSAR:CUR;09/06/2022;3.7512;3.7517;3.7504;3.7515
USDSAR:CUR;08/06/2022;3.7511;3.7517;3.7504;3.7512
USDSAR:CUR;07/06/2022;3.7504;3.7517;3.7504;3.7511
USDSAR:CUR;06/06/2022;3.7507;3.7517;3.7504;3.7508
USDSAR:CUR;05/06/2022;3.7517;3.7517;3.7507;3.7507
USDSAR:CUR;04/06/2022;3.7507;3.7507;3.7507;3.7507
USDSAR:CUR;03/06/2022;3.7507;3.7507;3.7504;3.7507
USDSAR:CUR;02/06/2022;3.7506;3.7517;3.7504;3.7507
USDSAR:CUR;01/06/2022;3.7504;3.7517;3.7499;3.7505
USDSAR:CUR;31/05/2022;3.7508;3.7517;3.7499;3.7504
USDSAR:CUR;30/05/2022;3.7509;3.7517;3.7505;3.7508
USDSAR:CUR;29/05/2022;3.7509;3.7517;3.7509;3.7509
USDSAR:CUR;28/05/2022;3.7509;3.7509;3.7509;3.7509
USDSAR:CUR;27/05/2022;3.7505;3.7514;3.7505;3.7509
USDSAR:CUR;26/05/2022;3.7506;3.7517;3.7503;3.7506
USDSAR:CUR;25/05/2022;3.7501;3.7517;3.7501;3.7509
USDSAR:CUR;24/05/2022;3.751;3.7517;3.7501;3.7508
USDSAR:CUR;23/05/2022;3.751;3.7517;3.7501;3.751
USDSAR:CUR;22/05/2022;3.7517;3.7517;3.751;3.751
USDSAR:CUR;21/05/2022;3.751;3.751;3.751;3.751
USDSAR:CUR;20/05/2022;3.751;3.7514;3.7502;3.7505
USDSAR:CUR;19/05/2022;3.751;3.7517;3.7502;3.751
USDSAR:CUR;18/05/2022;3.7509;3.7517;3.7501;3.751
USDSAR:CUR;17/05/2022;3.751;3.7517;3.7501;3.7509
USDSAR:CUR;16/05/2022;3.7508;3.7517;3.7504;3.751
USDSAR:CUR;15/05/2022;3.7509;3.7517;3.7509;3.7509
USDSAR:CUR;14/05/2022;3.7509;3.7509;3.7509;3.7509
USDSAR:CUR;13/05/2022;3.7509;3.7514;3.7502;3.7509
USDSAR:CUR;12/05/2022;3.751;3.7517;3.7502;3.7509
USDSAR:CUR;11/05/2022;3.7509;3.7517;3.7501;3.751
USDSAR:CUR;10/05/2022;3.7504;3.7517;3.75;3.7509
USDSAR:CUR;09/05/2022;3.7507;3.7517;3.75;3.7509
USDSAR:CUR;08/05/2022;3.7517;3.7517;3.7507;3.7507
USDSAR:CUR;07/05/2022;3.7507;3.7507;3.7507;3.7507
USDSAR:CUR;06/05/2022;3.7508;3.7514;3.7507;3.7507
USDSAR:CUR;05/05/2022;3.7508;3.7517;3.7507;3.7508
USDSAR:CUR;04/05/2022;3.7507;3.7514;3.7505;3.7508
USDSAR:CUR;03/05/2022;3.7507;3.7514;3.7505;3.7507
USDSAR:CUR;02/05/2022;3.7507;3.7514;3.7507;3.7507
USDSAR:CUR;01/05/2022;3.7507;3.7507;3.7507;3.7507
USDSAR:CUR;30/04/2022;3.7507;3.7507;3.7507;3.7507
USDSAR:CUR;29/04/2022;3.7507;3.7514;3.7507;3.7507
USDSAR:CUR;28/04/2022;3.7504;3.7517;3.7499;3.7507
USDSAR:CUR;27/04/2022;3.7504;3.7517;3.7504;3.7507
USDSAR:CUR;26/04/2022;3.7509;3.7517;3.7504;3.7508
USDSAR:CUR;25/04/2022;3.7502;3.7517;3.7501;3.7508
USDSAR:CUR;24/04/2022;3.7517;3.7517;3.7502;3.7502
USDSAR:CUR;23/04/2022;3.7503;3.7503;3.7503;3.7503
USDSAR:CUR;22/04/2022;3.7503;3.7514;3.7499;3.7501
USDSAR:CUR;21/04/2022;3.7502;3.7517;3.7499;3.7503
USDSAR:CUR;20/04/2022;3.7497;3.7514;3.7497;3.7502
USDSAR:CUR;19/04/2022;3.7495;3.7514;3.7495;3.7499
USDSAR:CUR;18/04/2022;3.75;3.7514;3.7493;3.7499
USDSAR:CUR;17/04/2022;3.75;3.75;3.75;3.75
USDSAR:CUR;16/04/2022;3.75;3.75;3.75;3.75
USDSAR:CUR;15/04/2022;3.75;3.7514;3.7493;3.75
USDSAR:CUR;14/04/2022;3.75;3.7517;3.7493;3.75
USDSAR:CUR;13/04/2022;3.7496;3.7517;3.7495;3.75
USDSAR:CUR;12/04/2022;3.7495;3.7514;3.7495;3.75
USDSAR:CUR;11/04/2022;3.7502;3.7517;3.7495;3.75
USDSAR:CUR;10/04/2022;3.7502;3.7502;3.7502;3.7502
USDSAR:CUR;09/04/2022;3.7502;3.7502;3.7502;3.7502
USDSAR:CUR;08/04/2022;3.7506;3.7514;3.7497;3.7502
USDSAR:CUR;07/04/2022;3.7502;3.7517;3.75;3.7506
USDSAR:CUR;06/04/2022;3.7512;3.7517;3.7502;3.7509
USDSAR:CUR;05/04/2022;3.751;3.7517;3.7508;3.7512
USDSAR:CUR;04/04/2022;3.7512;3.7514;3.7509;3.7513
USDSAR:CUR;03/04/2022;3.7512;3.7517;3.7512;3.7512
USDSAR:CUR;02/04/2022;3.7512;3.7512;3.7512;3.7512
USDSAR:CUR;01/04/2022;3.7514;3.7514;3.7506;3.7512
USDSAR:CUR;31/03/2022;3.7508;3.7517;3.7505;3.7514
USDSAR:CUR;30/03/2022;3.7521;3.7525;3.7505;3.7516
USDSAR:CUR;29/03/2022;3.751;3.7525;3.7506;3.7525
USDSAR:CUR;28/03/2022;3.7511;3.7517;3.7504;3.7513
USDSAR:CUR;27/03/2022;3.7511;3.7517;3.7511;3.7511
USDSAR:CUR;26/03/2022;3.7511;3.7511;3.7511;3.7511
USDSAR:CUR;25/03/2022;3.751;3.7514;3.7504;3.7511
USDSAR:CUR;24/03/2022;3.7506;3.7517;3.7501;3.751
USDSAR:CUR;23/03/2022;3.7512;3.7517;3.7499;3.751
USDSAR:CUR;22/03/2022;3.7507;3.7517;3.7499;3.7512
USDSAR:CUR;21/03/2022;3.7515;3.7517;3.7503;3.7514
USDSAR:CUR;20/03/2022;3.7517;3.7517;3.7515;3.7515
USDSAR:CUR;19/03/2022;3.7515;3.7515;3.7515;3.7515
USDSAR:CUR;18/03/2022;3.7518;3.7519;3.7506;3.7515
USDSAR:CUR;17/03/2022;3.7512;3.7518;3.7507;3.7518
USDSAR:CUR;16/03/2022;3.7512;3.7519;3.7508;3.7518
USDSAR:CUR;15/03/2022;3.7512;3.7518;3.7508;3.7516
USDSAR:CUR;14/03/2022;3.7514;3.7516;3.7507;3.7515
