Symbol;Date;Open;High;Low;Close
USDSGD:CUR;17/06/2022;1.3831;1.38623;1.3827;1.38466
USDSGD:CUR;16/06/2022;1.3858;1.3922;1.3817;1.3831
USDSGD:CUR;15/06/2022;1.3929;1.3942;1.385;1.386
USDSGD:CUR;14/06/2022;1.3946;1.3958;1.3887;1.3933
USDSGD:CUR;13/06/2022;1.3879;1.3956;1.3869;1.3949
USDSGD:CUR;10/06/2022;1.3828;1.3884;1.3793;1.3876
USDSGD:CUR;09/06/2022;1.37598;1.38325;1.37451;1.38325
USDSGD:CUR;08/06/2022;1.37351;1.37675;1.37351;1.37608
USDSGD:CUR;07/06/2022;1.37633;1.37994;1.37336;1.37405
USDSGD:CUR;06/06/2022;1.37474;1.37778;1.37223;1.37771
USDSGD:CUR;03/06/2022;1.37474;1.37653;1.36886;1.37596
USDSGD:CUR;02/06/2022;1.37474;1.3776;1.37023;1.37083
USDSGD:CUR;01/06/2022;1.37005;1.3758;1.36959;1.37513
USDSGD:CUR;31/05/2022;1.36606;1.3727;1.36606;1.37004
USDSGD:CUR;30/05/2022;1.37533;1.37533;1.36598;1.36681
USDSGD:CUR;27/05/2022;1.37533;1.37533;1.36808;1.36823
USDSGD:CUR;26/05/2022;1.37533;1.37737;1.37276;1.3729
USDSGD:CUR;25/05/2022;1.37148;1.3779;1.37114;1.3743
USDSGD:CUR;24/05/2022;1.37386;1.37665;1.37105;1.37129
USDSGD:CUR;23/05/2022;1.39152;1.39152;1.37239;1.3741
USDSGD:CUR;20/05/2022;1.39152;1.39152;1.37688;1.378
USDSGD:CUR;19/05/2022;1.39152;1.39176;1.37868;1.3801
USDSGD:CUR;18/05/2022;1.38423;1.39224;1.38363;1.39138
USDSGD:CUR;17/05/2022;1.39143;1.39143;1.38333;1.38457
USDSGD:CUR;16/05/2022;1.3903;1.39671;1.3903;1.39109
USDSGD:CUR;13/05/2022;1.3903;1.39783;1.3903;1.39264
USDSGD:CUR;12/05/2022;1.3903;1.39849;1.38869;1.39829
USDSGD:CUR;11/05/2022;1.39125;1.3917;1.3838;1.3904
USDSGD:CUR;10/05/2022;1.39119;1.39271;1.38759;1.3913
USDSGD:CUR;09/05/2022;1.37479;1.39354;1.37479;1.39052
USDSGD:CUR;06/05/2022;1.37479;1.39051;1.37479;1.38315
USDSGD:CUR;05/05/2022;1.37479;1.38755;1.37333;1.38302
USDSGD:CUR;04/05/2022;1.38455;1.38529;1.37362;1.37485
USDSGD:CUR;03/05/2022;1.38631;1.38665;1.38228;1.38448
USDSGD:CUR;02/05/2022;1.38077;1.38808;1.38077;1.38555
USDSGD:CUR;29/04/2022;1.38077;1.3875;1.37835;1.38316
USDSGD:CUR;28/04/2022;1.38077;1.39039;1.38074;1.38666
USDSGD:CUR;27/04/2022;1.37843;1.38183;1.37651;1.3808
USDSGD:CUR;26/04/2022;1.37407;1.3795;1.37027;1.37771
USDSGD:CUR;25/04/2022;1.36256;1.3782;1.36256;1.37378
USDSGD:CUR;22/04/2022;1.36256;1.37185;1.36221;1.371
USDSGD:CUR;21/04/2022;1.36256;1.36573;1.36002;1.36417
USDSGD:CUR;20/04/2022;1.36774;1.36971;1.36237;1.36351
USDSGD:CUR;19/04/2022;1.3621;1.36849;1.36137;1.36772
USDSGD:CUR;18/04/2022;1.3626;1.36272;1.35788;1.36173
USDSGD:CUR;15/04/2022;1.3626;1.3626;1.35625;1.35669
USDSGD:CUR;14/04/2022;1.3626;1.3626;1.35116;1.35656
USDSGD:CUR;13/04/2022;1.36415;1.36511;1.3614;1.3614
USDSGD:CUR;12/04/2022;1.36517;1.36622;1.36178;1.36396
USDSGD:CUR;11/04/2022;1.35975;1.36705;1.35975;1.3657
USDSGD:CUR;08/04/2022;1.35975;1.36465;1.35975;1.3631
USDSGD:CUR;07/04/2022;1.35975;1.36169;1.35911;1.36145
USDSGD:CUR;06/04/2022;1.3594;1.36138;1.35848;1.36035
USDSGD:CUR;05/04/2022;1.35666;1.35968;1.3551;1.3594
USDSGD:CUR;04/04/2022;1.35262;1.35757;1.35262;1.35662
USDSGD:CUR;01/04/2022;1.35262;1.35746;1.35262;1.35664
USDSGD:CUR;31/03/2022;1.35262;1.35549;1.3523;1.35549
USDSGD:CUR;30/03/2022;1.35593;1.35659;1.35228;1.35276
