Symbol;Date;Open;High;Low;Close
USDTHB:CUR;17/06/2022;35.02;35.23;34.92;35.22
USDTHB:CUR;16/06/2022;34.8;35.18;34.71;35.01
USDTHB:CUR;15/06/2022;35.01;35.13;34.7;34.76
USDTHB:CUR;14/06/2022;34.89;35.04;34.86;35.02
USDTHB:CUR;13/06/2022;34.74;34.94;34.72;34.88
USDTHB:CUR;10/06/2022;34.55;34.82;34.52;34.72
USDTHB:CUR;09/06/2022;34.51;34.57;34.42;34.52
USDTHB:CUR;08/06/2022;34.41;34.54;34.38;34.52
USDTHB:CUR;07/06/2022;34.37;34.5;34.35;34.41
USDTHB:CUR;06/06/2022;34.33;34.46;34.26;34.36
USDTHB:CUR;03/06/2022;34.24;34.38;34.17;34.3
USDTHB:CUR;02/06/2022;34.35;34.42;34.21;34.25
USDTHB:CUR;01/06/2022;34.32;34.38;34.23;34.35
USDTHB:CUR;31/05/2022;34.07;34.35;34.04;34.3
USDTHB:CUR;30/05/2022;34.12;34.12;34.03;34.08
USDTHB:CUR;27/05/2022;34.23;34.26;34.06;34.11
USDTHB:CUR;26/05/2022;34.25;34.34;34.13;34.18
USDTHB:CUR;25/05/2022;34.09;34.36;34.04;34.28
USDTHB:CUR;24/05/2022;34.13;34.26;34.03;34.08
USDTHB:CUR;23/05/2022;34.41;34.41;34.11;34.13
USDTHB:CUR;20/05/2022;34.45;34.49;34.21;34.39
USDTHB:CUR;19/05/2022;34.63;34.67;34.35;34.45
USDTHB:CUR;18/05/2022;34.49;34.68;34.47;34.63
USDTHB:CUR;17/05/2022;34.71;34.74;34.44;34.52
USDTHB:CUR;16/05/2022;34.74;34.84;34.68;34.71
USDTHB:CUR;13/05/2022;34.74;34.8;34.62;34.7
USDTHB:CUR;12/05/2022;34.61;34.75;34.59;34.72
USDTHB:CUR;11/05/2022;34.6;34.7;34.53;34.64
USDTHB:CUR;10/05/2022;34.57;34.63;34.47;34.61
USDTHB:CUR;09/05/2022;34.34;34.64;34.32;34.57
USDTHB:CUR;06/05/2022;34.34;34.43;34.25;34.33
USDTHB:CUR;05/05/2022;34.01;34.4;33.98;34.34
USDTHB:CUR;04/05/2022;34.36;34.4;34;34.04
USDTHB:CUR;03/05/2022;34.43;34.53;34.3;34.36
USDTHB:CUR;02/05/2022;34.24;34.48;34.21;34.46
USDTHB:CUR;29/04/2022;34.45;34.45;34.12;34.24
USDTHB:CUR;28/04/2022;34.33;34.49;34.33;34.46
USDTHB:CUR;27/04/2022;34.3;34.39;34.25;34.34
USDTHB:CUR;26/04/2022;34.13;34.31;34;34.29
USDTHB:CUR;25/04/2022;33.95;34.14;33.91;34.13
USDTHB:CUR;22/04/2022;33.9;33.98;33.81;33.97
USDTHB:CUR;21/04/2022;33.77;33.9;33.75;33.9
USDTHB:CUR;20/04/2022;33.79;33.89;33.72;33.76
USDTHB:CUR;19/04/2022;33.68;33.8;33.64;33.79
USDTHB:CUR;18/04/2022;33.62;33.71;33.57;33.69
USDTHB:CUR;15/04/2022;33.68;33.71;33.58;33.61
USDTHB:CUR;14/04/2022;33.51;33.71;33.45;33.68
USDTHB:CUR;13/04/2022;33.56;33.57;33.43;33.5
USDTHB:CUR;12/04/2022;33.6;33.7;33.44;33.58
USDTHB:CUR;11/04/2022;33.58;33.67;33.53;33.6
USDTHB:CUR;08/04/2022;33.48;33.64;33.45;33.59
USDTHB:CUR;07/04/2022;33.59;33.6;33.37;33.48
USDTHB:CUR;06/04/2022;33.53;33.63;33.52;33.58
USDTHB:CUR;05/04/2022;33.46;33.54;33.36;33.53
USDTHB:CUR;04/04/2022;33.45;33.54;33.42;33.44
USDTHB:CUR;01/04/2022;33.28;33.52;33.25;33.49
USDTHB:CUR;31/03/2022;33.34;33.39;33.17;33.28
USDTHB:CUR;30/03/2022;33.47;33.58;33.27;33.33
USDTHB:CUR;29/03/2022;33.77;33.79;33.46;33.5
USDTHB:CUR;28/03/2022;33.56;33.8;33.56;33.77
USDTHB:CUR;25/03/2022;33.5;33.6;33.41;33.58
USDTHB:CUR;24/03/2022;33.6;33.71;33.49;33.51
USDTHB:CUR;23/03/2022;33.5;33.69;33.43;33.61
USDTHB:CUR;22/03/2022;33.53;33.7;33.44;33.48
USDTHB:CUR;21/03/2022;33.27;33.56;33.26;33.54
USDTHB:CUR;18/03/2022;33.2;33.39;33.17;33.29
USDTHB:CUR;17/03/2022;33.39;33.39;33.16;33.2
USDTHB:CUR;16/03/2022;33.53;33.55;33.24;33.34
USDTHB:CUR;15/03/2022;33.44;33.56;33.4;33.51
USDTHB:CUR;14/03/2022;33.29;33.46;33.25;33.45
USDTHB:CUR;11/03/2022;33.13;33.35;33.09;33.3
USDTHB:CUR;10/03/2022;33.03;33.16;32.96;33.12
USDTHB:CUR;09/03/2022;33.21;33.22;32.96;33.02
USDTHB:CUR;08/03/2022;32.99;33.22;32.98;33.18
USDTHB:CUR;07/03/2022;32.68;33.07;32.65;33
USDTHB:CUR;04/03/2022;32.58;32.74;32.54;32.69
USDTHB:CUR;03/03/2022;32.52;32.64;32.39;32.58
USDTHB:CUR;02/03/2022;32.7;32.75;32.4;32.51
USDTHB:CUR;01/03/2022;32.64;32.75;32.49;32.69
USDTHB:CUR;28/02/2022;32.7;32.77;32.57;32.67
USDTHB:CUR;25/02/2022;32.6;32.65;32.39;32.45
USDTHB:CUR;24/02/2022;32.26;32.88;32.22;32.63
USDTHB:CUR;23/02/2022;32.41;32.47;32.17;32.26
USDTHB:CUR;22/02/2022;32.26;32.47;32.24;32.42
USDTHB:CUR;21/02/2022;32.13;32.28;32.08;32.28
USDTHB:CUR;18/02/2022;32.1;32.18;32.07;32.16
USDTHB:CUR;17/02/2022;32.27;32.32;32.07;32.1
USDTHB:CUR;16/02/2022;32.32;32.43;32.21;32.25
USDTHB:CUR;15/02/2022;32.43;32.47;32.26;32.35
USDTHB:CUR;14/02/2022;32.68;32.71;32.39;32.42
USDTHB:CUR;11/02/2022;32.7;32.77;32.62;32.72
USDTHB:CUR;10/02/2022;32.7;32.77;32.55;32.72
USDTHB:CUR;09/02/2022;32.9;32.92;32.68;32.7
USDTHB:CUR;08/02/2022;33.01;33.04;32.85;32.9
USDTHB:CUR;07/02/2022;32.97;33.09;32.81;33
USDTHB:CUR;04/02/2022;33.11;33.11;32.93;32.98
USDTHB:CUR;03/02/2022;33.12;33.19;33.09;33.11
USDTHB:CUR;02/02/2022;33.17;33.23;33.09;33.12
USDTHB:CUR;01/02/2022;33.24;33.27;33.16;33.19
