Symbol;Date;Open;High;Low;Close
USDTJS:CUR;17/06/2022;11.0177;11.0177;11.0177;11.0177
USDTJS:CUR;16/06/2022;11.0177;11.0177;10.5;11.0177
USDTJS:CUR;15/06/2022;10.7;10.9;10.6;10.6
USDTJS:CUR;14/06/2022;11;11.1;10.8;10.89
USDTJS:CUR;13/06/2022;10.9;11.1;10.85;11.05
USDTJS:CUR;10/06/2022;11.01;11.1;10.85;11.1
USDTJS:CUR;09/06/2022;11.1;11.2;10.95;11.2
USDTJS:CUR;08/06/2022;11.1;11.11;11;11
USDTJS:CUR;07/06/2022;11.15;11.2;11.1;11.2
USDTJS:CUR;06/06/2022;11.35;11.35;11.1;11.15
USDTJS:CUR;03/06/2022;11.35;11.35;11.1;11.1
USDTJS:CUR;02/06/2022;11.35;11.35;11.34;11.34
USDTJS:CUR;01/06/2022;11.35;11.35;11.35;11.35
USDTJS:CUR;31/05/2022;11.35;11.35;11.35;11.35
USDTJS:CUR;30/05/2022;11.33;11.33;11.33;11.33
USDTJS:CUR;27/05/2022;11.3;11.33;11.3;11.33
USDTJS:CUR;26/05/2022;11.37;11.37;11.37;11.37
USDTJS:CUR;25/05/2022;11.37;11.38;11.37;11.38
USDTJS:CUR;24/05/2022;12.47;12.47;12.47;12.47
USDTJS:CUR;23/05/2022;12.48;12.48;12.48;12.48
USDTJS:CUR;20/05/2022;12.47;12.47;12.47;12.47
USDTJS:CUR;19/05/2022;12.47;12.47;12.47;12.47
USDTJS:CUR;18/05/2022;12.45;12.45;12.45;12.45
USDTJS:CUR;17/05/2022;12.45;12.45;12.45;12.45
USDTJS:CUR;16/05/2022;12.46;12.46;12.46;12.46
USDTJS:CUR;13/05/2022;12.47;12.47;12.47;12.47
USDTJS:CUR;12/05/2022;12.46;12.47;12.45;12.47
USDTJS:CUR;11/05/2022;12.46;12.46;12.46;12.46
USDTJS:CUR;10/05/2022;12.3;12.45;12.3;12.45
USDTJS:CUR;09/05/2022;12.45;12.45;12.45;12.45
USDTJS:CUR;06/05/2022;12.4;12.4;12.4;12.4
USDTJS:CUR;05/05/2022;12.46;12.46;12.4;12.46
USDTJS:CUR;04/05/2022;12.45;12.45;12.45;12.45
USDTJS:CUR;03/05/2022;12.4;12.45;12.4;12.45
USDTJS:CUR;02/05/2022;12.46;12.46;12.46;12.46
USDTJS:CUR;29/04/2022;12.4;12.44;12.4;12.44
USDTJS:CUR;28/04/2022;12.4;12.43;12.4;12.43
USDTJS:CUR;27/04/2022;12.4;12.47;12.4;12.47
USDTJS:CUR;26/04/2022;12.4;12.47;12.4;12.47
USDTJS:CUR;25/04/2022;12.4;12.47;12.4;12.47
USDTJS:CUR;22/04/2022;12.48;12.48;12.48;12.48
USDTJS:CUR;21/04/2022;12.4;12.48;12.4;12.48
USDTJS:CUR;20/04/2022;12.4;12.49;12.4;12.48
USDTJS:CUR;19/04/2022;12.4;12.48;12.4;12.48
USDTJS:CUR;18/04/2022;12.4;12.48;12.4;12.48
USDTJS:CUR;15/04/2022;12.48;12.48;12.48;12.48
USDTJS:CUR;14/04/2022;12.4;12.48;12.4;12.48
USDTJS:CUR;13/04/2022;12.48;12.48;12.46;12.46
USDTJS:CUR;12/04/2022;12.48;12.48;12.48;12.48
USDTJS:CUR;11/04/2022;12.48;12.48;12.48;12.48
USDTJS:CUR;08/04/2022;12.3;12.48;12.3;12.48
USDTJS:CUR;07/04/2022;12.4;12.48;12.4;12.45
USDTJS:CUR;06/04/2022;12.45;12.47;12.45;12.47
USDTJS:CUR;05/04/2022;12.48;12.48;12.48;12.48
USDTJS:CUR;04/04/2022;12.45;12.45;12.45;12.45
USDTJS:CUR;01/04/2022;12.95;12.95;12.95;12.95
USDTJS:CUR;31/03/2022;12.95;12.95;12.95;12.95
USDTJS:CUR;30/03/2022;12.95;12.95;12.95;12.95
USDTJS:CUR;29/03/2022;12.9;12.96;12.9;12.95
USDTJS:CUR;28/03/2022;12.95;12.95;12.94;12.94
USDTJS:CUR;25/03/2022;12.91;12.93;12.91;12.93
USDTJS:CUR;24/03/2022;12.96;12.96;12.96;12.96
USDTJS:CUR;23/03/2022;12.96;12.96;12.96;12.96
USDTJS:CUR;22/03/2022;12.96;12.96;12.96;12.96
USDTJS:CUR;21/03/2022;12.96;12.96;12.96;12.96
USDTJS:CUR;18/03/2022;12.96;12.96;12.96;12.96
USDTJS:CUR;17/03/2022;13;13;13;13
USDTJS:CUR;16/03/2022;13;13;13;13
USDTJS:CUR;15/03/2022;13;13;13;13
USDTJS:CUR;14/03/2022;13.05;13.05;13.05;13.05
USDTJS:CUR;11/03/2022;13.05;13.05;13.05;13.05
USDTJS:CUR;10/03/2022;11.29;13.05;11.29;12.98
USDTJS:CUR;09/03/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;08/03/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;07/03/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;04/03/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;03/03/2022;11.28;11.28;11.27;11.27
USDTJS:CUR;02/03/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;01/03/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;28/02/2022;11.27;11.28;11.27;11.28
USDTJS:CUR;25/02/2022;11.27;11.299;11.27;11.299
USDTJS:CUR;24/02/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;23/02/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;22/02/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;21/02/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;18/02/2022;11.27;11.28;11.27;11.28
USDTJS:CUR;17/02/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;16/02/2022;11.28;11.29;11.27;11.29
USDTJS:CUR;15/02/2022;11.29;11.29;11.27;11.27
USDTJS:CUR;14/02/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;11/02/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;10/02/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;09/02/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;08/02/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;07/02/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;04/02/2022;11.29;11.29;11.28;11.28
USDTJS:CUR;03/02/2022;11.28;11.28;11.28;11.28
USDTJS:CUR;02/02/2022;11.29;11.29;11.28;11.28
USDTJS:CUR;01/02/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;31/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;28/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;27/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;26/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;25/01/2022;11.28;11.29;11.28;11.29
USDTJS:CUR;24/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;21/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;20/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;19/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;18/01/2022;11.29;11.33;11.29;11.29
USDTJS:CUR;17/01/2022;11.27;11.29;11.27;11.29
USDTJS:CUR;14/01/2022;11.27;11.29;11.27;11.29
USDTJS:CUR;13/01/2022;11.27;11.27;11.27;11.27
USDTJS:CUR;12/01/2022;11.27;11.29;11.27;11.29
USDTJS:CUR;11/01/2022;11.27;11.29;11.27;11.28
USDTJS:CUR;10/01/2022;11.27;11.29;11.27;11.29
USDTJS:CUR;07/01/2022;11.27;11.29;11.27;11.29
USDTJS:CUR;06/01/2022;11.29;11.29;11.29;11.29
USDTJS:CUR;05/01/2022;11.27;11.299;11.27;11.299
USDTJS:CUR;04/01/2022;11.27;11.29;11.27;11.29
USDTJS:CUR;03/01/2022;11.299;11.299;11.299;11.299
USDTJS:CUR;31/12/2021;11.27;11.299;11.27;11.299
USDTJS:CUR;30/12/2021;11.27;11.28;11.27;11.28
USDTJS:CUR;29/12/2021;11.27;11.28;11.27;11.28
USDTJS:CUR;28/12/2021;11.27;11.28;11.27;11.28
USDTJS:CUR;27/12/2021;11.27;11.28;11.27;11.28
USDTJS:CUR;24/12/2021;11.27;11.29;11.27;11.29
USDTJS:CUR;23/12/2021;11.27;11.28;11.27;11.28
