Symbol;Date;Open;High;Low;Close
USDVND:CUR;17/06/2022;23235;23240;23230;23240
USDVND:CUR;16/06/2022;23230;23235;23215;23232
USDVND:CUR;15/06/2022;23213;23230;23213;23230
USDVND:CUR;14/06/2022;23205;23245;23199;23210
USDVND:CUR;13/06/2022;23183;23205;23165;23195
USDVND:CUR;10/06/2022;23155;23189;23155;23177
USDVND:CUR;09/06/2022;23187;23187;23155;23155
USDVND:CUR;08/06/2022;23185;23189;23185;23187
USDVND:CUR;07/06/2022;23185;23192;23183;23185
USDVND:CUR;06/06/2022;23185;23207;23180;23180
USDVND:CUR;03/06/2022;23193;23198;23180;23187
USDVND:CUR;02/06/2022;23200;23207;23185;23193
USDVND:CUR;01/06/2022;23185;23202;23180;23196
USDVND:CUR;31/05/2022;23177;23188;23177;23185
USDVND:CUR;30/05/2022;23182;23200;23175;23176
USDVND:CUR;27/05/2022;23205;23205;23183;23195
USDVND:CUR;26/05/2022;23195;23210;23190;23205
USDVND:CUR;25/05/2022;23198;23210;23165;23190
USDVND:CUR;24/05/2022;23175;23215;23170;23210
USDVND:CUR;23/05/2022;23162;23170;23127;23170
USDVND:CUR;20/05/2022;23165;23176;23127;23160
USDVND:CUR;19/05/2022;23140;23172;23107;23140
USDVND:CUR;18/05/2022;23120;23140;23117;23139
USDVND:CUR;17/05/2022;23095;23126;23080;23120
USDVND:CUR;16/05/2022;23095;23095;23075;23095
USDVND:CUR;13/05/2022;23095;23095;23080;23086
USDVND:CUR;12/05/2022;23050;23100;23030;23096
USDVND:CUR;11/05/2022;22944;23100;22944;23050
USDVND:CUR;10/05/2022;22950;22960;22935;22941
USDVND:CUR;09/05/2022;22958;22958;22942;22950
USDVND:CUR;06/05/2022;22958;22963;22950;22955
USDVND:CUR;05/05/2022;22965;22972;22945;22955
USDVND:CUR;04/05/2022;22962;22973;22955;22966
USDVND:CUR;03/05/2022;22962;22962;22962;22962
USDVND:CUR;02/05/2022;22962;22962;22962;22962
USDVND:CUR;29/04/2022;22957;22974;22950;22962
USDVND:CUR;28/04/2022;22960;22961;22947;22956
USDVND:CUR;27/04/2022;22973;22977;22958;22965
USDVND:CUR;26/04/2022;22980;22982;22965;22970
USDVND:CUR;25/04/2022;22969;22983;22960;22983
USDVND:CUR;22/04/2022;22968;22970;22960;22965
USDVND:CUR;21/04/2022;22963;22983;22921;22962
USDVND:CUR;20/04/2022;22960;22983;22915;22962
USDVND:CUR;19/04/2022;22922;22960;22898;22955
USDVND:CUR;18/04/2022;22900;22929;22888;22890
USDVND:CUR;15/04/2022;22897;22903;22840;22899
USDVND:CUR;14/04/2022;22889;22901;22885;22900
USDVND:CUR;13/04/2022;22892;22894;22870;22887
USDVND:CUR;12/04/2022;22872;22889;22858;22888
USDVND:CUR;11/04/2022;22860;22860;22860;22860
USDVND:CUR;08/04/2022;22855;22868;22840;22860
USDVND:CUR;07/04/2022;22864;22870;22835;22859
USDVND:CUR;06/04/2022;22875;22877;22840;22866
USDVND:CUR;05/04/2022;22847;22874;22840;22873
USDVND:CUR;04/04/2022;22840;22847;22830;22846
USDVND:CUR;01/04/2022;22837;22850;22830;22837
USDVND:CUR;31/03/2022;22854;22863;22830;22838
USDVND:CUR;30/03/2022;22873;22875;22850;22854
USDVND:CUR;29/03/2022;22875;22875;22863;22865
USDVND:CUR;28/03/2022;22870;22875;22840;22860
USDVND:CUR;25/03/2022;22867;22874;22840;22861
USDVND:CUR;24/03/2022;22872;22875;22840;22869
USDVND:CUR;23/03/2022;22875;22882;22855;22872
USDVND:CUR;22/03/2022;22865;22875;22840;22870
USDVND:CUR;21/03/2022;22860;22893;22840;22860
USDVND:CUR;18/03/2022;22870;22870;22850;22860
USDVND:CUR;17/03/2022;22873;22874;22860;22865
USDVND:CUR;16/03/2022;22877;22883;22860;22879
USDVND:CUR;15/03/2022;22890;22895;22873;22880
USDVND:CUR;14/03/2022;22840;22894;22830;22890
USDVND:CUR;11/03/2022;22835;22880;22830;22873
USDVND:CUR;10/03/2022;22840;22853;22830;22835
USDVND:CUR;09/03/2022;22845;22845;22830;22835
USDVND:CUR;08/03/2022;22845;22848;22840;22845
USDVND:CUR;07/03/2022;22840;22855;22835;22845
USDVND:CUR;04/03/2022;22835;22840;22830;22830
USDVND:CUR;03/03/2022;22840;22850;22815;22835
USDVND:CUR;02/03/2022;22819;22840;22805;22840
USDVND:CUR;01/03/2022;22805;22818;22800;22815
USDVND:CUR;28/02/2022;22840;22840;22800;22805
USDVND:CUR;25/02/2022;22840;22840;22810;22820
USDVND:CUR;24/02/2022;22825;22840;22815;22840
USDVND:CUR;23/02/2022;22820;22834;22820;22825
USDVND:CUR;22/02/2022;22805;22835;22795;22815
USDVND:CUR;21/02/2022;22830;22835;22795;22800
USDVND:CUR;18/02/2022;22785;22850;22785;22820
USDVND:CUR;17/02/2022;22750;22785;22750;22785
USDVND:CUR;16/02/2022;22745;22760;22740;22750
USDVND:CUR;15/02/2022;22740;22760;22730;22750
USDVND:CUR;14/02/2022;22690;22750;22690;22725
USDVND:CUR;11/02/2022;22682;22695;22670;22685
USDVND:CUR;10/02/2022;22680;22695;22680;22680
USDVND:CUR;09/02/2022;22735;22735;22680;22680
USDVND:CUR;08/02/2022;22690;22715;22660;22715
USDVND:CUR;07/02/2022;22650;22680;22635;22665
USDVND:CUR;04/02/2022;22645;22645;22645;22645
USDVND:CUR;03/02/2022;22645;22645;22645;22645
USDVND:CUR;02/02/2022;22645;22645;22645;22645
USDVND:CUR;01/02/2022;22645;22645;22645;22645
USDVND:CUR;31/01/2022;22645;22645;22645;22645
USDVND:CUR;28/01/2022;22635;22660;22630;22645
USDVND:CUR;27/01/2022;22630;22654;22625;22630
USDVND:CUR;26/01/2022;22630;22660;22625;22630
USDVND:CUR;25/01/2022;22630;22700;22630;22630
USDVND:CUR;24/01/2022;22625;22690;22620;22675
USDVND:CUR;21/01/2022;22645;22660;22610;22625
USDVND:CUR;20/01/2022;22695;22730;22635;22645
USDVND:CUR;19/01/2022;22720;22800;22695;22700
USDVND:CUR;18/01/2022;22745;22810;22720;22750
USDVND:CUR;17/01/2022;22715;22733;22700;22720
USDVND:CUR;14/01/2022;22725;22725;22680;22710
USDVND:CUR;13/01/2022;22700;22710;22680;22710
USDVND:CUR;12/01/2022;22685;22700;22685;22698
USDVND:CUR;11/01/2022;22700;22725;22670;22698
USDVND:CUR;10/01/2022;22750;22750;22670;22695
USDVND:CUR;07/01/2022;22740;22743;22680;22685
USDVND:CUR;06/01/2022;22755;22755;22740;22745
USDVND:CUR;05/01/2022;22745;22760;22730;22755
