Id,Label,timeset,type,label_copy,weighted indegree,weighted outdegree,weighted degree
USDBTC,BTC,,Crypto,BTC,0.875281,0.336635,1.211915
USDLTC,LTC,,Crypto,LTC,0.703595,0.336634,1.040228
USDNMC,,,Crypto,,0.320638,0.336634,0.657272
USDTRC,,,Crypto,,0.211965,0.262727,0.474692
USDPPC,,,Crypto,,0.439959,0.336634,0.776593
USDNVC,,,Crypto,,0.188036,0.195713,0.383749
USDFTC,,,Crypto,,0.348707,0.336635,0.685342
USDFRC,,,Crypto,,0.262541,0.299036,0.561577
USDWDC,,,Crypto,,0.233722,0.294551,0.528273
USDDGC,,,Crypto,,0.21392,0.266476,0.480397
USDGLC,,,Crypto,,0.231195,0.289498,0.520692
USDPXC,,,Crypto,,0.19922,0.233351,0.432571
USDMEC,,,Crypto,,0.228961,0.284237,0.513198
USDIFC,,,Crypto,,0.199557,0.23359,0.433147
USDXPM,,,Crypto,,0.232247,0.276368,0.508614
USDANC,,,Crypto,,0.183941,0.225542,0.409483
USDCSC,,,Crypto,,0.234052,0.302434,0.536486
USDXRP,XRP,,Crypto,XRP,0.431242,0.336633,0.767875
USDQRK,,,Crypto,,0.196217,0.2258,0.422017
USDZET,,,Crypto,,0.238816,0.295504,0.53432
USDPIN,,,Crypto,,0.320446,0.336633,0.657079
USDNXT,,,Crypto,,0.490311,0.336632,0.826943
USDUNO,,,Crypto,,0.194485,0.221813,0.416299
USDDTC,,,Crypto,,0.223033,0.255516,0.478549
USDDEM,,,Crypto,,0.184361,0.217541,0.401902
USDDOGE,DOGE,,Crypto,DOGE,0.465437,0.336635,0.802072
USDDMD,,,Crypto,,0.352983,0.336634,0.689618
USDHBN,,,Crypto,,0.253374,0.336636,0.590009
USDORB,,,Crypto,,0.246263,0.326091,0.572354
USDOMNI,,,Crypto,,0.244989,0.321944,0.566933
USDTIPS,,,Crypto,,0.217659,0.251107,0.468765
USDDIME,,,Crypto,,0.191337,0.211224,0.402561
USD42,,,Crypto,,0.22844,0.289836,0.518276
