,USDPEN,USDCUC,USDVES,USDSRD,USDARS,USDURY,USDKYD,USDTTD,USDDOP,USDGTQ,USDPAB,USDCOP,USDGYD,USDSVC,USDCRC,USDHNL,USDMXN,USDNIO,USDJMD,DXY,USDPYG,USDBOB,USDBRL,USDCAD,USDBSD,USDCLP,USDHTG,USDFJD,USDPGK,USDXPF,USDPHP,USDNPR,USDSAR,USDKPW,USDAFN,USDBND,USDSYP,USDIQD,USDTHB,USDSGD,USDTJS,USDKGS,USDAMD,USDIDR,USDKZT,USDBHD,USDMNT,USDCNY,USDINR,USDMYR,USDLKR,USDVND,USDQAR,USDAZN,USDLAK,USDHKD,USDMOP,USDMVR,USDKRW,USDYER,USDMMK,USDTWD,USDLBP,USDKHR,USDTMT,USDOMR,USDIRR,USDPKR,USDILS,USDBDT,USDJPY,USDGEL,USDAED,USDUZS,USDSEK,USDISK,USDRSD,USDTRY,USDHRV,USDALL,USDCHF,USDDKK,USDMKD,USDMDL,USDRUB,USDUAH,USDRON,USDPLN,USDBIH,USDHUF,USDNOK,USDCZK,USDBYR,USDXAF,USDUGX,USDAOA,USDCDF,USDSLL,USDMUR,USDETB,USDCVE,USDSSP,USDZMW,USDDZD,USDBIF,USDLSL,USDMWK,USDMRO,USDKMF,USDBWP,USDLRD,USDGMD,USDMAD,USDLYD,USDSTD,USDNGN,USDSZL,USDERN,USDNAD,USDDJF,USDGNF,USDTZS,USDZAR,USDSCR,USDMZN,USDXOF,USDEGP,USDGHS,USDSDG,USDRWF,USDKES,USDTND,USDMGA,USDSOS,USDAUD,USDNZD,USDEUR,USDGBP
0,2.987,1.0,,3.25,8.5885,23.706,0.82,6.3,,7.635,1.0,2416.28,203.21,8.74,533.0,21.0,14.598,26.08,,91.935,4715.74,6.86,2.6299,1.1866,1.0,613.99,46.0,1.9988,2.6018,100.77,44.86,99.72,3.7545,130.0,57.55,1.332,180.55,1140.0,32.82,1.3332,5.1584,59.2,470.0,12650.0,183.35,0.377,1910.0,6.2054,62.345,3.561,131.3,21340.0,3.6404,0.7803,8085.0,7.7523,7.981,15.27,1084.82,214.71,1024.0,31.898,1510.0,4065.0,3.35,0.3849,27294.0,100.5,3.939,77.75,118.5,1.8874,3.6728,2424.23,8.0497,129.69,,2.294,7.9885,118.03,1.014,6.2853,51.98,15.585,61.28,15.749,3.7893,3.6018,1.66,267.57,7.6587,23.739,1.406,553.92,2850.0,102.827,903.0,4175.0,31.85,20.03,91.95,3.0,,87.6311,1545.3,11.49,447.6,28.8,415.44,9.4719,,42.9,9.21,1.195,20775.0,183.0,11.471,15.0,11.4952,177.0,6840.0,1740.0,11.491,13.93,31.9,553.92,7.15,3.24,5.95,684.0,91.0,1.89,2610.0,705.0,1.2195121951219512,1.2763241863433312,0.8446659346228567,0.6597176408497163
1,3.065,1.0,,3.249,8.665,23.828,0.82,6.3145,,7.65,1.0,2365.2,203.21,8.74,532.4,21.27,14.829,26.27,,94.449,4766.52,6.86,2.7685,1.2466,1.0,623.9,46.0,2.0564,2.6223,104.74,44.36,98.97,3.7513,130.0,57.25,1.3532,199.15,1165.0,32.59,1.3533,5.539,61.15,476.75,12645.0,185.21,0.377,1946.0,6.2486,62.1386,3.56,132.8,21307.5,3.6413,0.78,8106.0,7.7534,7.9809,15.27,1094.23,214.85,1025.0,31.56,1505.0,4060.0,3.3495,0.385,27560.0,101.0,3.8733,77.75,118.63,2.017,3.673,2455.0,8.3596,132.22,,2.4743,7.9884,123.37,0.9235,6.5725,54.28,18.475,65.86,24.5,3.9131,3.6927,1.72,271.59,7.6135,24.448,1.521,579.16,2860.0,103.9,910.0,4290.0,32.95,20.13,95.9,2.999,,93.532,1545.0,11.5636,432.9,28.8,430.55,9.3389,,42.6,9.5633,1.3568,20983.0,196.35,11.5636,15.0,11.5832,177.0,7160.0,1825.0,11.579,13.85,33.43,579.16,7.63,3.37,5.94,685.0,91.35,1.9318,2798.0,705.0,1.2825445684237529,1.3497098123903362,0.8831581736288968,0.6574621959237344
2,3.0875,1.0,,3.247,8.7564,24.22,0.82,6.3393,,7.623,1.0,2607.0,205.98,8.74,528.65,21.25,15.4715,26.25,,96.80199999999999,4702.19,6.86,3.1215,1.26,1.0,627.6,46.0,2.0662,2.65,109.33,44.2,99.59,3.7501,130.0,57.58,1.3802,207.55,1165.0,32.58,1.3804,5.4605,61.42,478.9,13045.0,185.59,0.377,1980.0,6.2717,62.6236,3.677,132.95,21325.0,3.6412,1.0435,8083.0,7.7597,7.9877,15.27,1114.0,214.87,1032.0,31.531,1500.0,4100.0,3.349,0.385,27885.0,101.79,4.0015,77.65,121.15,2.1525,3.673,2468.0,8.4863,136.86,,2.6006,7.9952,128.87,0.9856,6.8652,56.41,18.15,60.7395,22.25,4.0894,3.7911,1.78,281.31,7.928,25.112,1.4935,605.0,2970.0,106.05,912.0,4345.0,34.88,20.2,98.93,2.999,,95.959,1545.0,12.065,427.45,31.0,439.5,9.6212,,42.58,9.8739,1.3568,22545.0,198.9,12.039,15.0,12.0885,176.8,7205.0,1827.0,12.087,13.27,33.6,597.47,7.63,3.54,5.95,685.0,91.2,1.9733,2940.0,703.0,1.2985326580963512,1.3601741022850926,0.9216589861751152,0.6610259122157589
3,3.115,1.0,,3.247,8.8382,25.047,0.82,6.3332,44.7,7.644,1.0,2497.5,203.21,8.74,526.4,21.28,15.0845,26.25,114.2,99.155,4890.92,6.86,3.0585,1.2577,1.0,615.9,47.2,2.0591,2.6857,111.38,44.51,99.58,3.7508,130.0,57.4,1.3591,210.0,1162.0,32.55,1.3587,5.9835,63.88,475.0,12896.0,185.67,0.377,1980.0,6.2172,62.2963,3.627,133.0,21580.0,3.6405,1.0465,8080.0,7.7495,7.978,14.97,1095.74,214.85,1065.0,31.237,1506.0,4000.0,3.3495,0.385,28180.0,101.9,3.9566,77.8,120.57,2.2295,3.673,2490.0,8.7596,137.8,,2.6189,7.9855,131.38,0.9773,7.0098,57.33,17.5,51.847,23.25,4.1216,3.7742,1.8,279.83,8.107,25.698,1.434,614.31,2965.0,108.2,915.0,4340.0,36.12,20.2,101.1,3.0,,98.0868,1553.0,11.925,429.0,31.0,457.0,9.6437,84.0,42.58,10.012,1.3668,22785.0,199.0,11.924,15.0,11.939,176.6,7160.0,1850.0,11.945,13.485,35.65,614.0,7.63,3.81,5.94,685.0,92.55,1.9715,3075.0,706.0,1.3000520020800832,1.3220518244315178,0.9382623381497466,0.6797172376291463
4,3.12995,1.0,,3.248,8.931049999999999,25.6445,0.82,6.3515999999999995,44.745000000000005,7.668,1.0,2526.25,204.595,8.7394,528.39,21.515,15.3305,26.465,114.405,97.1605,5013.415,6.855,3.0772500000000003,1.24565,1.0,620.575,47.2,2.06665,2.704,108.25,44.79,100.955,3.7504999999999997,130.0,57.875,1.355,213.275,1162.7,33.125,1.355,6.121,61.557,474.925,13098.0,185.81,0.377,1917.5,6.2141,63.1482,3.687,133.4,21680.0,3.64055,1.0445,8077.5,7.7514,7.9795,14.965,1108.095,214.8,1089.0,31.1955,1505.5,4027.5,3.34875,0.385,28428.0,101.845,3.8891,77.75,122.445,2.239,3.673,2512.5,8.523900000000001,134.88,,2.6849,7.987,128.015,0.95415,6.811,55.805,17.75,53.75475,22.215,4.0433,3.73785,1.775,278.5,7.942399999999999,24.988500000000002,1.4904,598.22,3030.0,112.25,913.0,4277.5,35.45,20.3475,98.745,3.0,,98.0753,1551.5,12.165,428.225,31.5,446.7,9.78725,83.5,42.58,9.8314,1.3667500000000001,22276.5,198.95,12.1645,14.99,12.18965,176.45,7265.5,2011.0,12.185500000000001,13.282499999999999,36.275,598.0,7.63,4.015,5.94,682.5,95.025,1.9500000000000002,3083.5,703.5,1.3004746732557384,1.3610997686130395,0.9115354815186181,0.6645401382243488
5,3.1449,1.0,,3.249,9.0239,26.242,0.82,6.37,44.79,7.692,1.0,2555.0,205.98,8.7388,530.38,21.75,15.5765,26.68,114.61,95.166,5135.91,6.85,3.096,1.2336,1.0,625.25,47.2,2.0742,2.7223,105.12,45.07,102.33,3.7502,130.0,58.35,1.3509,216.55,1163.4,33.7,1.3513,6.2585,59.234,474.85,13300.0,185.95,0.377,1855.0,6.211,64.0001,3.747,133.8,21780.0,3.6406,1.0425,8075.0,7.7533,7.981,14.96,1120.45,214.75,1113.0,31.154,1505.0,4055.0,3.348,0.385,28969.0,101.79,3.8216,77.7,124.32,2.2485,3.673,2535.0,8.2882,131.96,,2.7509,7.9885,124.65,0.931,6.6122,54.28,18.0,55.6625,21.18,3.965,3.7015,1.75,277.17,7.7778,24.279,1.5468,582.13,3095.0,116.3,911.0,4215.0,34.78,20.495,96.39,3.0,,98.0638,1550.0,12.405,427.45,31.5,436.4,9.9308,83.0,42.58,9.6508,1.3667,21768.0,198.9,12.405,14.98,12.4403,176.3,7371.0,2172.0,12.426,13.08,36.9,582.0,7.63,4.22,5.94,680.0,97.5,1.9285,3092.0,701.0,1.3008976193573565,1.402524544179523,0.8862891075068686,0.6500260010400416
6,3.1558,1.0,,3.25,9.1232,26.57,0.82,6.359,44.96,7.641,1.0,2672.23,203.95,8.7344,531.45,21.68,15.8105,26.68,116.48,96.606,5151.0,6.84,3.2188,1.2703,1.0,646.05,53.1841,2.1252,2.7598,107.5,45.205,102.0,3.75,130.0,60.43,1.3493,218.0,1162.0,33.92,1.3496,6.257,62.13,474.85,13332.0,186.23,0.377,1954.0,6.2167,63.3082,3.7937,133.56,21807.0,3.641,1.0487,8115.57,7.7518,7.983,14.97,1131.22,214.68,1131.0,31.057,1504.0,4020.0,3.3498,0.3849,29438.0,101.73,3.785,77.75,121.33,2.238,3.6724,2554.0,8.4853,133.67,,2.6776,7.9895,126.3,0.9478,6.7616,55.51,18.98,57.0993,21.461,4.0496,3.8178,1.7706,285.47,8.138,24.535,1.545,596.58,3455.0,123.14,906.0,4215.0,35.45,20.532,99.7,3.0,,99.2702,1629.0,12.485,436.9,32.3,446.0,9.9051,83.0,38.73,9.7827,1.3767,22190.0,198.92,12.486,15.0,12.5073,176.3,7246.0,2232.56,12.507,12.965,38.2,596.7,7.83,3.4996,5.94,720.68,100.7,1.9703,3140.0,670.0,1.3437248051599033,1.4836795252225519,0.9061254077564336,0.6503219093451258
7,3.18235,1.0,,3.2495000000000003,9.23075,27.61,0.82,6.32775,45.004999999999995,7.682,1.0,2892.115,204.96499999999997,8.7316,531.445,21.73,16.3155,26.560000000000002,117.07333333333334,96.00833333333333,5288.335,6.85,3.4983,1.2978999999999998,1.0,668.175,52.43835,2.15075,2.7889999999999997,107.0,46.052499999999995,103.875,3.7485,130.0,61.989999999999995,1.38285,219.025,1151.1,35.055,1.3828999999999998,6.306,64.3141,479.07500000000005,13796.0,218.365,0.377,1970.5,6.34065,64.95855,4.05835,136.155,22138.5,3.6412500000000003,1.0462,8120.285,7.75135,7.981,14.96,1160.865,214.715,1206.5,31.768499999999996,1504.5,4037.5,3.3499,0.38480000000000003,29709.0,102.99000000000001,3.83785,77.74000000000001,120.905,2.30875,3.6724,2577.0,8.440650000000002,130.995,,2.8563,7.9879999999999995,125.22,0.9612499999999999,6.70945,55.15,19.075000000000003,62.770649999999996,21.7655,3.9955499999999997,3.7878,1.7572,283.155,8.17445,24.3295,1.66225,591.8900000000001,3555.0,124.095,908.5,4401.5,35.375,20.671,99.2,3.0,,102.5101,1587.0,13.125,496.275,32.0,441.875,10.1828,85.5,38.94,9.73935,1.36835,22085.0,198.91,13.124500000000001,14.934999999999999,13.14115,176.15,7424.5,2198.7799999999997,13.1427,12.94,40.225,591.975,7.83,3.6698,6.01,723.94,102.9,1.96545,3108.5,659.5,1.3835085777531821,1.5238095238095237,0.8992805755395683,0.6506180871828238
8,3.2089,1.0,,3.249,9.3383,28.65,0.82,6.2965,45.05,7.723,1.0,3112.0,205.98,8.7288,531.44,21.78,16.8205,26.44,117.66666666666667,95.41066666666667,5425.67,6.86,3.7778,1.3255,1.0,690.3,51.6926,2.1763,2.8182,106.5,46.9,105.75,3.747,130.0,63.55,1.4164,220.05,1140.2,36.19,1.4162,6.355,66.4982,483.3,14260.0,250.5,0.377,1987.0,6.4646,66.6089,4.323,138.75,22470.0,3.6415,1.0437,8125.0,7.7509,7.979,14.95,1190.51,214.75,1282.0,32.48,1505.0,4055.0,3.35,0.3847,29956.0,104.25,3.8907,77.73,120.48,2.3795,3.6724,2600.0,8.396,128.32,,3.035,7.9865,124.14,0.9747,6.6573,54.79,19.17,68.442,22.07,3.9415,3.7578,1.7438,280.84,8.2109,24.124,1.7795,587.2,3655.0,125.05,911.0,4588.0,35.3,20.81,98.7,3.0,,105.75,1545.0,13.765,555.65,31.1,437.75,10.4605,88.0,39.15,9.696,1.36,21980.0,198.9,13.763,14.87,13.775,176.0,7603.0,2165.0,13.7784,12.915,42.25,587.25,7.83,3.84,6.08,727.2,105.1,1.9606,3077.0,649.0,1.42571998859424,1.5661707126076743,0.8925383791503034,0.6509145349215648
9,3.2097,1.0,,3.25,9.4422,29.1,0.82,6.3272,45.23,7.678,1.0,2864.0,203.21,8.724,528.99,21.72,16.429,26.93,118.26,94.813,5625.0,6.86,3.7651,1.2941,1.0,675.6,53.2,2.1354,2.8832,104.44,45.66,104.1,3.7498,130.0,64.23,1.3945,220.77,1126.0,35.53,1.3951,6.455,69.14,473.45,13410.0,273.85,0.3771,1988.0,6.3349,64.7698,4.135,140.84,22193.0,3.6415,1.0435,8137.19,7.7498,7.982,15.35,1147.05,214.85,1288.0,32.283,1504.0,4052.4946,3.35,0.3849,29957.0,104.42,3.8264,77.65,120.25,2.36,3.6729,2627.0,8.1944,124.83,,2.91,7.9863,122.35,0.9613,6.5685,54.02,19.58,61.8043,21.698,3.8857,3.7141,1.7219,273.6,8.077,23.829,1.716,577.48,3677.0,135.964,912.0,4120.0,35.36,20.8479,96.84,3.0,,105.189,1532.0,13.325,555.0,28.6,437.35,10.3147,86.0,38.58,9.6319,1.3735,21530.0,199.18,13.326,14.88,13.3495,177.05,7391.0,2168.0,13.3372,13.065,42.0,577.58,7.83,3.7496,6.07,732.12,103.1,1.9489,3098.0,638.0,1.3640703860319192,1.4947683109118086,0.8807468733485997,0.6534666405280011
