,USDPEN,USDCUC,USDVES,USDSRD,USDARS,USDURY,USDKYD,USDTTD,USDDOP,USDGTQ,USDPAB,USDCOP,USDGYD,USDSVC,USDCRC,USDHNL,USDMXN,USDNIO,USDJMD,DXY,USDPYG,USDBOB,USDBRL,USDCAD,USDBSD,USDCLP,USDHTG,USDFJD,USDPGK,USDXPF,USDPHP,USDNPR,USDSAR,USDKPW,USDAFN,USDBND,USDSYP,USDIQD,USDTHB,USDSGD,USDTJS,USDKGS,USDAMD,USDIDR,USDKZT,USDBHD,USDMNT,USDCNY,USDINR,USDMYR,USDLKR,USDVND,USDQAR,USDAZN,USDLAK,USDHKD,USDMOP,USDMVR,USDKRW,USDYER,USDMMK,USDTWD,USDLBP,USDKHR,USDTMT,USDOMR,USDIRR,USDPKR,USDILS,USDBDT,USDJPY,USDGEL,USDAED,USDUZS,USDSEK,USDISK,USDRSD,USDTRY,USDHRV,USDALL,USDCHF,USDDKK,USDMKD,USDMDL,USDRUB,USDUAH,USDRON,USDPLN,USDBIH,USDHUF,USDNOK,USDCZK,USDBYR,USDXAF,USDUGX,USDAOA,USDCDF,USDSLL,USDMUR,USDETB,USDCVE,USDSSP,USDZMW,USDDZD,USDBIF,USDLSL,USDMWK,USDMRO,USDKMF,USDBWP,USDLRD,USDGMD,USDMAD,USDLYD,USDSTD,USDNGN,USDSZL,USDERN,USDNAD,USDDJF,USDGNF,USDTZS,USDZAR,USDSCR,USDMZN,USDXOF,USDEGP,USDGHS,USDSDG,USDRWF,USDKES,USDTND,USDMGA,USDSOS,USDAUD,USDNZD,USDEUR,USDGBP
2015-09-02,0.0,0,0.0,-0.00030773965468289255,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.02136658243257017,0.0,0.0,-0.001126337644887343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01120836660989566,-0.007549484746757429,-0.0008526739838208286,0,-0.005226492733542365,0.0,0.0,0.0,-0.00703259281247437,0.0,0.0,0.0,0.0,-0.00039533505160171956,0.0,0.0,0.0,0.0,-0.003316102508930996,-0.00028085943170164107,0.0,-0.0015241224592905667,0.0,-0.00038454143907809546,0.0,0.0,-1.2529836673547123e-05,0.0,0.0,0.0,0.0,-0.010652815922889136,-0.0033167526259942903,-0.0012307693861330904,-0.00014926487078992245,0.0,0.0,0.0,-0.01682002712212327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2518072967981908e-05,0.0,-0.09348738451183385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005919269257270265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033338890123779663,0.0,0.0,-0.00019415590780358372,0.0,-0.03339322198983474,0.0,0.0,-0.014141048367794617,0.0,-0.00701757265864611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00575955515836668,0.0,0.0,0.0,0.0,-0.00168208618298471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034246608813640056
2015-09-03,0.0,0,0.0,-0.0006157635662544791,0.0,0.0,0.0,0.0,0.0,-0.0035356548323077774,0,0.0,0.0,0.0,-0.007068499342421042,-0.0009407338417197764,0.0,-0.0007616146598157236,0.0,0.0,-0.013588121255240893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003613373398513975,0.0,-0.00031994028054382895,0,0.0,0.0,0.0,0.0,-0.00030688967557113145,0.0,-0.014273618395320709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.746309646606271e-05,0.0,-0.0028414374544087906,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009193070974427009,-0.0033277900926744763,0.0,-0.00014928715411755,0.0,0.0,0.0,0.0,-0.0012870014646466643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017747906123406043,-0.0809370491722019,-0.09633110893843222,0.0,0.0,0.0,0.0,0.0,0.0,-0.01824565460312827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012669431975692369,0.0,0.0,0.0,0.0,-0.0004695938099916752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011305823702860707,0.0,0.0,0.0,-0.04277938428923145,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016433857437299082,0.0,0.0,-0.002840911001603885,0.0,0.0,0.0,0.0
2015-09-04,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0009627146137121123,0.0,0.0,0,-0.04290990341079315,-0.013539149605803935,0.0,-0.0042652071674282865,0.0,-0.025331895193228426,0.0,0.0,0.0,0.0,0.0,-0.02038905581917927,-0.0018270648924137989,0.0,-0.01881840816587932,0.0,-0.003442177301243965,0.0,0.0,0.0,-0.00010041672951199843,0.0,0,-0.0031309818585087967,-0.015405700225199936,0.0,-0.002578428587944437,-0.0009212345193212457,-0.0158449519935705,0.0,0.0,-0.008177003313922349,-0.011487732824420505,0.0,0.0,0.0,-0.008727805644878961,-0.005240169884129564,-0.013691342018369745,0.0,0.0,-0.00019226279636797017,0.0,-0.00037121821870300664,-0.0013153484990353626,-0.0012151050305955202,-0.019841920799004154,-0.01652720739924529,-9.30838686326041e-05,0.0,-0.009367899249824507,0.0,-0.024692612590371255,0.0,0.0,0.0,0.0,-0.011284220213109153,0.0,-0.004798950133315216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012139644935764693,0.0,-0.008456925434465351,0.0,0.0,-0.03646967978139104,-0.15829715398364597,0.0,0.0,-0.004467774737749508,0.0,-0.0052749881733973325,0.0,0.0,-0.040654616496598905,0.0,-0.0016849203649202948,0.0,0.0,-0.0011514106050416473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011671662302590313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009598204137064581,0.0,-0.012444235087287758,-0.0011318620336835394,-0.006265248478932506,0.0,-0.011817714099547239,0.0,0.0,0.0,0.0,0.0,-0.00168208618298471,0.0,0.0,-0.0009125938576982628,0.0,0.0,0.0,-0.028427765742825184,0.0,0.0
2015-09-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-6.865224209473553e-05,0.0,0.0,0.0,0.0,0.0,-0.02032003206638322,0.0,-0.0007291287235162702,0.0,-0.009627174041594966,0.0,0.0,0.0,0.0,0.0,-0.02850441127892367,0.0,0.0,-7.998613577919755e-05,0,0.0,-0.0030212616475003284,0.0,0.0,0.0,-0.0027269059164766185,0.0,-0.03704274850709144,-0.00015790720352804044,0.0,0.0,0.0,-0.03207459044716998,-0.0004987410913190882,0.0,0.0,0.0,0.0,0.0,-0.0019129608894339484,-0.0003094538164880589,0.0,0.0,-0.0003340571268748427,0.0,-0.00023274758629465708,0.0,-0.0013294359864577387,-0.00033206043805034113,0.0,-0.0002239390895037996,0.0,0.0,-0.000539890562575529,-0.017207302217790765,-0.0006428801250031313,0.0,0.0,0.0,0.0,-0.027276259219159993,-0.021417864326013003,0.0,0.0,0.0,-0.02594644291062842,-0.023972775551867023,-0.02877021770983923,-0.026960575812613463,0.0,0.0,-0.04553739564549364,-0.019180247257059024,-0.009677859895568464,-0.013986241974739966,-0.004764216558907464,-0.020512389417473464,-0.02799744882554478,0.0,-0.026541107457386026,0.0,0.0,-0.0021881846805529293,-0.014505621328101626,-0.018723475570647796,0.0,-0.02356935643847624,0.0,0.0,-0.0001172499684001238,-0.0009663392602519139,0.0,-0.0018081605439679294,0.0,-0.022796162536131703,0.0,-0.0059701669865033224,0.0,-0.01820302839166832,-3.6582466028056704e-05,-0.022570113558872507,-0.00025128785155459354,0.0,-0.0006668889877037287,0.0,-0.0008497380485801287,0.0,0.0,0.0,-0.015130577248732013,0.0,-0.026404174196510866,0.0,0.0,0.0,-0.003656311203110718,0.0,-0.010965301759889301,0.0,-0.0035473609387981497,0.0,0.0,-0.028899068225276964,-0.02258160469670928
2015-09-06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-6.865695554880702e-05,0.0,0.0,0.0,0.0,0.0,-0.020741515121931897,0.0,-0.0007296607401439115,0.0,-0.009720758202449858,0.0,0.0,0.0,0.0,0.0,-0.029340812146298134,0.0,0.0,-7.999253407287021e-05,0,0.0,-0.003030417338165614,0.0,0.0,0.0,-0.002734362269760926,0.0,-0.03846787348653091,-0.00015793214215165108,0.0,0.0,0.0,-0.03313755819987563,-0.0004989899581206991,0.0,0.0,0.0,0.0,0.0,-0.0019166273236639608,-0.000309549607797166,0.0,0.0,-0.00033416875833092163,0.0,-0.00023280177034479266,0.0,-0.0013312057395342691,-0.0003321707388126427,0.0,-0.0002239892494524387,0.0,0.0,-0.0005401822018553659,-0.017508585300448853,-0.0006432936857416749,0.0,0.0,0.0,0.0,-0.02804116608603424,-0.0218866478931643,0.0,0.0,0.0,-0.026637634584131042,-0.02456161451585586,-0.02962252472398852,-0.027707636141009573,0.0,0.0,-0.04771039621461126,-0.01955533514397234,-0.009772436916273941,-0.014184634991956435,-0.004787023016575631,-0.0209419747361812,-0.028803939854069593,0.0,-0.027264788785010374,0.0,0.0,-0.002192983335009835,-0.014719135330393485,-0.019080744051999776,0.0,-0.02413830779207249,0.0,0.0,-0.00011726371756726195,-0.000967273975142291,0.0,-0.001811435911806214,0.0,-0.023327974399157902,0.0,-0.006006024060211779,0.0,-0.018540531708704844,-3.6583804353951255e-05,-0.023091309676027905,-0.00025135101301110296,0.0,-0.000667334025433064,0.0,-0.0008504607174542045,0.0,0.0,0.0,-0.015363033313908758,0.0,-0.027120306219193147,0.0,0.0,0.0,-0.0036697288889628865,0.0,-0.01108687390951002,0.0,-0.0035599895198537013,0.0,0.0,-0.02808731605644159,-0.022082916287749332
2015-09-07,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0017283372988012857,0.0,-0.006652343061103849,0,0.0,-0.009904210934088553,-0.0005036284244441802,0.0,-0.0032235809632474854,0.0,0.0,0.0,0.0,0.0,-0.0014609206396747343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003230071814392943,-5.3331911161524914e-05,0,0.0,-0.0011850975388940643,0.0,-0.0012040940648052612,0.0,-0.0012588398122818645,-0.0002397027697147447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010869783234005226,0.0,-0.0017953326186743723,0.0,0.0,0.0,0.0,-0.00019348472498492697,0.0,0.0,0.0,-0.0003260135557372479,0.0,-0.003118422099205098,-0.0006646726731904806,-0.008668784936446627,0.0,-0.00025977399808374546,0.0,-0.0005896226585910824,-0.00962329620420288,0.0,-0.024344780555555445,-0.004680717338891527,-0.00016336755012247295,0.0,0.0,0.0,0.0,-0.02700725994873554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011643704012961886,0.0,0.0,0.0,-0.005503591216978521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002591262748907308,0.0,-0.0947701659386726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017103789734266073,0.0,0.0,-0.008830927038424807,0.0,0.0,0.0,-0.18718645179794802,0.0,0.0,0.0,0.0,0.0,-0.04523017464957846,0.0,0.0,0.0,0.0
2015-09-08,0.0,0,0.0,-0.00015385798937961326,0.0,0.0,0.0,-0.004926409553561939,0.0,0.0,0,0.0,0.0,-0.0003206229272860739,-9.408267044541674e-06,0.0,0.0,-0.004507896439189807,0.0,-0.006205857834848949,0.0,0.0,0.0,0.0,0.0,0.0,-0.014121285626368607,0.0,0.0,-0.004662013105811269,0.0,0.0,-0.00040008002133973264,0,0.0,0.0,0.0,-0.009424651490840041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002386749903848691,0.0,-5.805271833470016e-05,-0.0002505637697902685,-0.0006682258852057643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002598414981489494,0.0,0.0,0.0,-0.0001286256352655002,-0.0035089928052212116,0.0,0.0,0.0,-0.0052759347122210976,-0.020214921449575485,0.0,0.0,-0.0001877640437371042,-0.008587839039281064,0.0,-0.007742568028620278,-0.0065064390025586505,0.0,0.0,0.0,-0.013436868976304472,-0.007888964865166548,-0.007596839075324158,-0.008142493876986734,0.0,-0.008411063717983502,0.0,-0.007892541411809617,0.0,0.0,0.0,0.0,-0.0021178970147350817,0.0,-0.005027662676964972,0.0,0.0,0.0,-0.02612088807563584,0.0,0.0,-0.009331327428884428,-0.0092919153692268,0.0,0.0,0.0,-0.00444113925042755,-0.006083696656691673,-0.004743091896012075,-5.027272956859008e-05,0.0,-0.004342749434136817,0.0,-0.0008511846165779602,0.0,-0.015246248014734398,0.0,-0.0019301299178731135,0.0,-0.007950070265461129,0.0,0.0,0.0,0.0,0.0,-0.002464588683218194,-0.010082505192908542,-0.01579574022764252,0.0,0.0,-0.007582632467396808,0.0
2015-09-09,0.0,0,0.0,-0.0001538816653032793,0.0,0.0,0.0,-0.004950799267944728,0.0,0.0,0,0.0,0.0,-0.0003207257593182966,-9.408355560402981e-06,0.0,0.0,-0.004528309624747262,0.0,-0.00624461112889918,0.0,0.0,0.0,0.0,0.0,0.0,-0.014323556062058707,0.0,0.0,-0.004683849312425714,0.0,0.0,-0.00040024014942940944,0,0.0,0.0,0.0,-0.009514321323534247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023924601105046045,0.0,-5.805608864850598e-05,-0.00025062656772778524,-0.0006686727096356648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002599090333020859,0.0,0.0,0.0,-0.00012864218194952315,-0.00352134920697722,0.0,0.0,0.0,-0.005303917902045985,-0.020632010415601698,0.0,0.0,-0.00018779930569445824,-0.008662229331657834,0.0,-0.00780298346307573,-0.006549050149187607,0.0,0.0,0.0,-0.013619880314592159,-0.00795169584221278,-0.007654993107909958,-0.008209338739757932,0.0,-0.008482410235143067,0.0,-0.007955329507921327,0.0,0.0,0.0,0.0,-0.0021223920241504324,0.0,-0.0050530678513913685,0.0,0.0,0.0,-0.026821531194563875,0.0,0.0,-0.02852808361453807,-0.009379065484876214,0.0,0.0,0.0,-0.004460950987662304,-0.0061209346821081145,-0.004765696073015135,-5.027525704281999e-05,0.0,-0.004361691196009598,0.0,-0.0008519097490955474,0.0,-0.015482299638072128,0.0,-0.001933862524950758,0.0,-0.00801378072355341,0.0,0.0,0.0,0.0,0.0,-0.0024706778910782434,-0.010185198387349104,-0.016049255453278732,0.0,0.0,-0.007525568575425773,0.0
2015-09-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005843793008521114,0,-0.08304635721774645,-0.013539149605803935,-0.0005500550193691112,-0.004620775269043698,-0.002758622439079872,-0.023550314694830377,0.0,0.0,-0.006283851466013068,0.0,0.0,-0.0033674082914803005,-0.023974273901455734,0.0,-0.021525100775784622,0.0,-0.018972204375819257,0.0,-0.01953224131855169,-0.0267950343505845,-0.015725842305464255,0.0,0,0.0,-0.015582513170205037,0.0,-0.012532155897845954,-0.018405427542715458,-0.015011130943611173,0.0,0.0,-0.02059126842152903,-0.06145771769256392,0.0,0.0,0.0,-0.02026711036443718,-0.027998756911053135,-0.044462277209840195,0.0,-0.012404162356645543,0.0,-0.00019164430875057842,0.0,-0.0001419290744091306,0.0,0.0,-0.037188357565297814,0.0,0.0,-0.006083739407111821,-0.0006646726731904806,-0.0006180454513646794,0.0,0.0,0.0,0.0,-0.0166646766437184,-0.001029733647431641,-0.0019108550657129797,-0.008228762541509504,0.0,0.0,-0.024304407818198648,-0.0275743324552451,0.0,-0.042058343328060355,-2.5042572374456284e-05,-0.014524171096825356,-0.013843196271393795,-0.013428501020478656,-0.014153347185854148,0.0,-0.1020137299426711,-0.01699912986838603,-0.014258213748534088,-0.011697292061157993,-0.01263830770157448,-0.026117926400653246,-0.01644202340777312,-0.012303869269635559,-0.0363364249023399,-0.016691667538692556,0.0,0.0,0.0,-0.10759103590569019,0.0,0.0,-0.019024814369577925,0.0,0.0,-0.0053190858274847486,-0.008449839031309025,-0.03248716854266265,-0.001170485885221062,-0.08380110135938157,-0.0009141813000974608,-0.014036196399752843,-0.022989518224699523,-0.014666414959228824,-0.00663292287418793,0.0,-0.020685637599202167,0.0,-0.03226681785704999,0.0,-0.031376424077627973,0.0,-0.028279862443548964,0.0,-0.032545025135445105,0.0,-0.0059347355198142715,-0.016603662598681623,0.0,-0.023823198973276227,-0.0016460909066686735,0.0,-0.01921288685999123,-0.005985437999647125,0.0,-0.01709443335930061,-0.04420378052346313,-0.04666238465563449,-0.013299247350672255,0.0
2015-09-11,0.0,0,0.0,-0.00030773965468289255,0.0,0.0,0.0,0.0,-0.007545530695910685,-0.0009121116014463304,0,0.0,0.0,0.0,-0.0020626562583716535,0.0,0.0,-0.010076592072944646,0.0,0.0,-0.01378344563789824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.007130154984591464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001326788041259408,-0.011128086509407886,0.0,0.0,0.0,0.0,0.0,-0.0007692096750253619,0.0,-0.0086000270863682,0.0,-0.000375916300398238,0.0,0.0,-0.010292488521361776,-0.008577050631759953,0.0,0.0,-0.016858067098985074,0.0,-0.0007797271350210577,0.0,0.0,0.0,0.0,0.0,0.0,-8.168266290020654e-05,0.0,0.0,0.0,0.0,0.0,-2.504319952034706e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07832177069701984,-0.009934150230345828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000915017792310735,0.0,-0.023530497410193973,-0.004676547883902149,0.0,0.0,0.0,-0.0011554016305561632,0.0,0.0,0.0,0.0,0.0,-0.015338436896811913,0.0,-0.0076834799819480715,0.0,0.0,0.0,0.0,0.0,0.0,-0.008767713253310383,0.0,0.0,-0.007867861200614001,0.0,0.0,0.0,0.0
