,type,criterion,max_depth,min_sample_split,min_sample_leaf,TP,TN,FP,FN
0,part,gini,5,20,20,135,248,140,202
1,all,gini,5,20,20,125,252,136,212
2,part,gini,5,20,40,136,254,134,201
3,all,gini,5,20,40,130,241,147,207
4,part,gini,5,20,60,133,267,121,204
5,all,gini,5,20,60,129,241,147,208
6,part,gini,5,20,80,114,283,105,223
7,all,gini,5,20,80,129,241,147,208
8,part,gini,5,20,100,99,289,99,238
9,all,gini,5,20,100,124,250,138,213
10,part,gini,5,40,20,135,248,140,202
11,all,gini,5,40,20,125,252,136,212
12,part,gini,5,40,40,136,254,134,201
13,all,gini,5,40,40,130,241,147,207
14,part,gini,5,40,60,133,267,121,204
15,all,gini,5,40,60,129,241,147,208
16,part,gini,5,40,80,114,283,105,223
17,all,gini,5,40,80,129,241,147,208
18,part,gini,5,40,100,99,289,99,238
19,all,gini,5,40,100,124,250,138,213
20,part,gini,5,60,20,134,249,139,203
21,all,gini,5,60,20,124,252,136,213
22,part,gini,5,60,40,136,254,134,201
23,all,gini,5,60,40,130,241,147,207
24,part,gini,5,60,60,133,267,121,204
25,all,gini,5,60,60,129,241,147,208
26,part,gini,5,60,80,114,283,105,223
27,all,gini,5,60,80,129,241,147,208
28,part,gini,5,60,100,99,289,99,238
29,all,gini,5,60,100,124,250,138,213
30,part,gini,5,80,20,138,251,137,199
31,all,gini,5,80,20,127,251,137,210
32,part,gini,5,80,40,136,254,134,201
33,all,gini,5,80,40,130,241,147,207
34,part,gini,5,80,60,133,267,121,204
35,all,gini,5,80,60,129,241,147,208
36,part,gini,5,80,80,114,283,105,223
37,all,gini,5,80,80,129,241,147,208
38,part,gini,5,80,100,99,289,99,238
39,all,gini,5,80,100,124,250,138,213
40,part,gini,5,100,20,136,253,135,201
41,all,gini,5,100,20,131,237,151,206
42,part,gini,5,100,40,138,255,133,199
43,all,gini,5,100,40,131,237,151,206
44,part,gini,5,100,60,133,267,121,204
45,all,gini,5,100,60,129,241,147,208
46,part,gini,5,100,80,114,283,105,223
47,all,gini,5,100,80,129,241,147,208
48,part,gini,5,100,100,99,289,99,238
49,all,gini,5,100,100,124,250,138,213
50,part,gini,10,20,20,141,241,147,196
51,all,gini,10,20,20,131,233,155,206
52,part,gini,10,20,40,134,262,126,203
53,all,gini,10,20,40,139,231,157,198
54,part,gini,10,20,60,133,273,115,204
55,all,gini,10,20,60,131,240,148,206
56,part,gini,10,20,80,112,285,103,225
57,all,gini,10,20,80,128,241,147,209
58,part,gini,10,20,100,98,290,98,239
59,all,gini,10,20,100,124,250,138,213
60,part,gini,10,40,20,141,241,147,196
61,all,gini,10,40,20,131,233,155,206
62,part,gini,10,40,40,134,262,126,203
63,all,gini,10,40,40,139,231,157,198
64,part,gini,10,40,60,133,273,115,204
65,all,gini,10,40,60,131,240,148,206
66,part,gini,10,40,80,112,285,103,225
67,all,gini,10,40,80,128,241,147,209
68,part,gini,10,40,100,98,290,98,239
69,all,gini,10,40,100,124,250,138,213
70,part,gini,10,60,20,155,238,150,182
71,all,gini,10,60,20,130,236,152,207
72,part,gini,10,60,40,134,262,126,203
73,all,gini,10,60,40,139,231,157,198
74,part,gini,10,60,60,133,273,115,204
75,all,gini,10,60,60,131,240,148,206
76,part,gini,10,60,80,112,285,103,225
77,all,gini,10,60,80,128,241,147,209
78,part,gini,10,60,100,98,290,98,239
79,all,gini,10,60,100,124,250,138,213
80,part,gini,10,80,20,146,249,139,191
81,all,gini,10,80,20,139,241,147,198
82,part,gini,10,80,40,134,262,126,203
83,all,gini,10,80,40,139,231,157,198
84,part,gini,10,80,60,133,273,115,204
85,all,gini,10,80,60,131,240,148,206
86,part,gini,10,80,80,112,285,103,225
87,all,gini,10,80,80,128,241,147,209
88,part,gini,10,80,100,98,290,98,239
89,all,gini,10,80,100,124,250,138,213
90,part,gini,10,100,20,142,256,132,195
91,all,gini,10,100,20,136,232,156,201
92,part,gini,10,100,40,140,261,127,197
93,all,gini,10,100,40,136,230,158,201
94,part,gini,10,100,60,133,273,115,204
95,all,gini,10,100,60,131,240,148,206
96,part,gini,10,100,80,112,285,103,225
97,all,gini,10,100,80,128,241,147,209
98,part,gini,10,100,100,98,290,98,239
99,all,gini,10,100,100,124,250,138,213
100,part,gini,15,20,20,142,240,148,195
101,all,gini,15,20,20,131,233,155,206
102,part,gini,15,20,40,134,262,126,203
103,all,gini,15,20,40,139,231,157,198
104,part,gini,15,20,60,133,273,115,204
105,all,gini,15,20,60,131,240,148,206
106,part,gini,15,20,80,112,285,103,225
107,all,gini,15,20,80,128,241,147,209
108,part,gini,15,20,100,98,290,98,239
109,all,gini,15,20,100,124,250,138,213
110,part,gini,15,40,20,142,240,148,195
111,all,gini,15,40,20,131,233,155,206
112,part,gini,15,40,40,134,262,126,203
113,all,gini,15,40,40,139,231,157,198
114,part,gini,15,40,60,133,273,115,204
115,all,gini,15,40,60,131,240,148,206
116,part,gini,15,40,80,112,285,103,225
117,all,gini,15,40,80,128,241,147,209
118,part,gini,15,40,100,98,290,98,239
119,all,gini,15,40,100,124,250,138,213
120,part,gini,15,60,20,155,238,150,182
121,all,gini,15,60,20,130,236,152,207
122,part,gini,15,60,40,134,262,126,203
123,all,gini,15,60,40,139,231,157,198
124,part,gini,15,60,60,133,273,115,204
125,all,gini,15,60,60,131,240,148,206
126,part,gini,15,60,80,112,285,103,225
127,all,gini,15,60,80,128,241,147,209
128,part,gini,15,60,100,98,290,98,239
129,all,gini,15,60,100,124,250,138,213
130,part,gini,15,80,20,146,249,139,191
131,all,gini,15,80,20,139,241,147,198
