,window_index,MAE,type
0,0,0.00087258021812886,with_conv
1,1,0.0010447661625221372,with_conv
2,2,0.0008592804078944027,with_conv
3,3,0.0008685747743584216,with_conv
4,4,0.0012066364288330078,with_conv
5,5,0.0007760087610222399,with_conv
6,6,0.000932761060539633,with_conv
7,7,0.0011502901325002313,with_conv
8,8,0.001269567059352994,with_conv
9,9,0.0008346954709850252,with_conv
10,10,0.0006134748691692948,with_conv
11,11,0.0010231892811134458,with_conv
12,12,0.0013641833793371916,with_conv
13,13,0.0004663646104745567,with_conv
14,14,0.0012308876030147076,with_conv
15,15,0.0012187162647023797,with_conv
16,16,0.0006626168615184724,with_conv
17,17,0.0013045509112998843,with_conv
18,18,0.0008394916658289731,with_conv
19,19,0.001058042049407959,with_conv
20,20,0.0010119954822584987,with_conv
21,21,0.0005571524379774928,with_conv
22,22,0.0014740804908797145,with_conv
23,23,0.0012121160980314016,with_conv
24,24,0.0005377670167945325,with_conv
25,25,0.0014874895568937063,with_conv
26,26,0.0008224030607379973,with_conv
27,27,0.0007272025104612112,with_conv
28,28,0.001006007194519043,with_conv
29,29,0.0006055891280993819,with_conv
30,30,0.001048012520186603,with_conv
31,31,0.000640269136056304,with_conv
32,32,0.0009063084726221859,with_conv
33,33,0.00014841357187833637,with_conv
34,34,0.0004519085050560534,with_conv
35,35,0.0008454362396150827,with_conv
36,36,0.0012964288471266627,with_conv
37,37,0.0013342102756723762,with_conv
38,38,0.0011921803234145045,with_conv
39,39,0.0017336646560579538,with_conv
40,40,0.0015621702186763287,with_conv
41,41,0.001136352657340467,with_conv
42,42,0.0010472058784216642,with_conv
43,43,0.0015657504554837942,with_conv
44,44,0.0005729953409172595,with_conv
45,45,0.0015778620727360249,with_conv
46,46,0.0011795958271250129,with_conv
47,0,0.00880084466189146,without_conv
48,1,0.006315366365015507,without_conv
49,2,0.008776040747761726,without_conv
50,3,0.007230579853057861,without_conv
51,4,0.007318580057471991,without_conv
52,5,0.007751047611236572,without_conv
53,6,0.006095028016716242,without_conv
54,7,0.0065804640762507915,without_conv
55,8,0.005949242971837521,without_conv
56,9,0.005888855550438166,without_conv
57,10,0.006015457678586245,without_conv
58,11,0.004157642368227243,without_conv
59,12,0.0030924221500754356,without_conv
60,13,0.002553882310166955,without_conv
61,14,0.002668833825737238,without_conv
62,15,0.001501576160080731,without_conv
63,16,0.0017304003704339266,without_conv
64,17,0.0026351590640842915,without_conv
65,18,0.003167573595419526,without_conv
66,19,0.002447187900543213,without_conv
67,20,0.0035947442520409822,without_conv
68,21,0.0026177684776484966,without_conv
69,22,0.0026061732787638903,without_conv
70,23,0.0033670426346361637,without_conv
71,24,0.0027703940868377686,without_conv
72,25,0.0029772401321679354,without_conv
73,26,0.0014453391777351499,without_conv
74,27,0.0015400847187265754,without_conv
75,28,0.0008347530965693295,without_conv
76,29,0.0011632085079327226,without_conv
77,30,0.001496257376857102,without_conv
78,31,0.0033179798629134893,without_conv
79,32,0.0024308839347213507,without_conv
80,33,0.0014032840263098478,without_conv
81,34,0.0003848811029456556,without_conv
82,35,0.0035031118895858526,without_conv
83,36,0.008067437447607517,without_conv
84,37,0.01121419295668602,without_conv
85,38,0.012019367888569832,without_conv
86,39,0.012238681316375732,without_conv
87,40,0.01150100864470005,without_conv
88,41,0.010041477158665657,without_conv
89,42,0.010179146192967892,without_conv
90,43,0.007154385093599558,without_conv
91,44,0.009058626368641853,without_conv
92,45,0.007975769229233265,without_conv
93,46,0.00777520751580596,without_conv
