,window_index,MAE,type
0,0,0.0030097186099737883,with_conv
1,1,0.015757707878947258,with_conv
2,2,0.009464716538786888,with_conv
3,3,0.009390806779265404,with_conv
4,4,0.056316979229450226,with_conv
5,5,0.003257978009060025,with_conv
6,6,0.040725041180849075,with_conv
7,7,0.008340775966644287,with_conv
8,8,0.005132080987095833,with_conv
9,9,0.0065863290801644325,with_conv
10,10,0.014461028389632702,with_conv
11,11,0.0013612429611384869,with_conv
12,12,0.0012814243091270328,with_conv
13,13,0.07278170436620712,with_conv
14,14,0.014683377929031849,with_conv
15,15,0.0518285296857357,with_conv
16,16,0.002960803220048547,with_conv
17,17,0.008662497624754906,with_conv
18,18,0.02530049718916416,with_conv
19,19,0.005468332674354315,with_conv
20,20,0.00622953986749053,with_conv
21,21,0.0044723134487867355,with_conv
22,22,0.0024685123935341835,with_conv
23,23,0.0025577882770448923,with_conv
24,24,0.0636543482542038,with_conv
25,25,0.012331024743616581,with_conv
26,26,0.06903485953807831,with_conv
27,27,0.053775887936353683,with_conv
28,28,0.003579292679205537,with_conv
29,29,0.003717060899361968,with_conv
30,30,0.010408906266093254,with_conv
31,31,0.016586143523454666,with_conv
32,32,0.006285564042627811,with_conv
33,33,0.012846823781728745,with_conv
34,34,0.01722588576376438,with_conv
35,35,0.0016221265541389585,with_conv
36,36,0.003686340758576989,with_conv
37,37,0.013881688937544823,with_conv
38,38,0.005567057989537716,with_conv
39,39,0.00842183455824852,with_conv
40,40,0.095892533659935,with_conv
41,41,0.02589273266494274,with_conv
42,42,0.06836511194705963,with_conv
43,43,0.1844152808189392,with_conv
44,44,0.0024981459137052298,with_conv
45,45,0.021250156685709953,with_conv
46,46,0.002535800216719508,with_conv
47,0,0.009691786952316761,without_conv
48,1,0.005891966633498669,without_conv
49,2,0.005348265171051025,without_conv
50,3,0.006708458997309208,without_conv
51,4,0.05076437070965767,without_conv
52,5,0.0015718023059889674,without_conv
53,6,0.00510801887139678,without_conv
54,7,0.008004561997950077,without_conv
55,8,0.024482233449816704,without_conv
56,9,0.0011200587032362819,without_conv
57,10,0.002370643662288785,without_conv
58,11,0.010430781170725822,without_conv
59,12,0.01698383502662182,without_conv
60,13,0.00046917397412471473,without_conv
61,14,0.0015776316868141294,without_conv
62,15,0.018192652612924576,without_conv
63,16,0.005754164885729551,without_conv
64,17,0.007763965986669064,without_conv
65,18,0.01785184070467949,without_conv
66,19,0.010229184292256832,without_conv
67,20,0.00045940876589156687,without_conv
68,21,0.007098353002220392,without_conv
69,22,0.002197446534410119,without_conv
70,23,0.0071652294136583805,without_conv
71,24,0.016602108255028725,without_conv
72,25,0.006944684311747551,without_conv
73,26,0.009930400177836418,without_conv
74,27,0.09194266051054001,without_conv
75,28,0.024568844586610794,without_conv
76,29,0.013382697477936745,without_conv
77,30,0.006336635444313288,without_conv
78,31,0.004604905843734741,without_conv
79,32,0.008671210147440434,without_conv
80,33,0.005522002931684256,without_conv
81,34,0.01241899374872446,without_conv
82,35,0.00020494262571446598,without_conv
83,36,0.004818066023290157,without_conv
84,37,0.13556675612926483,without_conv
85,38,0.010820209980010986,without_conv
86,39,0.002897195052355528,without_conv
87,40,0.0081403236836195,without_conv
88,41,0.0024462740402668715,without_conv
89,42,0.0004407167434692383,without_conv
90,43,0.013249075040221214,without_conv
91,44,0.004687420558184385,without_conv
92,45,0.0015424132579937577,without_conv
93,46,0.002812544582411647,without_conv
